mouse1,mouse2,tissue,cell_type,n_cells,det1,det2,pct_coexpr,cell_R,cell_p,coexpr_rho,coexpr_p,pb_r,pb_p,n_mice,cell_BH,pb_BH,pathway,pw_name,gene1,gene2,kind
Igfbp3,Igf1,kidney,Endothelial,2875,0.599652173913044,0.13495652173913,0.0486956521739131,-0.208009518291863,1.80578214653708e-29,0.0389540102578689,0.647706052030372,-0.331265676663604,0.467967754229467,7,2.10734776500877e-26,0.904169485406933,hsa04115,p53 signaling pathway,IGFBP3,IGF1,coherent
Stat3,Junb,kidney,Endothelial,2875,0.269217391304348,0.504347826086957,0.165565217391304,0.122813086530669,3.91444771167956e-11,-0.0312387725621108,0.496552864590478,0.235061917335059,0.611879182593046,7,2.28408023976502e-08,0.938562674441629,hsa04935,"Growth hormone synthesis, secretion and action",STAT3,JUNB,coherent
Igf1,Flt1,kidney,Endothelial,2875,0.13495652173913,0.972521739130435,0.130086956521739,-0.116431695987422,3.81180887274934e-10,-0.0640570688894672,0.216485463902718,0.0516628868615904,0.912411357935458,7,1.12490042577094e-07,0.9961074627586,hsa04510,Focal adhesion,IGF1,FLT1,coherent
Igf1,Flt1,kidney,Endothelial,2875,0.13495652173913,0.972521739130435,0.130086956521739,-0.116431695987422,3.81180887274934e-10,-0.0640570688894672,0.216485463902718,0.0516628868615904,0.912411357935458,7,1.12490042577094e-07,0.9961074627586,hsa04518,Integrin signaling,IGF1,FLT1,coherent
Ppp1ca,Calm1,kidney,Endothelial,2875,0.522782608695652,0.91895652173913,0.501913043478261,0.11639872663437,3.85569983126287e-10,0.0566116874199857,0.0315267407573692,0.602344419200445,0.15234620753999,7,1.12490042577094e-07,0.738048536776415,hsa04910,Insulin signaling pathway,PPP1CA,CALM1,coherent
Stat3,Socs3,kidney,Endothelial,2875,0.269217391304348,0.183652173913043,0.071304347826087,0.114691117713303,6.94606054885432e-10,0.180263097412111,0.00969799724973107,0.560016599099191,0.191064422936686,7,1.6212105321026e-07,0.769682554987022,hsa04920,Adipocytokine signaling pathway,STAT3,SOCS3,coherent
Stat3,Socs3,kidney,Endothelial,2875,0.269217391304348,0.183652173913043,0.071304347826087,0.114691117713303,6.94606054885432e-10,0.180263097412111,0.00969799724973107,0.560016599099191,0.191064422936686,7,1.6212105321026e-07,0.769682554987022,hsa04931,Insulin resistance,STAT3,SOCS3,coherent
Stat3,Socs3,kidney,Endothelial,2875,0.269217391304348,0.183652173913043,0.071304347826087,0.114691117713303,6.94606054885432e-10,0.180263097412111,0.00969799724973107,0.560016599099191,0.191064422936686,7,1.6212105321026e-07,0.769682554987022,hsa04935,"Growth hormone synthesis, secretion and action",STAT3,SOCS3,coherent
Gnb2,Rhoa,kidney,Endothelial,2875,0.693565217391304,0.820869565217391,0.595826086956522,0.10430386628346,2.0761283093813e-08,0.137311034599724,1.15673872247809e-08,0.396904686268257,0.377988351828941,7,4.03806956174662e-06,0.858824071833344,hsa04081,Hormone signaling,GNB2,RHOA,coherent
Stat3,Socs3,kidney,Macrophage,907,0.196251378169791,0.185226019845645,0.0672546857772878,0.168418903487167,3.36673765908101e-07,0.306980433632998,0.0164410118306034,0.0153798895113558,0.973893376539712,7,5.43196067418535e-05,0.997732895414207,hsa04920,Adipocytokine signaling pathway,STAT3,SOCS3,coherent
