mouse1,mouse2,tissue,cell_type,n_cells,det1,det2,pct_coexpr,cell_R,cell_p,coexpr_rho,coexpr_p,pb_r,pb_p,n_mice,cell_BH,pb_BH,pathway,pw_name,gene1,gene2,kind
Il6,Stat3,liver,HSC_Fibroblast,2024,0.303359683794466,0.357707509881423,0.173418972332016,0.17053332027003,1.12728038874806e-14,0.24769686798466,2.6343177089703e-06,0.853564073231498,0.0145420039567991,7,8.43613367414341e-12,0.369003350403777,hsa04068,FoxO signaling pathway,IL6,STAT3,coherent
Mapk8,Irs2,liver,HSC_Fibroblast,2024,0.0790513833992095,0.284584980237154,0.0523715415019763,0.168829760876944,2.07786543698114e-14,0.434264553996524,4.16315266226644e-06,0.814515951932493,0.0256828267989347,7,8.43613367414341e-12,0.427004364640587,hsa04910,Insulin signaling pathway,MAPK8,IRS2,discordant
Irs1,Pik3ca,liver,HSC_Fibroblast,2024,0.0340909090909091,0.112154150197628,0.016304347826087,0.135483403516249,9.37409914259256e-10,0.585227272727273,0.000443428265681005,0.759891636050481,0.0474454216694962,7,2.53725616792839e-07,0.442823935581964,hsa04068,FoxO signaling pathway,IRS1,PIK3CA,coherent
Irs1,Pik3ca,liver,HSC_Fibroblast,2024,0.0340909090909091,0.112154150197628,0.016304347826087,0.135483403516249,9.37409914259256e-10,0.585227272727273,0.000443428265681005,0.759891636050481,0.0474454216694962,7,2.53725616792839e-07,0.442823935581964,hsa04152,AMPK signaling pathway,IRS1,PIK3CA,coherent
Irs1,Pik3ca,liver,HSC_Fibroblast,2024,0.0340909090909091,0.112154150197628,0.016304347826087,0.135483403516249,9.37409914259256e-10,0.585227272727273,0.000443428265681005,0.759891636050481,0.0474454216694962,7,2.53725616792839e-07,0.442823935581964,hsa04211,Longevity regulating pathway,IRS1,PIK3CA,coherent
Irs1,Pik3ca,liver,HSC_Fibroblast,2024,0.0340909090909091,0.112154150197628,0.016304347826087,0.135483403516249,9.37409914259256e-10,0.585227272727273,0.000443428265681005,0.759891636050481,0.0474454216694962,7,2.53725616792839e-07,0.442823935581964,hsa04910,Insulin signaling pathway,IRS1,PIK3CA,coherent
Kras,Pik3ca,liver,HSC_Fibroblast,2024,0.194169960474308,0.112154150197628,0.0548418972332016,0.133324033835804,1.73028901126555e-09,0.435962855144445,1.72989718736829e-06,0.646737719520564,0.116450476214423,7,3.51248669286907e-07,0.563980578437629,hsa04211,Longevity regulating pathway,KRAS,PIK3CA,coherent
Sos2,Kras,liver,HSC_Fibroblast,2024,0.0844861660079051,0.194169960474308,0.0405138339920949,0.128164828560145,7.19499522299129e-09,0.525886744811223,5.96968034568241e-07,0.668335319289364,0.100769981006375,7,1.16846722421379e-06,0.549059975084452,hsa04068,FoxO signaling pathway,SOS2,KRAS,coherent
Sos2,Kras,liver,HSC_Fibroblast,2024,0.0844861660079051,0.194169960474308,0.0405138339920949,0.128164828560145,7.19499522299129e-09,0.525886744811223,5.96968034568241e-07,0.668335319289364,0.100769981006375,7,1.16846722421379e-06,0.549059975084452,hsa04910,Insulin signaling pathway,SOS2,KRAS,coherent
Kras,Pik3r2,liver,HSC_Fibroblast,2024,0.194169960474308,0.0933794466403162,0.0424901185770751,0.122058995754834,3.6187581249894e-08,0.558654263448875,2.27542541713386e-08,0.500626321498928,0.252479809489377,7,4.85837569205382e-06,0.696904965199444,hsa04211,Longevity regulating pathway,KRAS,PIK3R2,discordant
Ppp1ca,Calm1,liver,T_cell,2018,0.556987115956393,0.839444995044599,0.489098116947473,0.121671151739048,4.18825490694295e-08,0.197175909146938,4.1527236867053e-10,0.723481514697905,0.0660998594972726,7,4.85837569205382e-06,0.492413632218214,hsa04910,Insulin signaling pathway,PPP1CA,CALM1,coherent
Prkce,Kras,liver,HSC_Fibroblast,2024,0.0395256916996047,0.194169960474308,0.0217391304347826,0.120269238644101,5.72621535351644e-08,0.370132844938907,0.0133971079851495,0.359742073536324,0.428021254709395,7,5.81210858381918e-06,0.763426905348326,hsa04371,Apelin signaling pathway,PRKCE,KRAS,discordant
Il6,Stat3,liver,Cholangiocyte,636,0.0471698113207547,0.262578616352201,0.0267295597484277,0.209813658639942,9.27187548054048e-08,0.693627450980392,0.00270813644845891,-0.072350789853802,0.877494707873566,7,8.36529210022096e-06,0.960904279512334,hsa04068,FoxO signaling pathway,IL6,STAT3,coherent
