mouse,cell_type,pb_logFC,pb_P,pb_FDR,human,human_logFC,concordant,tissue
Akt1,B_cell,-0.0799232584874113,0.660221653336997,0.965051226900975,AKT1,0.387089573539082,FALSE,liver
Akt1,Cholangiocyte,0.224017957657638,0.375416693822572,0.909704152505041,AKT1,0.387089573539082,FALSE,liver
Akt1,HSC_Fibroblast,0.246583047469544,0.183362306457336,0.919682034055448,AKT1,0.387089573539082,FALSE,liver
Akt1,LSEC,-0.119119944508206,0.675419037249282,0.996165002953132,AKT1,0.387089573539082,FALSE,liver
Akt1,Monocyte,-0.216170837346204,0.308545986585406,0.999145022914932,AKT1,0.387089573539082,FALSE,liver
Akt1,NK_cell,0.412545824760754,0.323036180419468,0.77400153740514,AKT1,0.387089573539082,FALSE,liver
Akt1,Neutrophil,-1.06027685282045,0.0218088947427505,0.645833299862795,AKT1,0.387089573539082,FALSE,liver
Akt1,T_cell,-0.0210427155138625,0.928029829919391,0.991575568661578,AKT1,0.387089573539082,FALSE,liver
Akt1,cDC,-0.107944246333251,0.657980761549768,0.99875188110707,AKT1,0.387089573539082,FALSE,liver
Akt1,pDC,-0.0504117178371116,0.808404784977331,0.983946002600361,AKT1,0.387089573539082,FALSE,liver
Akt2,B_cell,-0.0470762652553736,0.793349500690383,0.978081852590985,AKT2,0.272775905162288,FALSE,liver
Akt2,Cholangiocyte,0.0420418614936469,0.877595665925575,0.992900034483354,AKT2,0.272775905162288,FALSE,liver
Akt2,HSC_Fibroblast,-0.131172531857592,0.534757324941196,0.956722846107039,AKT2,0.272775905162288,FALSE,liver
Akt2,Monocyte,0.0985394638720457,0.771285384545112,0.999145022914932,AKT2,0.272775905162288,FALSE,liver
Akt2,NK_cell,0.132488660474111,0.707741741295637,0.93376846031375,AKT2,0.272775905162288,FALSE,liver
Akt2,T_cell,-0.257242540895084,0.328400568052004,0.801396256636772,AKT2,0.272775905162288,FALSE,liver
Akt2,cDC,-0.111256023853509,0.720458274122854,0.99875188110707,AKT2,0.272775905162288,FALSE,liver
Akt2,pDC,0.0153912263483735,0.950180116560771,0.999031930389956,AKT2,0.272775905162288,FALSE,liver
Araf,B_cell,-0.265755275143175,0.127146925121258,0.78556283048641,ARAF,0.308661107681488,FALSE,liver
Araf,Cholangiocyte,0.0748070483178403,0.815806155692056,0.983340285230208,ARAF,0.308661107681488,FALSE,liver
Araf,HSC_Fibroblast,0.0317344295426753,0.90460889745769,0.997653980088002,ARAF,0.308661107681488,FALSE,liver
Araf,LSEC,-0.300636469373686,0.410242365294201,0.995636266879722,ARAF,0.308661107681488,FALSE,liver
Araf,Monocyte,0.113702127105369,0.748758948305554,0.999145022914932,ARAF,0.308661107681488,FALSE,liver
Araf,NK_cell,-0.141816694568499,0.683678188625712,0.930045501859146,ARAF,0.308661107681488,FALSE,liver
Araf,T_cell,-0.0578405510689887,0.814327714944402,0.970694314128135,ARAF,0.308661107681488,FALSE,liver
Araf,cDC,-0.269059992113998,0.413062603422272,0.99875188110707,ARAF,0.308661107681488,FALSE,liver
Araf,pDC,-0.480702492424559,0.0554371106665345,0.78215082430509,ARAF,0.308661107681488,FALSE,liver
Bax,B_cell,-0.0651284938229618,0.627975202878169,0.960605909315096,BAX,0.341780465352488,FALSE,liver
Bax,Cholangiocyte,0.681334651019917,0.000698502533964554,0.117962422000947,BAX,0.341780465352488,TRUE,liver
Bax,HSC_Fibroblast,0.130600163649804,0.559739706759149,0.96060895452212,BAX,0.341780465352488,FALSE,liver
Bax,LSEC,0.77324625234363,0.0358751849103027,0.952306013506707,BAX,0.341780465352488,TRUE,liver
Bax,Monocyte,0.190772141992227,0.294927663456407,0.999145022914932,BAX,0.341780465352488,FALSE,liver
Bax,NK_cell,0.241926397791095,0.342803391315194,0.783976451442574,BAX,0.341780465352488,FALSE,liver
Bax,T_cell,0.0934529318235654,0.554879919550125,0.896897670221128,BAX,0.341780465352488,FALSE,liver
Bax,cDC,-0.182565229813902,0.30342650825424,0.99875188110707,BAX,0.341780465352488,FALSE,liver
Bax,pDC,0.0610967698015576,0.687627411207353,0.977157957485543,BAX,0.341780465352488,FALSE,liver
Bcl2l1,Cholangiocyte,0.359737382471424,0.136068393499036,0.823717055673419,BCL2L1,0.320592861753887,FALSE,liver
Bcl2l1,HSC_Fibroblast,0.106503908863306,0.806013251826226,0.98616959329314,BCL2L1,0.320592861753887,FALSE,liver
Bcl2l1,LSEC,0.279345930965164,0.413176551931306,0.995636266879722,BCL2L1,0.320592861753887,FALSE,liver
Bcl2l1,T_cell,0.164074763739252,0.589336634582212,0.907815927237569,BCL2L1,0.320592861753887,FALSE,liver
Bcl2l11,B_cell,-0.086833326560208,0.587607522368732,0.949415929591147,BCL2L11,0.191479039012409,FALSE,liver
Bcl2l11,Cholangiocyte,-0.488388454733146,0.246427926737355,0.888437237121581,BCL2L11,0.191479039012409,FALSE,liver
Bcl2l11,HSC_Fibroblast,0.667866012520118,0.198907746845985,0.92328819804629,BCL2L11,0.191479039012409,FALSE,liver
Bcl2l11,Monocyte,-0.954395112205122,0.00240052840235409,0.999145022914932,BCL2L11,0.191479039012409,FALSE,liver
Bcl2l11,NK_cell,-0.154223106235008,0.480808941578356,0.856301870157808,BCL2L11,0.191479039012409,FALSE,liver
Bcl2l11,Neutrophil,-0.474449997436515,0.179190549873555,0.824305601633478,BCL2L11,0.191479039012409,FALSE,liver
Bcl2l11,T_cell,-0.240049518168127,0.250614661707815,0.766661396604943,BCL2L11,0.191479039012409,FALSE,liver
Bcl2l11,cDC,-0.0203134950153673,0.955279915746044,0.99875188110707,BCL2L11,0.191479039012409,FALSE,liver
Bcl2l11,pDC,-0.442965391441223,0.0293493493057889,0.733757505206435,BCL2L11,0.191479039012409,FALSE,liver
Calm1,B_cell,0.0735117632733311,0.521540385709796,0.936597430521172,CALM1,-0.534686866605506,FALSE,liver
Calm1,Cholangiocyte,0.367414580429581,0.112306150126068,0.797350792952086,CALM1,-0.534686866605506,FALSE,liver
Calm1,HSC_Fibroblast,0.197508320158641,0.339982826973875,0.929272207214945,CALM1,-0.534686866605506,FALSE,liver
