pathway,pw_name,composite,ora_padj,pheno_p,fry_p,gsea_p,n_coherent,best_tissue,best_cell_type,genes_tested,genes_concordant,edges_tested,edges_coloc,edges_corr,best_edge,best_edge_type,best_edge_R,best_edge_BH
hsa04931,Insulin resistance,3.58333333333333,0.010082304,1.63345995097297e-127,0.00941025744156262,0.00742832833040811,28,liver,Cholangiocyte,22,1,27,24,7,Socs3-Irs2,HSC_Fibroblast,0.2,3.5e-17
hsa04910,Insulin signaling pathway,4.91666666666667,0.012081289,3.57219355920941e-82,0.0433737247273464,0.102,23,liver,T_cell,23,2,23,21,4,Ppp1ca-Calm1,Endothelial,0.12,1.1e-07
hsa04152,AMPK signaling pathway,5,5.83e-06,5.55552285700101e-49,0.0238415175917023,0.0038673624246928,9,liver,Cholangiocyte,14,1,9,7,0,Irs1-Pik3ca,HSC_Fibroblast,0.14,2.1e-07
hsa04935,"Growth hormone synthesis, secretion and action",5.83333333333333,0.011896305,1.93370984078793e-54,0.230839895823357,0.276767676767677,19,liver,T_cell,20,2,16,16,4,Stat3-Junb,Endothelial,0.12,2.3e-08
hsa04068,FoxO signaling pathway,6.33333333333333,0.000678395,2.46787557607011e-50,0.274332252967702,0.214137214137214,18,kidney,Endothelial,27,3,18,18,4,Il6-Stat3,HSC_Fibroblast,0.17,8.8e-12
hsa04920,Adipocytokine signaling pathway,6.41666666666667,0.006763794,1.1511380655218e-41,0.0554591552894123,0.0606653620352251,13,liver,pDC,11,2,13,12,5,Socs3-Irs2,HSC_Fibroblast,0.2,3.5e-17
hsa04211,Longevity regulating pathway,6.5,0.000265497,4.74028097511326e-42,0.447210346020332,0.149514563106796,12,liver,Cholangiocyte,14,2,12,12,2,Irs1-Pik3ca,HSC_Fibroblast,0.14,2.1e-07
hsa04371,Apelin signaling pathway,7.75,0.012081289,6.00722769725671e-26,0.249149129460251,0.145530145530146,20,liver,T_cell,16,2,14,13,4,Gnb2-Rras,HSC_Fibroblast,0.11,2.2e-05
hsa04213,Longevity regulating pathway - multiple species,7.83333333333333,0.006763794,1.61665179046006e-32,0.297027979665675,0.439842209072978,13,liver,T_cell,12,1,13,12,2,Irs1-Pik3ca,HSC_Fibroblast,0.14,2.1e-07
hsa04115,p53 signaling pathway,8.66666666666667,0.006763794,0.00192401709214251,0.0170387207230392,0.00713538500459358,1,liver,Cholangiocyte,3,1,1,1,0,Igfbp3-Igf1,Endothelial,-0.21,2.1e-26
hsa04510,Focal adhesion,9.41666666666667,0.020303578,2.03011864396219e-29,0.503414563304748,0.177914110429448,30,kidney,Endothelial,30,3,28,22,6,Igf1-Flt1,Endothelial,-0.12,1.1e-07
hsa04936,Alcoholic liver disease,9.41666666666667,0.012081289,7.81518882250091e-27,0.238442921332219,0.1417004048583,7,liver,Cholangiocyte,14,4,7,7,0,Map2k4-Mapk8,LoH,0.25,0.053
hsa04081,Hormone signaling,11.1666666666667,0.021443126,1.80157385599618e-19,0.96745436666841,0.759036144578313,35,liver,pDC,11,1,13,11,2,Irs1-Pik3ca,HSC_Fibroblast,0.14,2.1e-07
hsa04518,Integrin signaling,12.1666666666667,0.013595014,5.82923662393837e-18,0.500597016160729,0.357285429141717,10,liver,Monocyte,5,1,10,8,1,Igf1-Flt1,Endothelial,-0.12,1.1e-07
