cell_type,delta,p,n_stz,n_ctl,BH
Endothelial,0.0365958552259141,0.000156165129964876,4,3,0.000936990779789254
PT,0.0677562487383067,0.0630598135901717,4,3,0.145115983616717
Distal_tubule,0.0174117766983248,0.0789847079801398,4,2,0.145115983616717
T_cell,-0.0220724047395447,0.101761455282829,3,3,0.145115983616717
Macrophage,-0.0183921485899389,0.120929986347264,4,3,0.145115983616717
LoH,0.0141434782349049,0.333418056059921,4,2,0.333418056059921
B_cell,,,3,1,
CD_IC,,,4,1,
cDC,,,3,1,
Fibroblast_Pericyte,,,3,1,
Tubular_epithelium_other,,,1,0,
Proliferating,,,2,0,
Urothelium,,,1,0,
Neutrophil,,,1,0,
