cell_type,delta,p,n_stz,n_ctl,BH
Cholangiocyte,0.0443880214535175,0.00547979039737578,4,3,0.0550337405302284
LSEC,0.0505444916517249,0.0100061346418597,4,3,0.0550337405302284
B_cell,-0.00569793522799783,0.0746958420037902,4,3,0.273884754013897
NK_cell,-0.00597184848584614,0.104048625816494,4,3,0.282952445905592
cDC,-0.0117188285068176,0.128614748138906,4,3,0.282952445905592
Neutrophil,-0.00693334093721088,0.271521243500961,4,3,0.497788946418428
Monocyte,-0.00549415786460035,0.427970153377396,4,3,0.581949934005872
Kupffer_cell,0.00872392820138513,0.43974653821386,4,3,0.581949934005872
T_cell,-0.00316981452237416,0.476140855095714,4,3,0.581949934005872
HSC_Fibroblast,-0.0038515999528408,0.677374848718293,4,3,0.745112333590122
pDC,0.000911497734731551,0.854530216874326,4,3,0.854530216874326
Macrophage_other,,,3,1,
Hepatocyte,,,4,0,
