signature,cell_type,delta,p,BH
candidates_T2D_down,Neutrophil,-0.0160065496341751,0.0302366961355228,0.258595986395816
candidates_T2D_down,LSEC,0.00433727121938215,0.0659781581151756,0.258595986395816
candidates_T2D_down,pDC,-0.0148568566813214,0.0705261781079497,0.258595986395816
candidates_T2D_down,Cholangiocyte,-0.0309264658026092,0.131688274533208,0.362142754966323
candidates_T2D_up,T_cell,-0.00243144546782361,0.157492481939822,0.499342840852574
candidates_T2D_up,LSEC,0.0486232567916793,0.166356399396231,0.499342840852574
candidates_T2D_down,cDC,0.00385961120028111,0.194509927362251,0.427921840196952
candidates_T2D_up,Neutrophil,-0.00570178878898991,0.207805954291474,0.499342840852574
candidates_T2D_up,HSC_Fibroblast,-0.0110688460656568,0.237864113311671,0.499342840852574
candidates_T2D_up,Cholangiocyte,0.0666279079724116,0.249671420426287,0.499342840852574
candidates_T2D_up,B_cell,-0.000817480093139311,0.398627169278715,0.65736606391031
candidates_T2D_down,B_cell,-0.0188064959992958,0.425758106291091,0.764220891345744
candidates_T2D_up,pDC,-0.0156686145616665,0.460156244737217,0.65736606391031
candidates_T2D_down,Kupffer_cell,0.0266669487258594,0.486322385401837,0.764220891345744
candidates_T2D_up,cDC,-0.0132404949194165,0.539302903403413,0.664694078089581
candidates_T2D_up,Monocyte,0.00303897947814153,0.598224670280622,0.664694078089581
candidates_T2D_down,T_cell,-0.00221870188941449,0.714680901444172,0.914936365933044
candidates_T2D_down,Monocyte,0.00182820661128818,0.748584299399763,0.914936365933044
candidates_T2D_down,NK_cell,-0.00106115123135709,0.846431721946374,0.931074894141011
candidates_T2D_down,HSC_Fibroblast,-0.00178937014545647,0.964867956520085,0.964867956520085
candidates_T2D_up,Kupffer_cell,-0.00103477197210423,0.976576202776775,0.976576202776775
candidates_T2D_up,NK_cell,0,,
candidates_T2D_up,Macrophage_other,,,
candidates_T2D_up,Hepatocyte,,,
candidates_T2D_down,Macrophage_other,,,
candidates_T2D_down,Hepatocyte,,,
