gene,on_map,n_steps,path,edge_signs,subtypes,net_sign,predicted_if_AMPK_suppressed,observed_logFC,observed_P,direction_matches,fig1_candidate,measured,human_DE,human_FDR,mouse,sc_confirmed,ml_rank,mr_FDR,replicated
IGF1,TRUE,,no directed path from AMPK,,,,,,,FALSE,TRUE,TRUE,TRUE,0.121600797588543,Igf1,FALSE,4,,FALSE
IRS2,TRUE,,no directed path from AMPK,,,,,,,FALSE,TRUE,TRUE,TRUE,0.0747511303436519,Irs2,TRUE,5,0.665628310197192,FALSE
PPARGC1A,TRUE,1,PRKAG2+6 -> PPARGC1A,+,activation;phosphorylation,1,down,-0.61,6e-04,TRUE,TRUE,TRUE,TRUE,0.0535181515702502,Ppargc1a,TRUE,2,0.545967584975784,FALSE
CCND1,TRUE,2,PRKAG2+6 -> ELAVL1 -> CCND1,-+,inhibition | activation,-1,up,0.8,0.00075,TRUE,TRUE,TRUE,TRUE,0.0578425746384107,Ccnd1,TRUE,6.5,0.775346280670945,TRUE
ADIPOQ,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.923562307334958,Adipoq,FALSE,,,FALSE
ADIPOR1,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.50410295091132,Adipor1,FALSE,,,FALSE
ADIPOR2,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.706164453255583,Adipor2,FALSE,,,FALSE
ADRA1A,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.952848149948733,Adra1a,FALSE,,,FALSE
AKT1,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,TRUE,0.0789152904062191,Akt1,FALSE,,,FALSE
AKT2,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,TRUE,0.159941472099098,Akt2,FALSE,,,FALSE
AKT3,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.23057887352569,Akt3,FALSE,,,FALSE
CAB39,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.465808604308708,Cab39,FALSE,,,FALSE
CAB39L,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.924269190781131,Cab39l,FALSE,,,FALSE
CAMKK2,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,TRUE,0.100031858033946,Camkk2,FALSE,,0.861547674917712,FALSE
CIDEA,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.662626359491461,Cidea,FALSE,,,FALSE
CPT1A,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.261483312387189,Cpt1a,FALSE,,,FALSE
CPT1B,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,Cpt1b,FALSE,,,FALSE
CPT1C,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,Cpt1c,FALSE,,,FALSE
CREB1,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.479569580450201,Creb1,FALSE,,,FALSE
CREB3,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,TRUE,0.0658826713042013,Creb3,FALSE,,,FALSE
CREB3L1,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.911323651147742,Creb3l1,FALSE,,,FALSE
CREB3L2,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.602060843548898,Creb3l2,FALSE,,,FALSE
CREB3L3,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,FALSE,FALSE,,Creb3l3,FALSE,,,FALSE
CREB3L4,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,FALSE,FALSE,,Creb3l4,FALSE,,,FALSE
CREB5,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.649183993656557,Creb5,FALSE,,,FALSE
FBP1,TRUE,,,,,,,,,FALSE,FALSE,TRUE,TRUE,0.0745214814612773,Fbp1,FALSE,,0.496700912136929,FALSE
FBP2,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.892907461681689,Fbp2,FALSE,,,FALSE
FOXO1,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.452447197161136,Foxo1,FALSE,,,FALSE
FOXO3,TRUE,,,,,,,,,FALSE,FALSE,TRUE,TRUE,0.138569997318525,Foxo3,FALSE,,,FALSE
G6PC1,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.235220266743499,G6pc,FALSE,,,FALSE
G6PC2,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.975472967081277,G6pc2,FALSE,,,FALSE
G6PC3,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.927763831187665,G6pc3,FALSE,,,FALSE
HNF4A,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,TRUE,0.10016520814237,Hnf4a,FALSE,,,FALSE
IGF1R,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.323316491359933,Igf1r,FALSE,,,FALSE
INS,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,FALSE,FALSE,,Ins2,FALSE,,,FALSE
INSR,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.372946779697308,Insr,FALSE,,,FALSE
