human,human_logFC,human_P,human_FDR,mouse,human_DE
ULK1,0.471039299127842,6.64395450049281e-05,0.0422769009190092,Ulk1,TRUE
PFKFB3,-0.655569796012921,0.000127446028528339,0.0422769009190092,Pfkfb3,TRUE
PPARGC1A,-0.612471761557638,0.000603487342297342,0.0535181515702502,Ppargc1a,TRUE
PPP2R3B,0.276953635505095,0.00063525508853722,0.0539381129075716,Ppp2r3d,TRUE
CCND1,0.8031084765255,0.00074921048132828,0.0578425746384107,Ccnd1,TRUE
PFKFB1,-0.325059846329074,0.00103535016306561,0.0628118882034337,Pfkfb1,TRUE
EEF2,0.448462726762021,0.00104406663485494,0.0628118882034337,Eef2,TRUE
PPP2R1A,0.348763030574157,0.00116430586290843,0.0636171358842145,Ppp2r1a,TRUE
CREB3,0.303800603180914,0.00138677189848469,0.0658826713042013,Creb3,TRUE
IRS1,-0.3554897344882,0.00226335322613427,0.0728410344711814,Irs1,TRUE
FBP1,0.619906449388021,0.00253757287048046,0.0745214814612773,Fbp1,TRUE
IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,Irs2,TRUE
AKT1,0.387089573539082,0.00343401055010987,0.0789152904062191,Akt1,TRUE
PFKL,0.412788409607824,0.00375888054431156,0.0802162528992835,Pfkl,TRUE
SIRT1,-0.389065828328134,0.0044363570263749,0.0855266768434143,Sirt1,TRUE
PFKFB4,0.131856641195354,0.00500148112903384,0.0874127475573622,Pfkfb4,TRUE
PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,Pik3r2,TRUE
PFKP,0.201971206322531,0.00645525341532389,0.0940478245554191,Pfkp,TRUE
CAMKK2,0.506110584900416,0.00844909260690126,0.100031858033946,Camkk2,TRUE
CFTR,0.346053445795614,0.00848407975775739,0.100031858033946,Cftr,TRUE
HNF4A,0.30625444596782,0.00865664236155255,0.10016520814237,Hnf4a,TRUE
PPP2R5A,-0.262441936043039,0.00882731769154429,0.100936625982014,Ppp2r5a,TRUE
FASN,0.69799363467585,0.0102285985406989,0.104041445819242,Fasn,TRUE
GYS2,-0.436590184422608,0.0112001344569651,0.107509604953939,Gys2,TRUE
STK11,0.354251480632152,0.0153103974501462,0.117879056948494,Stk11,TRUE
IGF1,-0.750196331507432,0.0163841211440685,0.121600797588543,Igf1,TRUE
PRKAA2,0.2883315494399,0.0174833628632484,0.124528023712669,Prkaa2,TRUE
PDPK1,0.153466221786299,0.018028233353959,0.12592415969288,Pdpk1,TRUE
RPS6KB2,0.257949387042562,0.0194903632172992,0.129212989472378,Rps6kb2,TRUE
FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,Foxo3,TRUE
PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,Pik3ca,TRUE
SREBF1,0.435480157850608,0.0261960327030443,0.14479173754425,Srebf1,TRUE
TSC2,0.360866737018733,0.0271776682330935,0.147761600402632,Tsc2,TRUE
MLYCD,0.272131424826275,0.0291126278511173,0.152132859290081,Mlycd,TRUE
PPP2R5B,0.137412769860998,0.0300031487878973,0.155093997102205,Ppp2r5b,TRUE
AKT2,0.272775905162288,0.0322680307039496,0.159941472099098,Akt2,TRUE
TSC1,-0.202386421851348,0.034493511696181,0.164918658956342,Tsc1,TRUE
PFKM,-0.174352886444122,0.044645878124864,0.183139607433781,Pfkm,TRUE
PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,Pik3cd,TRUE
PPP2R5C,-0.214695257186268,0.0541914902763123,0.199279388881882,Ppp2r5c,FALSE
PRKAB2,-0.164901188264764,0.0594438901536121,0.207360796305083,Prkab2,FALSE
AKT3,-0.238769261788149,0.072397760239147,0.23057887352569,Akt3,FALSE
G6PC1,-0.412080288509612,0.0750142815257835,0.235220266743499,G6pc,FALSE
RAB11B,-0.128979335643103,0.0848864845380073,0.250742904734524,Rab11b,FALSE
CPT1A,0.227443438987381,0.0910342838314238,0.261483312387189,Cpt1a,FALSE
PPP2R2B,-0.262770074648551,0.0978848374373925,0.271834208721982,Ppp2r2b,FALSE
CD36,0.228255319331112,0.102088419969093,0.277836454619227,Cd36,FALSE
IGF1R,-0.148765271716842,0.133449327413096,0.323316491359933,Igf1r,FALSE
PPP2CB,-0.154344495591139,0.139208474399713,0.33047865467249,Ppp2cb,FALSE
SCD,0.27776658451618,0.157921821900417,0.353919889889891,,FALSE
PPP2R2A,-0.108782601530249,0.158420652705628,0.35424207213145,Ppp2r2a,FALSE
PIK3CB,-0.0993069744440654,0.160710406845698,0.356482428816149,Pik3cb,FALSE
PPP2R2D,0.119151396427903,0.165293952164548,0.361833034087814,Ppp2r2d,FALSE
CCNA2,-0.112330335974335,0.173981714551894,0.371881643744915,Ccna2,FALSE
INSR,0.169374111461339,0.175103061199346,0.372946779697308,Insr,FALSE
PRKAG2,0.144334536180236,0.179142511226382,0.377254906667062,Prkag2,FALSE
PRKAA1,-0.0832174939496949,0.203035696208847,0.406139240603562,Prkaa1,FALSE
PPARG,0.14873252430513,0.210592958883288,0.413517943865955,Pparg,FALSE
CCNA1,-0.0902774047400793,0.236986304546532,0.440969853595132,Ccna1,FALSE
PCK1,-0.215245386764778,0.241789294735787,0.44541233487075,Pck1,FALSE
FOXO1,-0.105403033427432,0.24841547187657,0.452447197161136,Foxo1,FALSE
PFKFB2,0.0740961266957192,0.255267613635657,0.460184550275791,Pfkfb2,FALSE
CAB39,0.0995298512419271,0.262092054253262,0.465808604308708,Cab39,FALSE
HMGCR,0.322114208989851,0.265480328108024,0.469542101951434,Hmgcr,FALSE
CREB1,-0.0788628754166012,0.27343317375151,0.479569580450201,Creb1,FALSE
PPP2R3C,-0.151989920023,0.276422292168939,0.482338971264616,Ppp2r3c,FALSE
GYS1,-0.0716337209718613,0.296115180093984,0.501143756868133,Gys1,FALSE
ADIPOR1,0.0985079852008817,0.299828895869015,0.50410295091132,Adipor1,FALSE
SLC2A4,0.0833675916829536,0.308686429784471,0.512280834125269,Slc2a4,FALSE
PRKAG1,-0.0911617220470691,0.322923558463888,0.526350012515952,Prkag1,FALSE
PRKAB1,0.0903291141903828,0.333050873638677,0.536308013454462,Prkab1,FALSE
ACACB,0.128498466944628,0.339794153916541,0.54247441134669,Acacb,FALSE
MTOR,0.0609980192311536,0.346097047602718,0.548423227666707,Mtor,FALSE
RAB2A,0.120861387341921,0.355798580095796,0.557760979560936,Rab2a,FALSE
EIF4EBP1,0.0754219943218205,0.37388212514371,0.574302899951308,Eif4ebp1,FALSE
CREB3L2,0.109043372225875,0.405380258924797,0.602060843548898,Creb3l2,FALSE
PPP2R3A,-0.0812689650985154,0.428087382487469,0.623183626354569,Ppp2r3a,FALSE
