cell_type,score,n_STZ,n_Control,diff,p_welch
Endothelial,AMPK_T2D_up_UCell,4,3,0.0020335496064256,0.0799487516188178
Macrophage,AMPK_T2D_up_UCell,4,2,-0.00579878848407893,0.115930653972117
PT,AMPK_T2D_up_UCell,3,2,-0.0196366272213756,0.259047919120309
B_cell,AMPK_T2D_up_UCell,1,1,-0.0127043244767396,
LoH,AMPK_T2D_up_UCell,4,1,-0.0063970749251077,
Distal_tubule,AMPK_T2D_up_UCell,3,1,0.00373636209315215,
T_cell,AMPK_T2D_up_UCell,3,0,,
Fibroblast_Pericyte,AMPK_T2D_up_UCell,3,0,,
cDC,AMPK_T2D_up_UCell,2,0,,
CD_IC,AMPK_T2D_up_UCell,2,0,,
Urothelium,AMPK_T2D_up_UCell,1,0,,
Neutrophil,AMPK_T2D_up_UCell,1,0,,
PT,AMPK_T2D_down_UCell,3,2,-0.00299657751974964,0.491136794778883
Endothelial,AMPK_T2D_down_UCell,4,3,0.00115513631080063,0.634044239040195
Macrophage,AMPK_T2D_down_UCell,4,2,-0.00208390844116027,0.861486887570542
B_cell,AMPK_T2D_down_UCell,1,1,-0.0115195699589537,
LoH,AMPK_T2D_down_UCell,4,1,0.00945935068558124,
Distal_tubule,AMPK_T2D_down_UCell,3,1,0.00591434110576071,
T_cell,AMPK_T2D_down_UCell,3,0,,
Fibroblast_Pericyte,AMPK_T2D_down_UCell,3,0,,
cDC,AMPK_T2D_down_UCell,2,0,,
CD_IC,AMPK_T2D_down_UCell,2,0,,
Urothelium,AMPK_T2D_down_UCell,1,0,,
Neutrophil,AMPK_T2D_down_UCell,1,0,,
