cell_type,score,n_STZ,n_Control,diff,p_welch
Neutrophil,AMPK_T2D_up_UCell,4,3,-0.0143430188858265,0.0196846868708137
T_cell,AMPK_T2D_up_UCell,4,3,-0.00604732749354492,0.0470494499988905
B_cell,AMPK_T2D_up_UCell,4,3,-0.00907979249338618,0.0480931961955458
HSC_Fibroblast,AMPK_T2D_up_UCell,4,3,-0.00450363406780823,0.207213221156862
cDC,AMPK_T2D_up_UCell,4,3,-0.0038178608099286,0.222931609974739
LSEC,AMPK_T2D_up_UCell,4,3,0.00249749203395868,0.438783042174788
NK_cell,AMPK_T2D_up_UCell,4,3,-0.00136060128390028,0.728841036046967
Cholangiocyte,AMPK_T2D_up_UCell,4,3,0.00147566661928035,0.788309442604462
Monocyte,AMPK_T2D_up_UCell,4,3,0.000847823433483469,0.814056271092524
Kupffer_cell,AMPK_T2D_up_UCell,3,2,-0.00213213134127899,0.865769269301562
pDC,AMPK_T2D_up_UCell,4,3,0.000496572309062762,0.876897384309295
Macrophage_other,AMPK_T2D_up_UCell,3,1,-0.000248397788625433,
Hepatocyte,AMPK_T2D_up_UCell,1,0,,
Neutrophil,AMPK_T2D_down_UCell,4,3,-0.0100382730488339,0.0134939844657307
T_cell,AMPK_T2D_down_UCell,4,3,-0.00706351467220182,0.0218909020898072
NK_cell,AMPK_T2D_down_UCell,4,3,-0.00449499272470884,0.0490177734788143
Cholangiocyte,AMPK_T2D_down_UCell,4,3,-0.0108046316201907,0.056250546082939
cDC,AMPK_T2D_down_UCell,4,3,0.00558763373298309,0.10291405610415
pDC,AMPK_T2D_down_UCell,4,3,-0.00393649425017224,0.22212448456083
B_cell,AMPK_T2D_down_UCell,4,3,-0.0098263329851683,0.23746320127222
Monocyte,AMPK_T2D_down_UCell,4,3,-0.00212378012050587,0.671737656027713
LSEC,AMPK_T2D_down_UCell,4,3,0.000636834516153047,0.833196703699389
HSC_Fibroblast,AMPK_T2D_down_UCell,4,3,-0.00020999110860391,0.983253440596231
Kupffer_cell,AMPK_T2D_down_UCell,3,2,3.03491587790444e-05,0.99789520643324
Macrophage_other,AMPK_T2D_down_UCell,3,1,0.012201508521643,
Hepatocyte,AMPK_T2D_down_UCell,1,0,,
