tissue,cell_type,genes_tested,human_DE_tested,cell_concordant,pb_tested,pb_concordant,both_concordant,genes_both,genes_cell_only,n_ctl,n_stz
liver,Cholangiocyte,91,34,9,69,2,2,Ppargc1a;Ccnd1,Igf1;Irs2;Pik3ca;Pik3r2;Ppp2r1a;Ppp2r5a;Sirt1,164,472
liver,T_cell,49,17,5,49,1,1,Ppp2r5a,Irs2;Pik3ca;Sirt1;Tsc1,690,1328
liver,pDC,75,26,2,60,1,1,Irs2,Foxo3,374,374
liver,LSEC,60,19,1,36,2,1,Ccnd1,"",311,434
kidney,Endothelial,69,23,1,69,1,1,Ccnd1,"",1112,1763
liver,HSC_Fibroblast,79,28,14,70,0,0,"",Akt1;Camkk2;Ccnd1;Creb3;Fasn;Igf1;Irs1;Irs2;Pfkl;Pfkm;Pik3ca;Ppp2r1a;Sirt1;Tsc2,234,1790
liver,B_cell,50,19,7,50,0,0,"",Camkk2;Irs2;Pik3ca;Pik3cd;Ppp2r5a;Sirt1;Tsc1,4103,3283
kidney,Fibroblast_Pericyte,83,32,7,0,0,0,"",Creb3;Pdpk1;Pfkm;Ppp2r1a;Sirt1;Stk11;Tsc1,15,576
kidney,PT,79,29,4,0,0,0,"",Akt2;Gys2;Pik3ca;Ppp2r5a,150,174
kidney,CD_IC,90,31,3,0,0,0,"",Irs2;Pik3ca;Ppp2r5a,18,278
liver,Monocyte,72,24,2,52,0,0,"",Foxo3;Ppp2r5a,303,617
kidney,B_cell,68,25,2,0,0,0,"",Foxo3;Ppp2r5a,36,153
liver,cDC,79,28,1,71,0,0,"",Ppp2r5a,241,490
kidney,LoH,82,30,1,0,0,0,"",Pfkfb3,32,131
kidney,Macrophage,64,22,1,0,0,0,"",Irs2,90,817
liver,Macrophage_other,67,25,0,0,0,0,"","",39,175
liver,NK_cell,58,20,0,30,0,0,"","",191,405
liver,Kupffer_cell,51,20,0,0,0,0,"","",68,134
liver,Neutrophil,36,15,0,18,0,0,"","",204,368
kidney,Distal_tubule,70,25,0,0,0,0,"","",41,193
kidney,T_cell,55,19,0,0,0,0,"","",41,304
kidney,Tubular_epithelium_other,91,35,0,0,0,0,"","",12,22
kidney,cDC,72,26,0,0,0,0,"","",23,129
