mouse,cell_type,tissue,n_ctl,n_stz,cell_log2FC,pct_STZ,pct_Control,cell_p,cell_BH,pb_logFC,pb_P,pb_FDR,human,human_logFC,human_P,human_DE,cell_concordant,pb_concordant
Mtor,B_cell,kidney,36,153,-2.98345433814018,0.013,0.167,5.06169067124846e-05,0.00344194965644895,,,,MTOR,0.0609980192311536,0.346097047602718,FALSE,FALSE,FALSE
Foxo3,B_cell,kidney,36,153,-0.99355401096627,0.046,0.25,0.000177556903368675,0.00579869937937108,,,,FOXO3,-0.258505148092882,0.0236771002828433,TRUE,TRUE,FALSE
Foxo1,B_cell,kidney,36,153,-0.807192969388585,0.092,0.389,0.000308682275383942,0.00579869937937108,,,,FOXO1,-0.105403033427432,0.24841547187657,FALSE,FALSE,FALSE
G6pc,B_cell,kidney,36,153,-4.20026555125344,0,0.056,0.000341099963492416,0.00579869937937108,,,,G6PC1,-0.412080288509612,0.0750142815257835,FALSE,FALSE,FALSE
Rab2a,B_cell,kidney,36,153,-0.775828139253059,0.144,0.444,0.000479184377652763,0.00651690753607758,,,,RAB2A,0.120861387341921,0.355798580095796,FALSE,FALSE,FALSE
Strada,B_cell,kidney,36,153,-2.25683476868394,0.02,0.167,0.000765156283802738,0.00867177121643103,,,,STRADA,0.0482638423255332,0.441561159337292,FALSE,FALSE,FALSE
Rps6kb1,B_cell,kidney,36,153,-1.60214399428685,0.065,0.25,0.00107307302189489,0.0104241379269789,,,,RPS6KB1,-0.0150524871094566,0.834304342285709,FALSE,FALSE,FALSE
Rab8a,B_cell,kidney,36,153,-1.01381372934675,0.098,0.333,0.00203560458879441,0.0163066898213497,,,,RAB8A,,,FALSE,FALSE,FALSE
Map3k7,B_cell,kidney,36,153,-2.09896113189715,0.033,0.167,0.0023508900723129,0.0163066898213497,,,,MAP3K7,-0.0337117987684358,0.660626089455411,FALSE,FALSE,FALSE
Pik3r1,B_cell,kidney,36,153,-0.498403126457786,0.078,0.278,0.0026259819753503,0.0163066898213497,,,,PIK3R1,-0.146984642979826,0.44195620227449,FALSE,FALSE,FALSE
Pfkp,B_cell,kidney,36,153,-0.671713756340885,0.046,0.194,0.00275119930249962,0.0163066898213497,,,,PFKP,0.201971206322531,0.00645525341532389,TRUE,FALSE,FALSE
Tbc1d1,B_cell,kidney,36,153,-0.460909369131395,0.105,0.306,0.00287765114494406,0.0163066898213497,,,,TBC1D1,0.0427897471858399,0.548382850593194,FALSE,FALSE,FALSE
Akt3,B_cell,kidney,36,153,-1.51192442577304,0.02,0.139,0.00457417368357015,0.0236291662057062,,,,AKT3,-0.238769261788149,0.072397760239147,FALSE,FALSE,FALSE
Pik3cd,B_cell,kidney,36,153,-1.02922861766102,0.052,0.222,0.00486482833646892,0.0236291662057062,,,,PIK3CD,0.187312414207718,0.0479971366369964,TRUE,FALSE,FALSE
Ppp2r5a,B_cell,kidney,36,153,-0.361071348317194,0.137,0.333,0.00545796069340516,0.0247427551434367,,,,PPP2R5A,-0.262441936043039,0.00882731769154429,TRUE,TRUE,FALSE
