mouse,cell_type,tissue,n_ctl,n_stz,cell_log2FC,pct_STZ,pct_Control,cell_p,cell_BH,pb_logFC,pb_P,pb_FDR,human,human_logFC,human_P,human_DE,cell_concordant,pb_concordant
Ppp2ca,B_cell,liver,4103,3283,-0.385056916392969,0.23,0.388,2.08858569761391e-29,1.04429284880695e-27,-0.379021936645588,0.00210436295804862,0.316986844177838,PPP2CA,,,FALSE,FALSE,FALSE
Stk11,B_cell,liver,4103,3283,-0.493316599055036,0.101,0.2,1.6439158883949e-25,4.10978972098726e-24,-0.457560437049434,0.00151338085500419,0.280299929427805,STK11,0.354251480632152,0.0153103974501462,TRUE,FALSE,FALSE
Rheb,B_cell,liver,4103,3283,-0.243382711580646,0.167,0.271,9.13951420137871e-18,1.52325236689645e-16,-0.254295468617397,0.0515547029899168,0.682324219027144,RHEB,0.000762141165105317,0.994533538297037,FALSE,FALSE,FALSE
Ppp2r5a,B_cell,liver,4103,3283,-0.239247283591879,0.177,0.275,3.29359170526916e-15,4.11698963158645e-14,-0.200411841066896,0.0824669392127109,0.745642793421944,PPP2R5A,-0.262441936043039,0.00882731769154429,TRUE,TRUE,FALSE
Irs2,B_cell,liver,4103,3283,-0.155683110018451,0.373,0.509,6.73626559609172e-15,6.73626559609172e-14,-0.0555690957030593,0.734743260226334,0.972000673451282,IRS2,-0.584420274513232,0.00290962468594569,TRUE,TRUE,FALSE
Rab2a,B_cell,liver,4103,3283,-0.132063149882113,0.194,0.296,2.05095031764537e-14,1.70912526470448e-13,-0.0760317012395521,0.506659790856189,0.931517461294407,RAB2A,0.120861387341921,0.355798580095796,FALSE,FALSE,FALSE
Hmgcr,B_cell,liver,4103,3283,-0.244721742184295,0.086,0.15,9.04019045507567e-14,6.45727889648262e-13,-0.252920057266715,0.072906434398612,0.743526171364124,HMGCR,0.322114208989851,0.265480328108024,FALSE,FALSE,FALSE
Sirt1,B_cell,liver,4103,3283,-0.413830705813613,0.087,0.149,1.08645292958493e-13,6.79033080990579e-13,-0.293121129978635,0.0988018364320776,0.757162287579854,SIRT1,-0.389065828328134,0.0044363570263749,TRUE,TRUE,FALSE
Ppp2r2a,B_cell,liver,4103,3283,-0.199186063087314,0.178,0.27,1.77747166011096e-13,9.87484255617201e-13,-0.157512337535077,0.198843228335618,0.825300067552226,PPP2R2A,-0.108782601530249,0.158420652705628,FALSE,FALSE,FALSE
Cab39,B_cell,liver,4103,3283,-0.121890046123645,0.145,0.223,6.64690630439803e-12,3.32345315219902e-11,-0.0876239495607976,0.51095226489492,0.934060130328054,CAB39,0.0995298512419271,0.262092054253262,FALSE,FALSE,FALSE
Pfkl,B_cell,liver,4103,3283,-0.269887669555024,0.067,0.118,1.24688677406498e-11,5.66766715484084e-11,-0.316456324862809,0.0735289793314478,0.745340824002752,PFKL,0.412788409607824,0.00375888054431156,TRUE,FALSE,FALSE
Rps6kb1,B_cell,liver,4103,3283,-0.217717660094119,0.107,0.17,1.52584712370787e-11,6.35769634878279e-11,-0.162248561744782,0.265855473075026,0.857619909025258,RPS6KB1,-0.0150524871094566,0.834304342285709,FALSE,FALSE,FALSE
Rab10,B_cell,liver,4103,3283,-0.0171108022169953,0.173,0.252,6.78776164524912e-10,2.61067755586505e-09,-0.0287574020421398,0.800479645153633,0.980618672291007,RAB10,,,FALSE,FALSE,FALSE
Pik3ca,B_cell,liver,4103,3283,-0.176511645023854,0.081,0.131,1.24321847465627e-09,4.44006598091524e-09,-0.0860007059789728,0.626260267048094,0.960605909315096,PIK3CA,-0.194162266153804,0.025007761246042,TRUE,TRUE,FALSE
Pdpk1,B_cell,liver,4103,3283,-0.174106391404811,0.072,0.117,2.04689801730666e-09,6.82299339102221e-09,-0.118481197793621,0.464374512169654,0.916615928705908,PDPK1,0.153466221786299,0.018028233353959,TRUE,FALSE,FALSE
Ppp2r1a,B_cell,liver,4103,3283,-0.125136764836498,0.087,0.135,1.01314344804381e-08,3.16607327513691e-08,-0.111327599339745,0.44119782911519,0.910276473611717,PPP2R1A,0.348763030574157,0.00116430586290843,TRUE,FALSE,FALSE
Rab14,B_cell,liver,4103,3283,-0.0153210019687043,0.288,0.399,1.13195075208003e-08,3.32926691788244e-08,-0.0242634738861867,0.829001223268606,0.985789978188079,RAB14,-0.0725879174061108,0.493282542838044,FALSE,FALSE,FALSE
Ppp2r5c,B_cell,liver,4103,3283,-0.0940696091758042,0.093,0.142,1.23576235930156e-08,3.43267322028211e-08,-0.0161670857137316,0.91118047839876,0.995111324019953,PPP2R5C,-0.214695257186268,0.0541914902763123,FALSE,FALSE,FALSE
Rab8a,B_cell,liver,4103,3283,-0.00286102349300156,0.173,0.247,2.16426204700107e-08,5.64860850338151e-08,-0.0184185722453535,0.885566741422902,0.992108730169681,RAB8A,,,FALSE,FALSE,FALSE
Adipor2,B_cell,liver,4103,3283,-0.121727667671799,0.068,0.109,2.25944340135261e-08,5.64860850338151e-08,-0.105408746349705,0.497480359034408,0.928340835425934,ADIPOR2,0.0715962771728451,0.531210570140672,FALSE,FALSE,FALSE
Crtc2,B_cell,liver,4103,3283,-0.268802533220171,0.04,0.071,9.70159329388268e-08,2.30990316521016e-07,-0.331713221698761,0.0915367791407252,0.748135739984094,CRTC2,,,FALSE,FALSE,FALSE
Eef2,B_cell,liver,4103,3283,-0.0807592848606475,0.765,0.9,6.71314532127768e-07,1.52571484574493e-06,-0.0588826654291474,0.579679951493121,0.947671556660632,EEF2,0.448462726762021,0.00104406663485494,TRUE,FALSE,FALSE
Pik3cd,B_cell,liver,4103,3283,0.0148100305294676,0.097,0.143,9.75019380807379e-07,2.11960734958126e-06,-0.0177151852652819,0.894700327678237,0.992273620561228,PIK3CD,0.187312414207718,0.0479971366369964,TRUE,TRUE,FALSE
Pfkp,B_cell,liver,4103,3283,-0.104685290632412,0.043,0.069,3.84364549262502e-06,8.00759477630213e-06,-0.0857316730150114,0.658919490745004,0.964681783196447,PFKP,0.201971206322531,0.00645525341532389,TRUE,FALSE,FALSE
Rab11b,B_cell,liver,4103,3283,0.0584693670676517,0.15,0.207,5.23591066725904e-06,1.04718213345181e-05,-0.0017578976904554,0.988647528416209,0.999879432382682,RAB11B,-0.128979335643103,0.0848864845380073,FALSE,FALSE,FALSE
Tsc1,B_cell,liver,4103,3283,-0.12278897280868,0.049,0.077,7.07129690695693e-06,1.35986478979941e-05,-0.0528105966172211,0.774253096446946,0.975699207787895,TSC1,-0.202386421851348,0.034493511696181,TRUE,TRUE,FALSE
Adipor1,B_cell,liver,4103,3283,0.119235441334887,0.145,0.198,7.92855909298361e-06,1.46825168388585e-05,0.0992420228147199,0.435717100047909,0.907384858463287,ADIPOR1,0.0985079852008817,0.299828895869015,FALSE,FALSE,FALSE
Ppp2r5e,B_cell,liver,4103,3283,0.0484203540565364,0.065,0.097,8.88705407317757e-06,1.56873687125328e-05,-0.0153453143635763,0.925191779551827,0.995691005359427,PPP2R5E,-0.0251597625886988,0.835509017894403,FALSE,FALSE,FALSE
Ppp2r2d,B_cell,liver,4103,3283,0.00255087566393319,0.094,0.134,9.09867385326903e-06,1.56873687125328e-05,0.0199506652272505,0.883412599147138,0.992017198857632,PPP2R2D,0.119151396427903,0.165293952164548,FALSE,FALSE,FALSE
Ppp2cb,B_cell,liver,4103,3283,-0.164561858769427,0.049,0.076,9.56944834725639e-06,1.59490805787607e-05,-0.0949833308060802,0.585861047073014,0.948444949557496,PPP2CB,-0.154344495591139,0.139208474399713,FALSE,FALSE,FALSE
Akt1,B_cell,liver,4103,3283,-0.0852952233706468,0.04,0.064,1.61823063417179e-05,2.6100494099545e-05,-0.0799232584874113,0.660221653336997,0.965051226900975,AKT1,0.387089573539082,0.00343401055010987,TRUE,FALSE,FALSE
Fasn,B_cell,liver,4103,3283,-0.159898197145299,0.031,0.053,1.77851859754164e-05,2.77893530865881e-05,-0.196991613289218,0.311454524634231,0.869483239590441,FASN,0.69799363467585,0.0102285985406989,TRUE,FALSE,FALSE
Prkag1,B_cell,liver,4103,3283,-0.0316846768637646,0.05,0.076,3.6038364499198e-05,5.46035825745424e-05,-0.0932700398446291,0.605293870940482,0.956783478756395,PRKAG1,-0.0911617220470691,0.322923558463888,FALSE,FALSE,FALSE
Cab39l,B_cell,liver,4103,3283,0.0690974489800955,0.078,0.11,5.56866066407664e-05,8.18920685893624e-05,0.0596491018649842,0.690315453684707,0.966985092394024,CAB39L,0.0137396623132676,0.857025750656643,FALSE,FALSE,FALSE
Akt3,B_cell,liver,4103,3283,-0.0213798826593428,0.068,0.097,8.11231328941845e-05,0.000114996590144384,0.103079820127847,0.553521817234112,0.940882400138608,AKT3,-0.238769261788149,0.072397760239147,FALSE,FALSE,FALSE
Creb1,B_cell,liver,4103,3283,0.123840020293688,0.104,0.142,8.27975449039566e-05,0.000114996590144384,0.119613151474196,0.376850192135117,0.893627430043131,CREB1,-0.0788628754166012,0.27343317375151,FALSE,FALSE,FALSE
Pfkfb4,B_cell,liver,4103,3283,-0.0717897664582705,0.033,0.053,0.000138512951223696,0.000187179663815805,-0.0443565434550548,0.856280835488746,0.990111894710976,PFKFB4,0.131856641195354,0.00500148112903384,TRUE,FALSE,FALSE
Foxo1,B_cell,liver,4103,3283,0.099021327530232,0.248,0.32,0.000159331138829598,0.000206183185501804,0.161110109748121,0.188887087491826,0.8164490186519,FOXO1,-0.105403033427432,0.24841547187657,FALSE,FALSE,FALSE
Strada,B_cell,liver,4103,3283,0.0249910297120612,0.046,0.069,0.000160822884691407,0.000206183185501804,-0.00115130292974164,0.994525943328559,0.999879432382682,STRADA,0.0482638423255332,0.441561159337292,FALSE,FALSE,FALSE
Elavl1,B_cell,liver,4103,3283,0.115575495612529,0.117,0.155,0.000296433396553432,0.000370541745691791,0.0919143014135854,0.489610154551318,0.926219359148197,ELAVL1,0.00629859637126631,0.929732702059394,FALSE,FALSE,FALSE
Akt2,B_cell,liver,4103,3283,-0.0986949117782259,0.048,0.07,0.000317903932091509,0.000387687722062816,-0.0470762652553736,0.793349500690383,0.978081852590985,AKT2,0.272775905162288,0.0322680307039496,TRUE,FALSE,FALSE
Insr,B_cell,liver,4103,3283,-0.109585716726149,0.038,0.057,0.000462822283481097,0.000550978908906067,0.0143478664045618,0.948771277868522,0.997389732307642,INSR,0.169374111461339,0.175103061199346,FALSE,FALSE,FALSE
Foxo3,B_cell,liver,4103,3283,0.0429989526729773,0.041,0.061,0.00051205898658678,0.000595417426263698,0.0126187368175049,0.951614026530781,0.997389732307642,FOXO3,-0.258505148092882,0.0236771002828433,TRUE,FALSE,FALSE
