tissue,axis,cell_type,genes_tested,concordant_P05,concordant_FDR05,robust_exSTZ4,concordant_genes,best_concordant_pair,best_pair_pseudobulk_r,best_pair_pseudobulk_p,best_pair_cell_rho,best_pair_cell_p,best_pair_pct_coexpr
kidney,AMPK,Endothelial,10,2,1,2,Ccnd1;Foxo1,Foxo1-Ccnd1,-0.562793655498214,0.188392635198389,0.281142782001813,1.90089270903508e-07,11.55
kidney,p53,Endothelial,9,5,5,5,Phlda3;Ccnd1;Zmat3;Cdkn1a;Bax,Ccnd1-Phlda3,0.966184408745905,0.000396582103981174,0.273791876207027,0.0003158352553665,5.88
liver,AMPK,Cholangiocyte,11,2,0,2,Ccnd1;Ppargc1a,Ppargc1a-Ccnd1,-0.229723850019619,0.620217215807797,-0.138406537282942,0.198441901596205,13.84
liver,AMPK,LSEC,4,1,0,0,Ccnd1,,,,,,
liver,AMPK,T_cell,8,1,0,1,Foxo1,,,,,,
liver,AMPK,pDC,7,1,0,1,Irs2,,,,,,
liver,AMPK,B_cell,8,0,0,0,"",,,,,,
liver,AMPK,HSC_Fibroblast,9,0,0,0,"",,,,,,
liver,AMPK,Monocyte,4,0,0,0,"",,,,,,
liver,AMPK,NK_cell,2,0,0,0,"",,,,,,
liver,AMPK,Neutrophil,1,0,0,0,"",,,,,,
liver,AMPK,cDC,8,0,0,0,"",,,,,,
liver,p53,LSEC,5,4,0,2,Phlda3;Cdkn1a;Ccnd1;Bax,Cdkn1a-Phlda3,0.989642858169358,2.08516156572122e-05,0.227541827541828,0.181989529329675,4.83
liver,p53,Cholangiocyte,7,4,2,4,Phlda3;Cdkn1a;Ccnd1;Bax,Bax-Phlda3,0.942462527109864,0.00147846542146183,0.545023298769993,9.97126641850039e-08,13.05
liver,p53,B_cell,4,0,0,0,"",,,,,,
liver,p53,HSC_Fibroblast,9,0,0,0,"",,,,,,
liver,p53,Monocyte,4,0,0,0,"",,,,,,
liver,p53,NK_cell,4,0,0,0,"",,,,,,
liver,p53,Neutrophil,1,0,0,0,"",,,,,,
liver,p53,T_cell,4,0,0,0,"",,,,,,
liver,p53,cDC,5,0,0,0,"",,,,,,
liver,p53,pDC,5,0,0,0,"",,,,,,
