gene,cell_type,axis,logFC,PValue,FDR,pct_cells_detected,logFC_exSTZ4,P_exSTZ4,human,human_logFC,human_P,concordant,concordant_P05,robust_exSTZ4
Camkk2,Endothelial,AMPK,0.312045262342346,0.192551540381353,0.713221248865115,10.85,0.266979296866249,0.282489516758535,CAMKK2,0.506110584900416,0.00844909260690126,TRUE,FALSE,FALSE
Ccnd1,Endothelial,AMPK,0.97401374785967,1.19458182251943e-06,0.00151455848219794,35.23,0.962731050528252,3.13011680483986e-06,CCND1,0.8031084765255,0.00074921048132828,TRUE,TRUE,TRUE
Fasn,Endothelial,AMPK,0.614510213650268,0.150859990139843,0.674578484275539,2.54,0.812710859329315,0.0419794902024251,FASN,0.69799363467585,0.0102285985406989,TRUE,FALSE,FALSE
Fbp1,,AMPK,,,,,,,FBP1,0.619906449388021,0.00253757287048046,FALSE,FALSE,FALSE
Foxo1,Endothelial,AMPK,-0.329334677874293,0.031665898980041,0.433659450793196,29.63,-0.361245091573779,0.0223684378802759,FOXO1,-0.105403033427432,0.24841547187657,TRUE,TRUE,TRUE
Igf1,Endothelial,AMPK,0.0715942993815418,0.833630839702991,0.970041239235742,13.5,0.175696350667437,0.622089506902803,IGF1,-0.750196331507432,0.0163841211440685,FALSE,FALSE,FALSE
Irs2,Endothelial,AMPK,0.0901440967844545,0.857445067407989,0.976061468350256,1.6,0.266373346989875,0.58932058618142,IRS2,-0.584420274513232,0.00290962468594569,FALSE,FALSE,FALSE
Ppargc1a,,AMPK,,,,,,,PPARGC1A,-0.612471761557638,0.000603487342297342,FALSE,FALSE,FALSE
Prkaa1,Endothelial,AMPK,0.203537293163554,0.396220772819019,0.840461824795851,7.23,0.197258263499883,0.433987757497817,PRKAA1,-0.0832174939496949,0.203035696208847,FALSE,FALSE,FALSE
Prkaa2,,AMPK,,,,,,,PRKAA2,0.2883315494399,0.0174833628632484,FALSE,FALSE,FALSE
Sirt1,Endothelial,AMPK,-0.256589181672719,0.264803058475129,0.765838384444021,8.35,-0.346675254615955,0.152332649940257,SIRT1,-0.389065828328134,0.0044363570263749,TRUE,FALSE,FALSE
Srebf1,Endothelial,AMPK,0.0731344386108022,0.786041456325607,0.95812420137626,5.67,0.120346691552931,0.67366286809175,SREBF1,0.435480157850608,0.0261960327030443,TRUE,FALSE,FALSE
Stk11,Endothelial,AMPK,-0.619033591556107,0.000653533853711868,0.0611413166669718,18.23,-0.597816674700049,0.0013987129020803,STK11,0.354251480632152,0.0153103974501462,FALSE,FALSE,FALSE
Bax,Endothelial,p53,0.605013595757011,0.000467218035232384,0.0495584348902317,42.09,0.636808504542744,0.000439032290521117,BAX,0.341780465352488,0.0136443501184127,TRUE,TRUE,TRUE
Ccnd1,Endothelial,p53,0.97401374785967,1.19458182251943e-06,0.00151455848219794,35.23,0.962731050528252,3.13011680483986e-06,CCND1,0.8031084765255,0.00074921048132828,TRUE,TRUE,TRUE
Cdkn1a,Endothelial,p53,1.25533960716011,1.37750704672281e-05,0.00751551638726709,26.61,1.2859996872597,0.000143456632044871,CDKN1A,0.960105171790021,5.29391439571774e-06,TRUE,TRUE,TRUE
Igf1,Endothelial,p53,0.0715942993815418,0.833630839702991,0.970041239235742,13.5,0.175696350667437,0.622089506902803,IGF1,-0.750196331507432,0.0163841211440685,FALSE,FALSE,FALSE
Mdm2,Endothelial,p53,0.204785434379402,0.338570602150605,0.809426991016305,10.82,0.110589559944128,0.609131903012517,MDM2,0.17303418058197,0.0246563674273424,TRUE,FALSE,FALSE
Phlda3,Endothelial,p53,2.83113650937105,1.06257138464813e-10,9.85534959261142e-07,11.41,2.90096232799975,3.13133984545178e-10,PHLDA3,0.160508637806877,0.0173043302157062,TRUE,TRUE,TRUE
Serpine1,Endothelial,p53,0.100516047039876,0.697358500182837,0.939233831811233,7.2,0.0574842028981638,0.836443981412276,SERPINE1,0.940729889973464,0.000471244197152316,TRUE,FALSE,FALSE
Trp53,Endothelial,p53,-0.0548815724264474,0.759269975637961,0.950903111442256,17.91,0.00423679279522935,0.981354134509105,TP53,-0.0551538333789604,0.60906562524867,TRUE,FALSE,FALSE
Zmat3,Endothelial,p53,2.44202230562445,1.57953858273469e-06,0.00151455848219794,4.28,2.26534475474122,5.24462062522116e-06,ZMAT3,0.521870426246668,0.000836411484490072,TRUE,TRUE,TRUE
