tissue,cell_type,axis,gene1,gene2,n_mice,pseudobulk_r,pseudobulk_p,cells_coexpressing,pct_coexpressing,cell_rho,cell_p,both_concordant
kidney,Endothelial,AMPK,Stk11,Ccnd1,7,-0.976384158319065,0.000162534570650615,200,6.96,0.25837819391398,0.000220718567574391,FALSE
kidney,Endothelial,AMPK,Prkaa1,Camkk2,7,0.895612728503928,0.0063876863667723,21,0.73,0.948051948051948,6.71168162603041e-11,FALSE
kidney,Endothelial,AMPK,Foxo1,Fasn,7,-0.808152168148714,0.0278411094294471,20,0.7,0.658646616541354,0.00158932618329826,FALSE
kidney,Endothelial,AMPK,Prkaa2,Irs2,7,-0.754233119710615,0.0501244404568296,1,0.03,,,FALSE
kidney,Endothelial,AMPK,Ppargc1a,Igf1,7,0.715522812134365,0.0706256038310087,1,0.03,,,FALSE
kidney,Endothelial,AMPK,Prkaa2,Ccnd1,7,0.690276939469853,0.0860488422574466,9,0.31,,,FALSE
kidney,Endothelial,AMPK,Ppargc1a,Irs2,7,-0.657876693851744,0.10821628880586,1,0.03,,,FALSE
kidney,Endothelial,AMPK,Sirt1,Fasn,7,-0.634676072738358,0.125718160306968,7,0.24,,,FALSE
kidney,Endothelial,AMPK,Stk11,Foxo1,7,0.60770661983677,0.147751399816789,188,6.54,0.458802691147893,3.55183959919803e-11,FALSE
kidney,Endothelial,AMPK,Sirt1,Ppargc1a,7,-0.605784846829666,0.149390032865833,2,0.07,,,FALSE
kidney,Endothelial,AMPK,Prkaa2,Stk11,7,-0.571013227739084,0.180591897452492,2,0.07,,,FALSE
kidney,Endothelial,AMPK,Foxo1,Ccnd1,7,-0.562793655498214,0.188392635198389,332,11.55,0.281142782001813,1.90089270903508e-07,TRUE
kidney,Endothelial,AMPK,Igf1,Srebf1,7,0.550970101536169,0.199894111784046,19,0.66,0.454385964912281,0.0506516526953755,FALSE
kidney,Endothelial,AMPK,Stk11,Fasn,7,-0.534699792494702,0.216255552113915,12,0.42,0.72027972027972,0.00823976871233844,FALSE
kidney,Endothelial,AMPK,Irs2,Igf1,7,-0.494034405153034,0.259787141915868,4,0.14,,,FALSE
kidney,Endothelial,AMPK,Fasn,Ccnd1,7,0.475246069464746,0.281133186425757,27,0.94,0.131868131868132,0.512045160706337,FALSE
kidney,Endothelial,AMPK,Stk11,Ppargc1a,7,-0.462805749494878,0.295681975604305,1,0.03,,,FALSE
kidney,Endothelial,AMPK,Ppargc1a,Ccnd1,7,0.461992680555655,0.296644174716152,5,0.17,,,FALSE
kidney,Endothelial,AMPK,Ppargc1a,Fasn,7,0.448322864376339,0.313026416941613,0,0,,,FALSE
kidney,Endothelial,AMPK,Prkaa2,Ppargc1a,7,0.403829815224157,0.368942173469088,0,0,,,FALSE
kidney,Endothelial,AMPK,Foxo1,Srebf1,7,0.399521580152126,0.374559420932143,60,2.09,0.656960266740762,1.19338304702406e-08,FALSE
kidney,Endothelial,AMPK,Prkaa1,Foxo1,7,0.398541811069641,0.375841725583578,73,2.54,0.638050059797607,1.26556157638308e-09,FALSE
kidney,Endothelial,AMPK,Igf1,Fasn,7,0.381647975392088,0.398230081524538,9,0.31,,,FALSE
kidney,Endothelial,AMPK,Prkaa1,Srebf1,7,0.365279238488897,0.420411792823999,12,0.42,1,0,FALSE
kidney,Endothelial,AMPK,Stk11,Sirt1,7,0.360109940222279,0.427514080104812,41,1.43,0.505400696864112,0.000750394531550305,FALSE
kidney,Endothelial,AMPK,Stk11,Camkk2,7,-0.350022193671926,0.441505157365886,59,2.05,0.623845704266511,1.30192546654915e-07,FALSE
kidney,Endothelial,AMPK,Prkaa2,Srebf1,7,-0.348896092937105,0.443077609759213,3,0.1,,,FALSE
kidney,Endothelial,AMPK,Camkk2,Srebf1,7,0.345695551445126,0.447558257529845,19,0.66,0.854385964912281,3.2172936207613e-06,FALSE
kidney,Endothelial,AMPK,Prkaa1,Sirt1,7,-0.345339052834624,0.448058393251777,23,0.8,0.821146245059289,1.57532413446526e-06,FALSE
kidney,Endothelial,AMPK,Irs2,Ccnd1,7,-0.341394851335077,0.453605713197829,14,0.49,0.323076923076923,0.25987361950879,FALSE
kidney,Endothelial,AMPK,Prkaa1,Stk11,7,-0.320338787204174,0.48364385689042,47,1.63,0.662234042553192,3.98287458949286e-07,FALSE
kidney,Endothelial,AMPK,Camkk2,Fasn,7,-0.317333495459142,0.487987945399109,5,0.17,,,FALSE
kidney,Endothelial,AMPK,Sirt1,Foxo1,7,0.307579891758942,0.502181344595912,83,2.89,0.495578936327764,1.90246789457116e-06,FALSE
kidney,Endothelial,AMPK,Sirt1,Ccnd1,7,-0.295409445216201,0.520090107459284,68,2.37,0.363403857365265,0.00231893981289678,FALSE
kidney,Endothelial,AMPK,Prkaa1,Ppargc1a,7,0.291161451285516,0.526391541709522,4,0.14,,,FALSE
kidney,Endothelial,AMPK,Camkk2,Foxo1,7,0.268634045813518,0.560228151753783,102,3.55,0.627754437351217,1.65068463493686e-12,FALSE
