gene,cell_type,axis,logFC,PValue,FDR,pct_cells_detected,logFC_exSTZ4,P_exSTZ4,human,human_logFC,human_P,concordant,concordant_P05,robust_exSTZ4
Camkk2,B_cell,AMPK,0.0332615187267489,0.848742356367321,0.988473816537704,5.28,0.0402279919283294,0.827775903356667,CAMKK2,0.506110584900416,0.00844909260690126,TRUE,FALSE,FALSE
Camkk2,Cholangiocyte,AMPK,0.517988789041819,0.395202771425035,0.914225264635007,8.49,,,CAMKK2,0.506110584900416,0.00844909260690126,TRUE,FALSE,FALSE
Camkk2,HSC_Fibroblast,AMPK,0.240395026344012,0.436644376159331,0.945718183992725,9.24,0.0428020988310526,0.887695800316912,CAMKK2,0.506110584900416,0.00844909260690126,TRUE,FALSE,FALSE
Camkk2,LSEC,AMPK,0.0678726855722499,0.853048595770664,0.996165002953132,9.26,0.179299384951834,0.627427920966792,CAMKK2,0.506110584900416,0.00844909260690126,TRUE,FALSE,FALSE
Camkk2,Monocyte,AMPK,0.0759832816517131,0.815727166758216,0.999145022914932,36.41,-0.0560388691572178,0.860504623825322,CAMKK2,0.506110584900416,0.00844909260690126,TRUE,FALSE,FALSE
Camkk2,T_cell,AMPK,-0.0252171198238567,0.943992582429203,0.994709062715447,3.57,0.0235968169524299,0.950123513935997,CAMKK2,0.506110584900416,0.00844909260690126,FALSE,FALSE,FALSE
Camkk2,cDC,AMPK,-0.0331289264024001,0.94014906184033,0.99875188110707,11.63,-0.227358603647441,0.555548803581604,CAMKK2,0.506110584900416,0.00844909260690126,FALSE,FALSE,FALSE
Ccnd1,Cholangiocyte,AMPK,1.09527899016613,0.000640595870167237,0.116685250545614,68.24,1.2673057416189,2.48240552886471e-05,CCND1,0.8031084765255,0.00074921048132828,TRUE,TRUE,TRUE
Ccnd1,HSC_Fibroblast,AMPK,0.0547530160317789,0.831631579502109,0.988795246939305,22.38,-0.211895156899343,0.303675031403793,CCND1,0.8031084765255,0.00074921048132828,TRUE,FALSE,FALSE
Ccnd1,LSEC,AMPK,1.09862658347374,0.0192654695536051,0.952306013506707,28.46,0.600954780965601,0.0771112582550897,CCND1,0.8031084765255,0.00074921048132828,TRUE,TRUE,FALSE
Ccnd1,cDC,AMPK,-0.137805591303207,0.585935347832998,0.99875188110707,58,-0.0720951969261542,0.768998633889446,CCND1,0.8031084765255,0.00074921048132828,FALSE,FALSE,FALSE
Ccnd1,pDC,AMPK,0.150008729494262,0.362898060238745,0.93974599374307,85.96,0.042480424888058,0.800453697521392,CCND1,0.8031084765255,0.00074921048132828,TRUE,FALSE,FALSE
Fasn,B_cell,AMPK,-0.196991613289218,0.311454524634231,0.869483239590441,4.32,-0.200499611309626,0.333220872585504,FASN,0.69799363467585,0.0102285985406989,FALSE,FALSE,FALSE
Fasn,Cholangiocyte,AMPK,0.0654600879936374,0.814821265351685,0.983340285230208,20.75,-0.140462791169944,0.620638258205748,FASN,0.69799363467585,0.0102285985406989,TRUE,FALSE,FALSE
Fasn,HSC_Fibroblast,AMPK,0.147676271058535,0.619257657271697,0.968339507387906,7.56,0.0771813999572923,0.815462580062496,FASN,0.69799363467585,0.0102285985406989,TRUE,FALSE,FALSE
Fasn,T_cell,AMPK,0.489262217794693,0.139641767803935,0.659371267314613,5.85,0.420959925976121,0.232275641181256,FASN,0.69799363467585,0.0102285985406989,TRUE,FALSE,FALSE
Fasn,cDC,AMPK,-0.729184369293667,0.0234638059900826,0.99875188110707,18.06,-0.814905801652724,0.0113211458313134,FASN,0.69799363467585,0.0102285985406989,FALSE,FALSE,FALSE
Fasn,pDC,AMPK,0.425260718030196,0.262747436107137,0.903194311618283,11.1,0.216924106518591,0.590958258265447,FASN,0.69799363467585,0.0102285985406989,TRUE,FALSE,FALSE
Fbp1,,AMPK,,,,,,,FBP1,0.619906449388021,0.00253757287048046,FALSE,FALSE,FALSE
Foxo1,B_cell,AMPK,0.161110109748121,0.188887087491826,0.8164490186519,28.81,0.0818243697889771,0.506099338023746,FOXO1,-0.105403033427432,0.24841547187657,FALSE,FALSE,FALSE
Foxo1,Cholangiocyte,AMPK,-0.102261749018069,0.723570610275055,0.974263092861662,14.62,-0.164542817795747,0.610906660133025,FOXO1,-0.105403033427432,0.24841547187657,TRUE,FALSE,FALSE
Foxo1,HSC_Fibroblast,AMPK,-0.326023262188954,0.38438262601035,0.936780168221373,13.98,-0.0686809587116795,0.808720690645145,FOXO1,-0.105403033427432,0.24841547187657,TRUE,FALSE,FALSE
