tissue,cell_type,axis,gene1,gene2,n_mice,pseudobulk_r,pseudobulk_p,cells_coexpressing,pct_coexpressing,cell_rho,cell_p,both_concordant
liver,B_cell,AMPK,Ppargc1a,Foxo1,7,0.810626709685122,0.0269902398703414,16,0.22,0.635294117647059,0.00818206461633403,FALSE
liver,B_cell,AMPK,Foxo1,Fbp1,7,-0.737140965143475,0.0587077941100918,13,0.18,0.494505494505495,0.0858235306096076,FALSE
liver,B_cell,AMPK,Camkk2,Fasn,7,0.674775468642798,0.0963224557487705,22,0.3,0.817052512704687,3.47790056712663e-06,FALSE
liver,B_cell,AMPK,Prkaa1,Camkk2,7,-0.673619391309641,0.0971130933857871,4,0.05,,,FALSE
liver,B_cell,AMPK,Prkaa1,Srebf1,7,-0.647796410177651,0.115654439776272,2,0.03,,,FALSE
liver,B_cell,AMPK,Stk11,Fasn,7,0.59839191733399,0.155778152605156,69,0.93,0.733065400073073,7.97516561209424e-13,FALSE
liver,B_cell,AMPK,Camkk2,Srebf1,7,0.588295009666359,0.164718184750818,7,0.09,,,FALSE
liver,B_cell,AMPK,Prkaa1,Sirt1,7,0.565838510410337,0.185484201797652,12,0.16,1,0,FALSE
liver,B_cell,AMPK,Sirt1,Fbp1,7,-0.551126495368376,0.199739833112369,1,0.01,,,FALSE
liver,B_cell,AMPK,Ppargc1a,Fbp1,7,-0.545283540295254,0.205542594356544,0,0,,,FALSE
liver,B_cell,AMPK,Prkaa2,Irs2,7,-0.539323494847989,0.211543516174787,2,0.03,,,FALSE
liver,B_cell,AMPK,Prkaa2,Ppargc1a,7,0.532688141103287,0.218321008400036,0,0,,,FALSE
liver,B_cell,AMPK,Camkk2,Ppargc1a,7,0.512253422544442,0.239825115680207,4,0.05,,,FALSE
liver,B_cell,AMPK,Stk11,Sirt1,7,0.504661564365475,0.248053895239099,168,2.27,0.725719636693945,9.26533454400869e-29,FALSE
liver,B_cell,AMPK,Prkaa1,Stk11,7,0.500866659056289,0.252215195262652,28,0.38,0.889983579638752,2.3432105077952e-10,FALSE
liver,B_cell,AMPK,Sirt1,Irs2,7,0.48412730001983,0.270947972414363,483,6.54,0.311508378876849,2.49886338150546e-12,FALSE
liver,B_cell,AMPK,Prkaa2,Sirt1,7,-0.449519793564965,0.311576627768167,0,0,,,FALSE
liver,B_cell,AMPK,Sirt1,Foxo1,7,0.420852286406413,0.3470920549181,296,4.01,0.550451787630094,7.56559270611831e-25,FALSE
liver,B_cell,AMPK,Stk11,Fbp1,7,0.398850664888795,0.375437310059832,3,0.04,,,FALSE
liver,B_cell,AMPK,Prkaa2,Camkk2,7,0.38712390933853,0.390916096938047,0,0,,,FALSE
liver,B_cell,AMPK,Srebf1,Fasn,7,0.382002929591407,0.397754343759067,2,0.03,,,FALSE
liver,B_cell,AMPK,Stk11,Srebf1,7,-0.372098422100235,0.411113545963794,21,0.28,0.812987012987013,7.48548286699386e-06,FALSE
liver,B_cell,AMPK,Irs2,Srebf1,7,0.368217632616845,0.41639521921356,68,0.92,0.414627629117838,0.000439145045674809,FALSE
liver,B_cell,AMPK,Stk11,Ppargc1a,7,-0.367215799195754,0.417762967251526,4,0.05,,,FALSE
liver,B_cell,AMPK,Prkaa1,Irs2,7,-0.361156040911824,0.426073096246331,62,0.84,0.493691924151998,4.55298533739859e-05,FALSE
liver,B_cell,AMPK,Prkaa2,Srebf1,7,-0.355091924107941,0.434452252930844,0,0,,,FALSE
liver,B_cell,AMPK,Irs2,Fbp1,7,-0.349322167846791,0.442482403214867,12,0.16,0.433566433566434,0.159105769412195,FALSE
liver,B_cell,AMPK,Prkaa2,Foxo1,7,0.326348965469728,0.4749982523316,2,0.03,,,FALSE
liver,B_cell,AMPK,Prkaa2,Fbp1,7,0.324903352787018,0.477072608680311,0,0,,,FALSE
liver,B_cell,AMPK,Foxo1,Srebf1,7,-0.324407111136905,0.477785436519592,57,0.77,0.666256157635468,1.54461525017012e-08,FALSE
liver,B_cell,AMPK,Fbp1,Fasn,7,0.298988695183817,0.514800802222279,0,0,,,FALSE
liver,B_cell,AMPK,Prkaa1,Ppargc1a,7,-0.280431531785805,0.542421428006816,0,0,,,FALSE
liver,B_cell,AMPK,Sirt1,Fasn,7,0.242120059110109,0.60090542326764,42,0.57,0.623693379790941,1.02126925564829e-05,FALSE
liver,B_cell,AMPK,Foxo1,Fasn,7,-0.231049920004483,0.618142844795593,105,1.42,0.54855898818163,1.3782830461342e-09,FALSE
liver,B_cell,AMPK,Camkk2,Irs2,7,0.225036003573961,0.627566390125422,189,2.56,0.326893602915033,4.41142702324469e-06,FALSE
liver,B_cell,AMPK,Sirt1,Srebf1,7,-0.224152691875677,0.628953927259025,15,0.2,0.628571428571429,0.0120795391759058,FALSE
liver,B_cell,AMPK,Prkaa1,Prkaa2,7,-0.17847606525207,0.701812158802781,0,0,,,FALSE
liver,B_cell,AMPK,Camkk2,Sirt1,7,-0.173849228342104,0.709304114121509,54,0.73,0.731656184486373,3.28698486546795e-10,FALSE
liver,B_cell,AMPK,Prkaa1,Fbp1,7,-0.164097555187666,0.725154949914253,1,0.01,,,FALSE
liver,B_cell,AMPK,Stk11,Foxo1,7,-0.157171368756682,0.736460984873371,338,4.58,0.617857165054849,5.77262417947562e-37,FALSE
liver,B_cell,AMPK,Foxo1,Irs2,7,0.155583330335746,0.739058639663502,1121,15.18,0.235749717029665,1.27079134089172e-15,FALSE
liver,B_cell,AMPK,Camkk2,Fbp1,7,0.149028731199631,0.74980108254283,0,0,,,FALSE
liver,B_cell,AMPK,Ppargc1a,Srebf1,7,0.0998808263768225,0.831281570863531,1,0.01,,,FALSE
liver,B_cell,AMPK,Irs2,Fasn,7,0.0991379019868174,0.832524111616791,154,2.09,0.364350573287408,3.39542681300937e-06,FALSE
liver,B_cell,AMPK,Prkaa1,Foxo1,7,0.093670735194467,0.841676340707596,50,0.68,0.686739177609171,3.66356768350344e-08,FALSE
liver,B_cell,AMPK,Camkk2,Foxo1,7,0.089529348343007,0.848618661828639,116,1.57,0.65245838619152,2.10812713079308e-15,FALSE
liver,B_cell,AMPK,Fbp1,Srebf1,7,-0.0618880876234243,0.895136609263122,1,0.01,,,FALSE
liver,B_cell,AMPK,Prkaa1,Fasn,7,-0.0573552029180369,0.902790858167348,7,0.09,,,FALSE
liver,B_cell,AMPK,Prkaa2,Stk11,7,0.0529733948126495,0.910195699253158,1,0.01,,,FALSE
liver,B_cell,AMPK,Stk11,Camkk2,7,0.047323142875311,0.919751665213198,72,0.97,0.772939946941072,1.79860067772151e-15,FALSE
liver,B_cell,AMPK,Prkaa2,Fasn,7,0.038144482574528,0.935291014981893,0,0,,,FALSE
liver,B_cell,AMPK,Ppargc1a,Irs2,7,-0.0356777375588964,0.939470132995546,22,0.3,0.594579333709769,0.00351847662865536,FALSE
liver,B_cell,AMPK,Stk11,Irs2,7,0.0249068817063942,0.957729878407553,582,7.88,0.302370935974892,9.04817034939759e-14,FALSE
liver,B_cell,AMPK,Ppargc1a,Fasn,7,0.0113124436940287,0.980796627917636,2,0.03,,,FALSE
liver,B_cell,AMPK,Sirt1,Ppargc1a,7,0.00594628990685714,0.989905443193887,6,0.08,,,FALSE
liver,B_cell,AMPK,Prkaa1,Igf1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Prkaa1,Ccnd1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Prkaa2,Igf1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Prkaa2,Ccnd1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Stk11,Igf1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Stk11,Ccnd1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Camkk2,Igf1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Camkk2,Ccnd1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Sirt1,Igf1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Sirt1,Ccnd1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Ppargc1a,Igf1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Ppargc1a,Ccnd1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Foxo1,Igf1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Foxo1,Ccnd1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Irs2,Igf1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Irs2,Ccnd1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Igf1,Fbp1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Igf1,Srebf1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Igf1,Fasn,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Igf1,Ccnd1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Fbp1,Ccnd1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Srebf1,Ccnd1,7,,,0,0,,,FALSE
liver,B_cell,AMPK,Fasn,Ccnd1,7,,,0,0,,,FALSE
liver,Cholangiocyte,AMPK,Ppargc1a,Fbp1,7,0.79629868242694,0.0321234532653123,8,1.26,,,FALSE
liver,Cholangiocyte,AMPK,Igf1,Fasn,7,0.787074637460903,0.0356941041329334,51,8.02,0.261176470588235,0.0641395707028207,FALSE
liver,Cholangiocyte,AMPK,Stk11,Fasn,7,-0.75792263979292,0.0483684920586776,61,9.59,0.369011105235325,0.00342811410193874,FALSE
liver,Cholangiocyte,AMPK,Prkaa1,Fbp1,7,0.749591730998981,0.0523821793564185,4,0.63,,,FALSE
liver,Cholangiocyte,AMPK,Stk11,Ppargc1a,7,0.739819206963725,0.0573139617577471,51,8.02,0.522171945701357,8.49057058094151e-05,FALSE
liver,Cholangiocyte,AMPK,Prkaa2,Fasn,7,-0.732278538038669,0.0612848545291702,24,3.77,0.879130434782609,1.56883587118814e-08,FALSE
liver,Cholangiocyte,AMPK,Irs2,Srebf1,7,0.724214181862982,0.0656913269761575,30,4.72,0.404226918798665,0.0267268691213901,FALSE
liver,Cholangiocyte,AMPK,Camkk2,Fbp1,7,-0.716698244487275,0.0699470437343404,5,0.79,,,FALSE
liver,Cholangiocyte,AMPK,Sirt1,Ccnd1,7,-0.678469001975413,0.0938191797831233,72,11.32,0.209595472377645,0.0772223937951335,FALSE
liver,Cholangiocyte,AMPK,Foxo1,Igf1,7,0.676357439675015,0.0952460439313743,36,5.66,0.476962676962677,0.00326957642010976,FALSE
liver,Cholangiocyte,AMPK,Irs2,Fbp1,7,0.669452985767037,0.0999905915567004,6,0.94,,,FALSE
liver,Cholangiocyte,AMPK,Prkaa2,Igf1,7,-0.666604056823685,0.10198349696639,32,5.03,0.454178885630499,0.00902251215833475,FALSE
liver,Cholangiocyte,AMPK,Camkk2,Ppargc1a,7,-0.665917262360711,0.102467002164133,12,1.89,0.923076923076923,1.86219510986808e-05,FALSE
liver,Cholangiocyte,AMPK,Prkaa1,Prkaa2,7,0.649457897058085,0.114410837040465,7,1.1,,,FALSE
liver,Cholangiocyte,AMPK,Prkaa1,Ppargc1a,7,0.624161894203641,0.134093350816201,16,2.52,0.844117647058823,3.93024273739987e-05,FALSE
liver,Cholangiocyte,AMPK,Foxo1,Irs2,7,0.610659609125058,0.145251177671019,25,3.93,0.425384615384615,0.034013001096716,FALSE
liver,Cholangiocyte,AMPK,Foxo1,Ccnd1,7,-0.595589071426076,0.158234977550905,68,10.69,-0.0708478070008016,0.565888813807037,FALSE
liver,Cholangiocyte,AMPK,Ppargc1a,Fasn,7,-0.57314695770223,0.178593214717193,26,4.09,0.602735042735043,0.00111888841800246,FALSE
liver,Cholangiocyte,AMPK,Prkaa1,Irs2,7,0.530122894854822,0.220968342057764,13,2.04,0.824175824175824,0.000530222837597356,FALSE
liver,Cholangiocyte,AMPK,Prkaa1,Srebf1,7,0.517185893274613,0.234547962944701,20,3.14,0.708270676691729,0.000474615108251692,FALSE
liver,Cholangiocyte,AMPK,Prkaa1,Fasn,7,-0.515539075837873,0.236303777735831,12,1.89,0.125874125874126,0.696683109395766,FALSE
liver,Cholangiocyte,AMPK,Foxo1,Fasn,7,0.508588860593416,0.243781070760451,25,3.93,0.232307692307692,0.263804004977712,FALSE
liver,Cholangiocyte,AMPK,Prkaa1,Sirt1,7,-0.508133957378724,0.244274238793634,10,1.57,0.660606060606061,0.0375883775714093,FALSE
liver,Cholangiocyte,AMPK,Fbp1,Srebf1,7,0.507086250388263,0.245411829151645,7,1.1,,,FALSE
liver,Cholangiocyte,AMPK,Prkaa2,Sirt1,7,-0.493749940045398,0.260104625528663,14,2.2,0.617582417582418,0.0186046742807084,FALSE
liver,Cholangiocyte,AMPK,Foxo1,Fbp1,7,0.476902655009095,0.279220563231684,6,0.94,,,FALSE
liver,Cholangiocyte,AMPK,Igf1,Ccnd1,7,-0.447638621769858,0.313856524687291,163,25.63,0.00275159193309725,0.972191630096253,FALSE
liver,Cholangiocyte,AMPK,Stk11,Sirt1,7,0.443162014410156,0.319310943496171,53,8.33,0.394049346879535,0.0035065199147536,FALSE
liver,Cholangiocyte,AMPK,Stk11,Foxo1,7,-0.44027136293771,0.322854554300177,48,7.55,0.477203647416413,0.000604764920579841,FALSE
liver,Cholangiocyte,AMPK,Fbp1,Ccnd1,7,-0.435220947657936,0.329086111872505,22,3.46,-0.167701863354037,0.455677001808013,FALSE
liver,Cholangiocyte,AMPK,Prkaa1,Igf1,7,-0.434587990562508,0.32987069759116,21,3.3,0.205194805194805,0.372237363854327,FALSE
liver,Cholangiocyte,AMPK,Prkaa1,Camkk2,7,-0.409263204826075,0.361907736521883,5,0.79,,,FALSE
liver,Cholangiocyte,AMPK,Camkk2,Fasn,7,0.405129080745472,0.36725497996539,13,2.04,0.82967032967033,0.000450286295546212,FALSE
liver,Cholangiocyte,AMPK,Prkaa2,Foxo1,7,-0.399195612593801,0.374985842986284,11,1.73,0.990909090909091,3.76257180708543e-09,FALSE
liver,Cholangiocyte,AMPK,Prkaa2,Ccnd1,7,0.392532905123511,0.383745031026642,66,10.38,0.185179000104373,0.136602008711513,FALSE
liver,Cholangiocyte,AMPK,Prkaa2,Stk11,7,0.384453213142114,0.394476468114398,39,6.13,0.301417004048583,0.0622183662545117,FALSE
liver,Cholangiocyte,AMPK,Camkk2,Ccnd1,7,0.381049535471417,0.399032670593724,39,6.13,0.0799595141700405,0.628473498150662,FALSE
liver,Cholangiocyte,AMPK,Irs2,Igf1,7,0.376731051855371,0.404843340352067,47,7.39,0.229185938945421,0.121233360062147,FALSE
liver,Cholangiocyte,AMPK,Prkaa2,Ppargc1a,7,0.366354921707022,0.418939670806661,26,4.09,0.755213675213675,8.21883869750665e-06,FALSE
liver,Cholangiocyte,AMPK,Ppargc1a,Srebf1,7,0.35777663220381,0.430734906506847,39,6.13,0.644331983805668,9.58078884035733e-06,FALSE
liver,Cholangiocyte,AMPK,Sirt1,Srebf1,7,-0.356275649190819,0.432811716707434,25,3.93,0.484615384615385,0.0140854512197193,FALSE
liver,Cholangiocyte,AMPK,Camkk2,Sirt1,7,-0.354249207449081,0.43562162616724,11,1.73,0.718181818181818,0.0127995980688584,FALSE
liver,Cholangiocyte,AMPK,Stk11,Fbp1,7,0.346481515674826,0.446456361876351,11,1.73,-0.118181818181818,0.72928477951978,FALSE
liver,Cholangiocyte,AMPK,Prkaa2,Srebf1,7,0.323314572474296,0.479356172685984,20,3.14,0.739849624060151,0.000192410327205573,FALSE
liver,Cholangiocyte,AMPK,Camkk2,Foxo1,7,-0.31687490863995,0.488652043556902,16,2.52,0.897058823529412,2.49237596588585e-06,FALSE
liver,Cholangiocyte,AMPK,Irs2,Ccnd1,7,-0.314219206230313,0.49250419061612,81,12.74,0.0354787714543812,0.753183085546072,FALSE
liver,Cholangiocyte,AMPK,Sirt1,Igf1,7,0.303572205992241,0.508054641469349,35,5.5,0.525770308123249,0.00117998085362266,FALSE
liver,Cholangiocyte,AMPK,Fbp1,Fasn,7,-0.30235719465468,0.509839937503027,3,0.47,,,FALSE
liver,Cholangiocyte,AMPK,Stk11,Ccnd1,7,-0.298582802400715,0.515399685999176,178,27.99,0.0503847371207464,0.504194437409501,FALSE
liver,Cholangiocyte,AMPK,Stk11,Igf1,7,-0.298395199183567,0.515676570263577,81,12.74,0.498848238482385,2.13830981533971e-06,FALSE
liver,Cholangiocyte,AMPK,Stk11,Srebf1,7,0.295632169372969,0.51976043321415,65,10.22,0.495017482517483,2.76602714542099e-05,FALSE
liver,Cholangiocyte,AMPK,Sirt1,Irs2,7,-0.279783444715112,0.543394742815902,26,4.09,0.165128205128205,0.420163032680808,FALSE
liver,Cholangiocyte,AMPK,Sirt1,Ppargc1a,7,0.270274733185779,0.557740605290476,21,3.3,0.425974025974026,0.0541785423399237,FALSE
liver,Cholangiocyte,AMPK,Prkaa1,Stk11,7,0.26560082360188,0.564836332144982,25,3.93,0.755384615384615,1.2698733030245e-05,FALSE
liver,Cholangiocyte,AMPK,Ppargc1a,Irs2,7,0.262117145389812,0.570143657188431,35,5.5,0.401960784313726,0.0166836381819784,FALSE
