pathway,rel_type,subtype,edge_sign,gene1,lfc1,p1,fdr1,gene2,lfc2,p2,fdr2,coherent,both_FDR,in_intersect,in_pheno,worst_p,anchor_gene
hsa04068,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,FALSE,FALSE,1,2,0.00604856153799963,IRS2
hsa04068,GErel,expression,1,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,CCND1,0.8031084765255,0.00074921048132828,0.0578425746384107,FALSE,FALSE,1,2,0.0236771002828433,CCND1
hsa04068,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,TRUE,FALSE,1,2,0.025007761246042,IRS2
hsa04068,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,FALSE,FALSE,1,2,0.0479971366369964,IRS2
hsa04081,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,FALSE,FALSE,1,2,0.00604856153799963,IRS2
hsa04081,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,TRUE,FALSE,1,2,0.025007761246042,IRS2
hsa04081,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,FALSE,FALSE,1,2,0.0479971366369964,IRS2
hsa04115,PPrel,inhibition,-1,IGFBP3,0.231841406981911,0.0347053681375458,0.165337312909947,IGF1,-0.750196331507432,0.0163841211440685,0.121600797588543,TRUE,FALSE,1,1,0.0347053681375458,IGF1
hsa04151,PPrel,activation,1,IGF1,-0.750196331507432,0.0163841211440685,0.121600797588543,ERBB3,-0.423032713637065,0.00349726913224901,0.0789152904062191,TRUE,FALSE,1,1,0.0163841211440685,IGF1
hsa04151,PPrel,activation,1,IGF1,-0.750196331507432,0.0163841211440685,0.121600797588543,FGFR4,0.378996908602998,0.010950877973237,0.106741947423223,FALSE,FALSE,1,1,0.0163841211440685,IGF1
hsa04151,PPrel,activation,1,IGF1,-0.750196331507432,0.0163841211440685,0.121600797588543,MET,-0.594530156292599,0.000535321938461894,0.0532228199633379,TRUE,FALSE,1,1,0.0163841211440685,IGF1
hsa04151,PPrel,activation,1,IGF1,-0.750196331507432,0.0163841211440685,0.121600797588543,RET,0.286788374588338,0.023292389487457,0.137628242926823,FALSE,FALSE,1,2,0.023292389487457,IGF1
hsa04151,PPrel,activation,1,IGF1,-0.750196331507432,0.0163841211440685,0.121600797588543,FGFR3,0.290775612429906,0.0233799641136304,0.137680733088236,FALSE,FALSE,1,1,0.0233799641136304,IGF1
hsa04151,PPrel,activation,1,IGF1,-0.750196331507432,0.0163841211440685,0.121600797588543,ERBB4,-0.194302515855191,0.0241032935623033,0.139290247145778,TRUE,FALSE,1,1,0.0241032935623033,IGF1
hsa04151,PPrel,activation,1,IGF1,-0.750196331507432,0.0163841211440685,0.121600797588543,NTRK1,0.183827282805448,0.0259204791002992,0.143918018778676,FALSE,FALSE,1,1,0.0259204791002992,IGF1
hsa04151,PPrel,activation,1,IGF1,-0.750196331507432,0.0163841211440685,0.121600797588543,FLT1,-0.265225153566922,0.0320892189706352,0.159778739962476,TRUE,FALSE,1,1,0.0320892189706352,IGF1
hsa04152,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,FALSE,FALSE,1,2,0.00604856153799963,IRS2
hsa04152,PPrel,activation;phosphorylation,1,PRKAA2,0.2883315494399,0.0174833628632484,0.124528023712669,PPARGC1A,-0.612471761557638,0.000603487342297342,0.0535181515702502,FALSE,FALSE,1,2,0.0174833628632484,PPARGC1A
hsa04152,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,TRUE,FALSE,1,2,0.025007761246042,IRS2
hsa04152,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,FALSE,FALSE,1,2,0.0479971366369964,IRS2
hsa04211,PPrel,activation,1,SIRT1,-0.389065828328134,0.0044363570263749,0.0855266768434143,PPARGC1A,-0.612471761557638,0.000603487342297342,0.0535181515702502,TRUE,FALSE,1,2,0.0044363570263749,PPARGC1A
