pathway,rel_type,subtype,edge_sign,gene1,lfc1,p1,fdr1,gene2,lfc2,p2,fdr2,coherent,both_FDR,in_intersect,in_pheno,worst_p
hsa04064,PPrel,activation,1,RIGI,-0.29713429833567,0.000554931608815853,0.0532228199633379,TRAF2,0.228306444374609,0.0149931872201866,0.117013322946593,FALSE,FALSE,0,0,0.0149931872201866
hsa04064,PPrel,activation,1,RIGI,-0.29713429833567,0.000554931608815853,0.0532228199633379,TRAF6,-0.184313070986844,0.0175241928301093,0.124528023712669,TRUE,FALSE,0,0,0.0175241928301093
hsa04064,PPrel,activation,1,TNFSF14,0.665552583871152,0.00698667196686934,0.0959757859890401,LTBR,0.278271168168704,0.0226976323221851,0.136832186448049,TRUE,FALSE,0,0,0.0226976323221851
hsa04064,PPrel,activation,1,TNF,0.157059465411569,0.0301660466016043,0.155533122271493,TNFRSF1A,0.297436592284587,0.0232747228326003,0.137628242926823,TRUE,FALSE,0,2,0.0301660466016043
hsa04064,PPrel,activation,1,LAT,0.196984349163005,0.0436099839464912,0.181621357452023,PLCG1,0.182449170261676,0.0082697963729943,0.0997947821115051,TRUE,FALSE,0,1,0.0436099839464912
hsa04064,PPrel,activation;phosphorylation,1,ZAP70,0.245306114533064,0.0104425794307658,0.104571409505261,LAT,0.196984349163005,0.0436099839464912,0.181621357452023,TRUE,FALSE,0,0,0.0436099839464912
hsa04064,PPrel,binding/association,1,CD40,0.124917797105994,0.0492105769172041,0.191398766829197,TRAF6,-0.184313070986844,0.0175241928301093,0.124528023712669,FALSE,FALSE,0,1,0.0492105769172041
hsa04066,PPrel,activation,1,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,AKT1,0.387089573539082,0.00343401055010987,0.0789152904062191,TRUE,FALSE,0,2,0.00604856153799963
hsa04066,PPrel,activation,1,CAMK2B,0.250072152499838,0.0200466643413923,0.130718227393872,CREBBP,-0.364311607598314,0.0119827175352151,0.110041392625391,FALSE,FALSE,0,0,0.0200466643413923
hsa04066,PPrel,activation,1,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,AKT1,0.387089573539082,0.00343401055010987,0.0789152904062191,FALSE,FALSE,0,2,0.025007761246042
hsa04066,PPrel,activation,1,CAMK2A,-0.164820383523415,0.0273208004500512,0.148136151715585,CREBBP,-0.364311607598314,0.0119827175352151,0.110041392625391,TRUE,FALSE,0,0,0.0273208004500512
hsa04066,PPrel,activation,1,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,AKT2,0.272775905162288,0.0322680307039496,0.159941472099098,FALSE,FALSE,0,2,0.0322680307039496
hsa04066,PPrel,activation,1,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,AKT2,0.272775905162288,0.0322680307039496,0.159941472099098,TRUE,FALSE,0,2,0.0322680307039496
hsa04066,PPrel,activation,1,RPS6KB2,0.257949387042562,0.0194903632172992,0.129212989472378,RPS6,-0.254641670484692,0.0351400983266956,0.166488706451921,FALSE,FALSE,0,2,0.0351400983266956
hsa04066,PPrel,activation,1,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,AKT1,0.387089573539082,0.00343401055010987,0.0789152904062191,TRUE,FALSE,0,2,0.0479971366369964
hsa04066,PPrel,activation,1,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,AKT2,0.272775905162288,0.0322680307039496,0.159941472099098,TRUE,FALSE,0,2,0.0479971366369964
hsa04068,PPrel,activation,1,IRS1,-0.3554897344882,0.00226335322613427,0.0728410344711814,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,FALSE,FALSE,0,2,0.00604856153799963
hsa04068,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,FALSE,FALSE,1,2,0.00604856153799963
hsa04068,PPrel,activation,1,KRAS,-0.248737657296002,0.0173365303927831,0.124321581462778,ARAF,0.308661107681488,0.0151374004972875,0.1174497464378,FALSE,FALSE,0,1,0.0173365303927831
hsa04068,PPrel,activation;phosphorylation,1,STK11,0.354251480632152,0.0153103974501462,0.117879056948494,PRKAA2,0.2883315494399,0.0174833628632484,0.124528023712669,TRUE,FALSE,0,1,0.0174833628632484
hsa04068,PPrel,activation,1,SOS2,-0.242208708988776,0.0178555653576005,0.125376438980172,KRAS,-0.248737657296002,0.0173365303927831,0.124321581462778,TRUE,FALSE,0,2,0.0178555653576005
hsa04068,PPrel,activation;phosphorylation,1,PDPK1,0.153466221786299,0.018028233353959,0.12592415969288,AKT1,0.387089573539082,0.00343401055010987,0.0789152904062191,TRUE,FALSE,0,2,0.018028233353959
hsa04068,PPrel,activation,1,SOS2,-0.242208708988776,0.0178555653576005,0.125376438980172,HRAS,0.236375195318022,0.0186148363045659,0.127141536662267,FALSE,FALSE,0,2,0.0186148363045659
hsa04068,PPrel,activation,1,HRAS,0.236375195318022,0.0186148363045659,0.127141536662267,ARAF,0.308661107681488,0.0151374004972875,0.1174497464378,TRUE,FALSE,0,1,0.0186148363045659
hsa04068,PPrel,activation;indirect effect,1,IL6,0.138626493551915,0.0205700594974582,0.132187199304116,STAT3,0.388066346775698,0.004956499558627,0.0869703643891037,TRUE,FALSE,0,2,0.0205700594974582
hsa04068,PPrel,activation;phosphorylation,1,PDPK1,0.153466221786299,0.018028233353959,0.12592415969288,SGK1,0.389503628563857,0.0216427882654647,0.134739358955681,TRUE,FALSE,0,1,0.0216427882654647
hsa04068,PPrel,activation;phosphorylation,1,STK11,0.354251480632152,0.0153103974501462,0.117879056948494,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,FALSE,FALSE,0,1,0.0236771002828433
hsa04068,PPrel,activation;phosphorylation,1,PRKAA2,0.2883315494399,0.0174833628632484,0.124528023712669,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,FALSE,FALSE,0,2,0.0236771002828433
hsa04068,PPrel,inhibition;phosphorylation,-1,AKT1,0.387089573539082,0.00343401055010987,0.0789152904062191,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,TRUE,FALSE,0,2,0.0236771002828433
hsa04068,PPrel,inhibition;phosphorylation,-1,SGK1,0.389503628563857,0.0216427882654647,0.134739358955681,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,TRUE,FALSE,0,1,0.0236771002828433
hsa04068,PPrel,activation;phosphorylation,1,MAPK13,-0.192163523711123,0.00400805854631353,0.0825894611298892,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,TRUE,FALSE,0,2,0.0236771002828433
