pathway,n_measured,n_pheno,n_intersect,pheno_frac,pheno_p,name,ora_p,ora_padj,ora_count,gsea_NES,gsea_p,gsea_padj,fry_dir,fry_p,fry_padj,fry_mixed_p,n_DE,n_DE_FDR,de_frac,coherence,mean_absLFC,degree,n_edges,n_coherent,n_coherent_FDR,n_coherent_pheno
hsa04152,104,59,4,0.567307692307692,5.55552285700101e-49,AMPK signaling pathway,7.2e-08,5.83e-06,4,1.58876006163881,0.0038673624246928,0.0550530415750387,Up,0.0238415175917023,0.244479110514563,2.26918940953588e-05,39,2,0.375,0.666666666666667,0.201215678572813,10,18,9,0,9
hsa04211,75,47,3,0.626666666666667,4.74028097511326e-42,Longevity regulating pathway,6.56e-06,0.000265497,3,1.19638057993568,0.149514563106796,0.458006636352464,Up,0.447210346020332,0.676405648355752,6.72756624111217e-05,28,1,0.373333333333333,0.571428571428571,0.178444779684699,20,20,12,0,12
hsa04068,117,63,3,0.538461538461538,2.46787557607011e-50,FoxO signaling pathway,2.51e-05,0.000678395,3,1.13056773847295,0.214137214137214,0.537427162707306,Up,0.274332252967702,0.609713113591552,0.00017824072277449,38,1,0.324786324786325,0.605263157894737,0.176308900378782,17,36,18,0,18
hsa04213,50,34,2,0.68,1.61665179046006e-32,Longevity regulating pathway - multiple species,0.000371471,0.006763794,2,-0.993528498507541,0.439842209072978,0.717696988290638,Down,0.297027979665675,0.617370859149587,0.000173483806950683,19,0,0.38,0.526315789473684,0.174366419780103,18,22,13,0,13
hsa04920,65,44,2,0.676923076923077,1.1511380655218e-41,Adipocytokine signaling pathway,0.000628718,0.006763794,2,1.35662548936054,0.0606653620352251,0.295009523809524,Up,0.0554591552894123,0.35810945676973,2.38127549931114e-05,26,1,0.4,0.653846153846154,0.177443592470384,9,18,13,0,10
hsa04115,66,10,2,0.151515151515152,0.00192401709214251,p53 signaling pathway,0.000648227,0.006763794,2,1.57263553114008,0.00713538500459358,0.0817116116344893,Up,0.0170387207230392,0.206168520748775,0.000233267668432918,19,1,0.287878787878788,0.789473684210526,0.187840083695015,0,2,1,0,1
hsa04931,96,96,2,1,1.63345995097297e-127,Insulin resistance,0.001369202,0.010082304,2,1.54360520759764,0.00742832833040811,0.0817116116344893,Up,0.00941025744156262,0.172369962309698,0.000143588723645016,38,1,0.395833333333333,0.68421052631579,0.187285002740802,13,48,28,0,28
hsa04935,109,64,2,0.587155963302752,1.93370984078793e-54,"Growth hormone synthesis, secretion and action",0.001762416,0.011896305,2,1.09451190125834,0.276767676767677,0.603700061910485,Up,0.230839895823357,0.596590898170879,9.29864513082974e-05,41,0,0.376146788990826,0.536585365853659,0.16759121095252,21,36,19,0,17
hsa04371,117,43,2,0.367521367521368,6.00722769725671e-26,Apelin signaling pathway,0.002028401,0.012081289,2,1.18470590219881,0.145530145530146,0.458006636352464,Up,0.249149129460251,0.596590898170879,0.000273346761825912,37,0,0.316239316239316,0.594594594594595,0.165365008791103,13,42,20,0,15
hsa04936,124,45,2,0.362903225806452,7.81518882250091e-27,Alcoholic liver disease,0.002276049,0.012081289,2,1.18909723213172,0.1417004048583,0.457219973009447,Up,0.238442921332219,0.596590898170879,0.000315609551512442,45,1,0.362903225806452,0.577777777777778,0.173761809094232,6,15,7,0,7
hsa04910,125,86,2,0.688,3.57219355920941e-82,Insulin signaling pathway,0.00231256,0.012081289,2,1.23316389970137,0.102,0.374,Up,0.0433737247273464,0.323540569500419,0.00111390285363789,43,0,0.344,0.604651162790698,0.166856462542877,18,45,23,0,23
hsa04518,139,38,2,0.273381294964029,5.82923662393837e-18,Integrin signaling,0.002853274,0.013595014,2,1.05150396180605,0.357285429141717,0.656342957130359,Up,0.500597016160729,0.716625437174995,0.000598534770576347,38,0,0.273381294964029,0.578947368421053,0.170864719417131,3,14,10,0,8
hsa04510,185,57,2,0.308108108108108,2.03011864396219e-29,Focal adhesion,0.005013229,0.020303578,2,1.13621127716915,0.177914110429448,0.502698056444296,Up,0.503414563304748,0.716625437174995,0.000457818082065722,58,1,0.313513513513514,0.53448275862069,0.164668132462002,6,57,30,0,16
hsa04081,195,47,2,0.241025641025641,1.80157385599618e-19,Hormone signaling,0.005559329,0.021443126,2,-0.894518534292642,0.759036144578313,0.862379093840149,Up,0.96745436666841,0.983714103923341,0.00304682878770446,46,0,0.235897435897436,0.521739130434783,0.12218786878101,4,74,35,0,12
hsa04151,315,82,2,0.26031746031746,4.23214942591449e-36,PI3K-Akt signaling pathway,0.014159663,0.052133304,2,1.19450515657167,0.0791075050709939,0.346253902185224,Up,0.222463177849481,0.596590898170879,0.000242881222664126,91,2,0.288888888888889,0.571428571428571,0.151607153231444,7,132,70,0,53
hsa04960,32,15,1,0.46875,1.04026629138964e-11,Aldosterone-regulated sodium reabsorption,0.020299079,0.07148806,1,-1.3649602584359,0.0846456692913386,0.346253902185224,Down,0.107593178884608,0.48166623777516,3.98044421161707e-05,15,0,0.46875,0.666666666666667,0.191709511603022,4,13,7,0,4
hsa04913,39,10,1,0.256410256410256,2.03491516487955e-05,Ovarian steroidogenesis,0.024697986,0.076888352,1,-1.04581803484501,0.366141732283465,0.656342957130359,Down,0.179154521011675,0.574795614186465,0.0298214230731279,6,0,0.153846153846154,0.5,0.147795890253648,5,0,0,0,0
hsa04930,41,41,1,1,4.6366742738888e-54,Type II diabetes mellitus,0.025952091,0.076888352,1,1.31173467387284,0.0887096774193548,0.346253902185224,Up,0.00997181600138746,0.172369962309698,0.000341798764937106,13,0,0.317073170731707,0.692307692307692,0.162256139695071,12,18,10,0,10
hsa04340,42,6,1,0.142857142857143,0.0198691745279373,Hedgehog signaling pathway,0.02657869,0.076888352,1,0.897375909149486,0.64344262295082,0.793606220974187,Up,0.958004293256628,0.98236033461061,0.00462722987716425,10,0,0.238095238095238,0.7,0.139558822389814,0,6,2,0,0
hsa04730,51,18,1,0.352941176470588,2.99198592912484e-11,Long-term depression,0.032204485,0.08467371,1,1.15802115498113,0.210420841683367,0.536019407235524,Up,0.636002291570821,0.818486893254717,0.000804434213988289,18,0,0.352941176470588,0.611111111111111,0.169350644704848,3,6,3,0,3
hsa04923,53,23,1,0.433962264150943,2.40933996464485e-16,Regulation of lipolysis in adipocytes,0.033451342,0.08467371,1,-0.998071399594036,0.450901803607215,0.717696988290638,Down,0.556052228779023,0.751757761812981,0.000149610074659657,18,0,0.339622641509434,0.555555555555556,0.177713278202345,10,18,8,0,6
hsa04917,65,45,1,0.692307692307692,2.71599748614159e-43,Prolactin signaling pathway,0.040907207,0.094103238,1,0.966598009624752,0.506849315068493,0.726726726726727,Up,0.747066040039846,0.87176305169584,0.000587454329717499,22,0,0.338461538461539,0.5,0.169931046807145,12,15,10,0,10
hsa04914,73,31,1,0.424657534246575,3.01380691758809e-21,Progesterone-mediated oocyte maturation,0.045853763,0.094103238,1,-1.06514121052425,0.318548387096774,0.620612903225806,Down,0.126568693760797,0.510493731501883,0.00128475874596515,22,1,0.301369863013699,0.545454545454545,0.158451386185942,13,5,0,0,0
hsa04750,83,36,1,0.433734939759036,7.12490431631786e-25,Inflammatory mediator regulation of TRP channels,0.052010022,0.100166885,1,-0.827912534224309,0.826262626262626,0.89265873015873,Down,0.915868132254973,0.966238524622957,0.000297781992016453,27,0,0.325301204819277,0.518518518518519,0.147880747753679,13,19,11,0,9
hsa04922,91,46,1,0.505494505494506,2.8394483715953e-35,Glucagon signaling pathway,0.056913541,0.100166885,1,-0.882869200005729,0.708,0.827710144927536,Down,0.380571400651602,0.672250211369984,0.000348614399810686,29,0,0.318681318681319,0.517241379310345,0.173422456908688,12,3,1,0,1
hsa04114,95,23,1,0.242105263157895,3.24071449152234e-10,Oocyte meiosis,0.059358154,0.100166885,1,-1.23750685405502,0.10482180293501,0.378610094183172,Down,0.0596450050648059,0.360852280642076,0.00427083345762497,18,1,0.189473684210526,0.722222222222222,0.132870791117286,5,3,2,0,1
hsa04933,95,95,1,1,3.70948448139686e-126,AGE-RAGE signaling pathway in diabetic complications,0.059358154,0.100166885,1,1.31711848146979,0.060952380952381,0.295009523809524,Up,0.227395417843833,0.596590898170879,0.00023036852748716,33,0,0.347368421052632,0.636363636363636,0.173157412856064,14,34,17,0,17
hsa04066,102,47,1,0.46078431372549,1.20249821688636e-33,HIF-1 signaling pathway,0.063624788,0.105175669,1,1.46804616071463,0.0158156248083838,0.116362568964421,Up,0.0149456507678041,0.205024239916522,0.000160086333959423,38,2,0.372549019607843,0.631578947368421,0.183775413036812,12,9,5,0,4
