pathway,n_measured,n_pheno,n_intersect,pheno_frac,pheno_p,name,ora_p,ora_padj,ora_count,gsea_NES,gsea_p,gsea_padj,fry_dir,fry_p,fry_padj,fry_mixed_p,n_DE,n_DE_FDR,de_frac,coherence,mean_absLFC,degree,n_edges,n_coherent,n_coherent_FDR,n_coherent_pheno,score_ora,score_pheno,score_act,score_gsea,score_axis,score_net,composite
hsa04931,96,96,2,1,1.63345995097297e-127,Insulin resistance,0.001369202,0.010082304,2,1.54360520759764,0.00742832833040811,0.0817116116344893,Up,0.00941025744156262,0.172369962309698,0.000143588723645016,38,1,0.395833333333333,0.68421052631579,0.187285002740802,13,48,28,0,28,7,1,1,3,3,6.5,3.58333333333333
hsa04910,125,86,2,0.688,3.57219355920941e-82,Insulin signaling pathway,0.00231256,0.012081289,2,1.23316389970137,0.102,0.374,Up,0.0433737247273464,0.323540569500419,0.00111390285363789,43,0,0.344,0.604651162790698,0.166856462542877,18,45,23,0,23,11,2,4,5,4,3.5,4.91666666666667
hsa04152,104,59,4,0.567307692307692,5.55552285700101e-49,AMPK signaling pathway,7.2e-08,5.83e-06,4,1.58876006163881,0.0038673624246928,0.0550530415750387,Up,0.0238415175917023,0.244479110514563,2.26918940953588e-05,39,2,0.375,0.666666666666667,0.201215678572813,10,18,9,0,9,1,5,3,1,12,8,5
hsa04935,109,64,2,0.587155963302752,1.93370984078793e-54,"Growth hormone synthesis, secretion and action",0.001762416,0.011896305,2,1.09451190125834,0.276767676767677,0.603700061910485,Up,0.230839895823357,0.596590898170879,9.29864513082974e-05,41,0,0.376146788990826,0.536585365853659,0.16759121095252,21,36,19,0,17,8,3,6,11,6,1,5.83333333333333
hsa04068,117,63,3,0.538461538461538,2.46787557607011e-50,FoxO signaling pathway,2.51e-05,0.000678395,3,1.13056773847295,0.214137214137214,0.537427162707306,Up,0.274332252967702,0.609713113591552,0.00017824072277449,38,1,0.324786324786325,0.605263157894737,0.176308900378782,17,36,18,0,18,3,4,9,10,7,5,6.33333333333333
hsa04920,65,44,2,0.676923076923077,1.1511380655218e-41,Adipocytokine signaling pathway,0.000628718,0.006763794,2,1.35662548936054,0.0606653620352251,0.295009523809524,Up,0.0554591552894123,0.35810945676973,2.38127549931114e-05,26,1,0.4,0.653846153846154,0.177443592470384,9,18,13,0,10,5,7,5,4,8.5,9,6.41666666666667
hsa04211,75,47,3,0.626666666666667,4.74028097511326e-42,Longevity regulating pathway,6.56e-06,0.000265497,3,1.19638057993568,0.149514563106796,0.458006636352464,Up,0.447210346020332,0.676405648355752,6.72756624111217e-05,28,1,0.373333333333333,0.571428571428571,0.178444779684699,20,20,12,0,12,2,6,11,8,10,2,6.5
hsa04371,117,43,2,0.367521367521368,6.00722769725671e-26,Apelin signaling pathway,0.002028401,0.012081289,2,1.18470590219881,0.145530145530146,0.458006636352464,Up,0.249149129460251,0.596590898170879,0.000273346761825912,37,0,0.316239316239316,0.594594594594595,0.165365008791103,13,42,20,0,15,9,11,8,7,5,6.5,7.75
hsa04213,50,34,2,0.68,1.61665179046006e-32,Longevity regulating pathway - multiple species,0.000371471,0.006763794,2,-0.993528498507541,0.439842209072978,0.717696988290638,Down,0.297027979665675,0.617370859149587,0.000173483806950683,19,0,0.38,0.526315789473684,0.174366419780103,18,22,13,0,13,4,8,10,13,8.5,3.5,7.83333333333333
hsa04115,66,10,2,0.151515151515152,0.00192401709214251,p53 signaling pathway,0.000648227,0.006763794,2,1.57263553114008,0.00713538500459358,0.0817116116344893,Up,0.0170387207230392,0.206168520748775,0.000233267668432918,19,1,0.287878787878788,0.789473684210526,0.187840083695015,0,2,1,0,1,6,14,2,2,14,14,8.66666666666667
hsa04510,185,57,2,0.308108108108108,2.03011864396219e-29,Focal adhesion,0.005013229,0.020303578,2,1.13621127716915,0.177914110429448,0.502698056444296,Up,0.503414563304748,0.716625437174995,0.000457818082065722,58,1,0.313513513513514,0.53448275862069,0.164668132462002,6,57,30,0,16,13,9,13,9,2,10.5,9.41666666666667
hsa04936,124,45,2,0.362903225806452,7.81518882250091e-27,Alcoholic liver disease,0.002276049,0.012081289,2,1.18909723213172,0.1417004048583,0.457219973009447,Up,0.238442921332219,0.596590898170879,0.000315609551512442,45,1,0.362903225806452,0.577777777777778,0.173761809094232,6,15,7,0,7,10,10,7,6,13,10.5,9.41666666666667
hsa04081,195,47,2,0.241025641025641,1.80157385599618e-19,Hormone signaling,0.005559329,0.021443126,2,-0.894518534292642,0.759036144578313,0.862379093840149,Up,0.96745436666841,0.983714103923341,0.00304682878770446,46,0,0.235897435897436,0.521739130434783,0.12218786878101,4,74,35,0,12,14,12,14,14,1,12,11.1666666666667
hsa04518,139,38,2,0.273381294964029,5.82923662393837e-18,Integrin signaling,0.002853274,0.013595014,2,1.05150396180605,0.357285429141717,0.656342957130359,Up,0.500597016160729,0.716625437174995,0.000598534770576347,38,0,0.273381294964029,0.578947368421053,0.170864719417131,3,14,10,0,8,12,13,12,12,11,13,12.1666666666667
