cluster,n,Kidney,Liver,pct_hto_negative
32,503,0.862289451993766,0.0637612411481055,79.1
25,1100,0.571600212241698,0.0196449231447527,64.5
26,942,0.522633509974778,0.0375900235168346,73.8
30,533,0.437825689575832,0.014612337642491,65.9
24,1161,0.0734532360721323,0.0256387400498905,17.7
6,4401,0.0721280541904913,0.0161607979878698,19.6
34,400,0.0600268460228149,1.08538513406449,47
27,874,0.0492511995269505,0.666605601874002,32.8
23,1215,0.0472083658207621,0.0196992459772876,59.6
31,506,0.0451031705054231,0.0201292309829385,53.8
1,7441,0.042353135553908,0.0226816258334727,73.7
22,1313,0.0412023669809362,0.0252476661752067,37.4
29,576,0.0409760635594957,0.0423427454970741,21
35,393,0.0391789852766305,0.0183716093398342,81.7
20,1501,0.0386154743434881,0.0179040975249084,46.9
18,1673,0.0297008647514872,0.0139003162970097,18.9
8,3147,0.0296113284362671,0.00775166206577003,40.5
21,1370,0.0283846487413558,0.0304247995980467,14.7
15,2449,0.0283335448980592,0.0143490593666805,15.4
17,1909,0.0277007529735487,0.0128603219571909,12.6
11,2986,0.0276457782189304,0.0114643236610009,39.7
13,2586,0.0260410659904038,0.00832705428449941,12.4
9,3039,0.0257589938328518,0.00996944564516962,12.5
12,2973,0.0254959905001026,0.0125901402075364,21.3
14,2541,0.02515692377021,0.0419067831377955,81.6
28,587,0.0243095508440448,0.00543671466204877,21
40,31,0.0227489652763056,0.846719076617873,16.1
16,2190,0.0208204478661655,0.0158207333034316,85.1
37,215,0.0201250693609904,0.0144537775822662,0.9
36,261,0.0191211822694959,0.00765767378139066,9.6
10,3036,0.0184788043912819,0.00840885775994068,87.4
0,18845,0.0183390301516111,0.0100086119694762,13.7
3,6659,0.0183238303359318,0.00638728959747192,3.5
2,7131,0.0179318707347606,0.0187494461874499,90.1
5,5768,0.0175698323109725,0.00631715430673221,4.5
33,442,0.0165854095886047,0.0103736621956912,6.3
7,3598,0.0158765705790083,0.00721643606706204,0.7
4,6127,0.0154622816086499,0.0182675258610083,87.4
38,204,0.014879428544204,0.00759292983094982,1
19,1623,0.0146357716506659,0.00622916010783483,3.2
39,150,0.00956992685968741,0.00813673077483514,0
