cluster,n,pct_singlet,pct_negative,pct_doublet,score_Kidney,score_Liver,singlet_Heart,singlet_Kidney,singlet_Liver,singlet_Spleen,top_markers
32,503,17.9,79.1,3,1.79900351903532,0.0651430292728275,25,23,18,24,"Aldob,Fxyd2,Gpx3,Fth1,Dbi,Akr1c21,Gpx1,Prdx5,Ass1,Miox,Spink1,Chchd10"
25,1100,28.4,64.5,7.2,1.48015775484674,0.0207758002763554,22,31,84,175,"mt-Nd4,mt-Cytb,mt-Co3,mt-Co1,Atp1b1,mt-Co2,mt-Nd1,Fxyd2,mt-Nd4l,mt-Nd2,mt-Atp6,mt-Nd5"
26,942,19.9,73.8,6.4,1.44141285702666,0.0348996862481641,17,39,91,40,"Atp6v1g3,Tmem213,mt-Cytb,Car2,mt-Nd4,mt-Co1,Atp1b1,Ldhb,mt-Co3,mt-Nd1,mt-Nd5,Cox8a"
30,533,28.7,65.9,5.4,1.28938944767739,0.0140967127619914,12,80,28,33,"Atp1b1,Epcam,Cdh16,Pdzk1ip1,Mal,Cryab,Spint2,Sdc4,Cystm1,Cldn7,Apela,Malat1"
6,4401,46.9,19.6,33.5,0.259129122345926,0.0147939446726155,550,1078,375,59,"C1qa,C1qb,C1qc,Lyz2,H2-Eb1,Fcer1g,H2-Ab1,H2-Aa,Apoe,Cd74,Tyrobp,Ctss"
24,1161,40.2,17.7,42.1,0.229214600533236,0.0240110196419855,42,122,186,117,"Lyz2,Mt1,Cst3,Mgp,Gsn,Cebpd,Fcer1g,Clec3b,Apoe,Dcn,S100a6,Tyrobp"
34,400,34.5,47,18.5,0.205513302944611,0.859314227950472,8,20,99,11,"Fabp1,Apoc1,Ftl1,Aldob,Dbi,Apoa2,Ttc36,Gnmt,Fth1,Ass1,Phyh,Arg1"
23,1215,31,59.6,9.4,0.172601363660774,0.0199252333014787,27,38,152,160,"Uba52,Actb,mt-Co3,Igkc,Gsn,Cd74,Dcn,H2-Aa,Mgp,H2-Eb1,H2-Ab1,Ighm"
27,874,56.4,32.8,10.8,0.166539280539036,0.759985550390714,4,32,440,17,"Clu,Spp1,Alb,Apoe,Ttr,Tm4sf4,Dbi,Krt8,Tstd1,Anxa5,Krt18,Ambp"
31,506,32.8,53.8,13.4,0.162794104942999,0.0174692251363056,10,29,72,55,"Uba52,Actb,Tmsb10,Ccl5,Gm10076,Gsn,Mgp,Dcn,Trbc2,Mt1,Ms4a4b,Cd3d"
