cluster,n,top_markers,n_cv_hi,acc_hi,rescue_eligible
17,1909,"Fcer1g,Gngt2,Tyrobp,Lst1,Lyz2,Fyb,Gpx1,Cybb,Cebpb,Ctsb,Csf1r,Laptm5",355,0.915492957746479,TRUE
5,5768,"Ccr7,H2-Aa,Rps27,Stk17b,Rel,Cd74,Igkc,Ebf1,Cd79a,Fau,H2-Ab1,H3f3a",2838,0.922128259337562,TRUE
0,18845,"Cd79a,Cd79b,Ighm,Igkc,Ly6d,Ms4a1,Cd74,Iglc2,Cd37,Iglc3,H2-Aa,Fcmr",5988,0.935370741482966,TRUE
6,4401,"C1qa,C1qb,C1qc,Lyz2,H2-Eb1,Fcer1g,H2-Ab1,H2-Aa,Apoe,Cd74,Tyrobp,Ctss",359,0.944289693593315,TRUE
19,1623,"Trbc2,Cd3d,Cd3g,Ms4a4b,Rpl13a,Rpl12,Trac,Rps27,Rpl19,Rps15a,Rps24,Rps16",238,0.953781512605042,TRUE
18,1673,"Siglech,Bst2,Irf8,Tyrobp,Cox6a2,Ccr9,Plac8,Rpl31,Psap,Ly6c2,Mpeg1,Pld4",711,0.957805907172996,TRUE
7,3598,"Hspa1a,Hsp90aa1,Hspa1b,Rps27,Cd83,Rel,Hsph1,Klf2,Hspa8,Hsp90ab1,Fau,Dnajb1",2498,0.973178542834267,TRUE
8,3147,"Emcn,Ly6c1,Flt1,Plvap,Plpp1,Pbx1,Egfl7,Meis2,Adgrl4,Ptprb,Ly6a,Slc9a3r2",195,0.984615384615385,TRUE
11,2986,"Fabp4,Cd36,Cavin2,Ly6c1,Flt1,Mgll,Cav1,Cxcl12,Egfl7,Cdh5,Adgrf5,Gpihbp1",117,0.991452991452991,TRUE
29,576,"C1qa,Cd5l,C1qb,Clec4f,Apoe,C1qc,Wfdc17,Ctsb,Apoc1,Lyz2,Vsig4,Fcna",173,0.994219653179191,TRUE
21,1370,"Ptprb,Ehd3,Selenop,Aqp1,Gm42418,Maf,Egfl7,Dnase1l3,F8,Kdr,Adgrf5,Stab1",392,1,TRUE
37,215,"Ehd3,Cd3g,Ptprb,Trbc2,Dnase1l3,Maf,Cd3d,Selenop,Cd3e,Fcgr2b,Clec4g,Aqp1",37,1,TRUE
14,2541,"Apoe,Mgp,Fbln1,Dcn,Cfh,Gsn,Igfbp7,Ccdc80,Egr1,Cst3,Dpt,Bgn",,,FALSE
