seurat_clusters,sing_Heart,sing_Kidney,sing_Liver,sing_Spleen,Doublet,Negative,Singlet,top_markers,n,top_singlet_tissue,purity_singlet
12,1160,40,68,119,166,1235,1387,"Fabp4,Cd36,Cavin2,Flt1,Ly6c1,Mgll,Cav1,Egfl7,Cxcl12,Cdh5,Adgrf5,Gpihbp1",2788,Heart,83.6
0,795,58,208,143,68,8321,1204,"Dcn,Htra3,Serping1,Dpep1,Gsn,Igfbp7,Cygb,Col1a2,Serpinh1,Ogn,Gpx3,Mgp",9593,Heart,66
30,44,3,12,16,9,433,75,"Vim,Dkk3,Mgp,Ccdc80,Apoe,Dpt,Bgn,Ier3,Dcn,Fbln1,Cfh,Csrp2",517,Heart,58.7
4,360,29,171,132,35,5454,692,"Mt1,Mt2,Cxcl1,Gsn,Gfpt2,Cebpd,Serping1,Dcn,Nop58,Dpt,Tnfaip6,Cfh",6181,Heart,52
8,15,1880,60,136,185,1503,2091,"Emcn,Flt1,Pbx1,Ly6c1,Plvap,Meis2,Egfl7,Plpp1,Ptprb,Adgrl4,Fabp4,Eng",3779,Kidney,89.9
38,36,79,3,8,25,67,126,"Fabp4,Flt1,Ly6c1,Egfl7,Emcn,Slc9a3r2,Kdr,Tm4sf1,Ptprb,Eng,Plpp1,Nrp1",218,Kidney,62.7
11,473,841,229,25,1165,60,1568,"C1qb,C1qa,C1qc,Lyz2,H2-Eb1,Fcer1g,Csf1r,H2-Ab1,Ctss,Ctsc,H2-Aa,Cd74",2793,Kidney,53.6
32,25,29,14,18,11,361,86,"Aldob,Gpx3,Fxyd2,Gpx1,Akr1c21,Ass1,Dbi,Akr1a1,Spink1,Miox,Fth1,Rida",458,Kidney,33.7
21,7,5,1032,28,261,140,1072,"Ptprb,Ehd3,Selenop,Maf,Aqp1,Dnase1l3,Egfl7,Kdr,F8,Gm42418,Adgrf5,Mrc1",1473,Liver,96.3
9,83,80,2869,27,334,28,3059,"Hspa1a,Hspa1b,Hsp90aa1,Rps27,Hsph1,Cd83,Hspa8,Hsp90ab1,Rel,Dnajb1,Klf2,Ebf1",3421,Liver,93.8
31,5,12,287,18,80,70,322,"Cd5l,Clec4f,C1qa,C1qc,C1qb,Ctsb,Wfdc17,Apoe,Apoc1,Fcna,Vsig4,Lyz2",472,Liver,89.1
42,1,0,30,3,17,3,34,"Siglech,Cox6a2,Bst2,Irf8,Ccr9,Lair1,Grn,Tyrobp,Mpeg1,Ctsl,Rpl31,Plac8",54,Liver,88.2
26,4,61,452,17,95,309,534,"Clu,Spp1,Apoe,Alb,Tm4sf4,Ttr,Dbi,Krt8,Tstd1,Krt18,Anxa5,Ambp",938,Liver,84.6
23,2,33,819,144,148,47,998,"Siglech,Irf8,Bst2,Ccr9,Cox6a2,Tyrobp,Rpl31,Mpeg1,Plac8,Psap,Pld4,Lair1",1193,Liver,82.1
29,21,57,391,11,51,5,480,"Xcl1,Ccl5,Il2rb,Cd7,Nkg7,Klrk1,AW112010,Ctsw,H2-Q7,Rgs1,H2-K1,Fcer1g",536,Liver,81.5
5,772,90,4155,339,475,163,5356,"Ccr7,Rel,Rps27,Stk17b,H2-Aa,Cd74,Fau,Igkc,Ebf1,Cd79a,H2-Ab1,Satb1",5994,Liver,77.6
40,4,0,26,8,129,0,38,"S100a9,S100a8,Msrb1,Csf3r,Lst1,Tyrobp,Fcer1g,Cebpb,Lyz2,Hp,Ccl6,Spi1",167,Liver,68.4
43,13,0,25,1,7,0,39,"Cfp,Lyz2,Cd14,Fn1,Itgam,Ltc4s,Saa3,Prg4,C1qb,Wfdc17,C1qc,Trf",46,Liver,64.1
33,8,33,91,17,64,233,149,"Fabp1,Apoc1,Dbi,Aldob,Ftl1,Apoa2,Gnmt,Fth1,Ttc36,Phyh,Uba52,Gpx1",446,Liver,61.1
28,25,13,98,51,104,305,187,"S100a8,S100a9,Lyz2,Actb,Tyrobp,Lcn2,Slpi,Retnlg,Cxcl2,S100a11,Msrb1,Wfdc21",596,Liver,52.4
16,193,69,600,312,514,156,1174,"Fcer1g,Gngt2,Tyrobp,Lst1,Fyb,Cybb,Gpx1,Lyz2,Cebpb,Ctsb,Csf1r,Laptm5",1844,Liver,51.1
17,171,18,649,474,442,74,1312,"S100a9,S100a8,Msrb1,Csf3r,Tyrobp,S100a11,Il1b,Srgn,Slpi,Fxyd5,Retnlg,Hdc",1828,Liver,49.5
41,8,10,22,5,0,113,45,"Cryab,Fxyd1,Sparc,Prnp,Cald1,Dbi,Crip2,Dst,Rarres2,Plp1,Ldhb,Kcna1",158,Liver,48.9
20,4,18,212,204,1096,15,438,"Trbc2,Cd3d,Cd3g,Ms4a4b,Rpl13a,Trac,Rpl12,Rps27,Cd3e,Rpl19,Rps16,Lck",1549,Liver,48.4
