cell_type,BaselineProp.clusters,BaselineProp.Freq,PropMean.Control,PropMean.STZ,PropRatio,Tstatistic,P.Value,FDR
Fibroblast_Pericyte,Fibroblast_Pericyte,0.0949550128534704,0.010212403622248,0.0880999835926441,0.115918337391163,-2.16699734351675,0.0369556004163988,0.299769689955279
CD_IC,CD_IC,0.0475578406169666,0.0123265685271106,0.052702397590575,0.233890090216978,-1.9652809958392,0.0552316912787413,0.299769689955279
Endothelial,Endothelial,0.461921593830334,0.681277642642984,0.429433548635388,1.58645649555765,1.85709728094306,0.0694906395782499,0.299769689955279
LoH,LoH,0.0261889460154242,0.0153938777949619,0.0384702143095341,0.400150559887753,-1.7433394645029,0.0877308247463259,0.299769689955279
Macrophage,Macrophage,0.145726221079692,0.0789865670637275,0.173352689108807,0.455640852586663,-1.64258042591,0.107060603555457,0.299769689955279
PT,PT,0.0520565552699229,0.0908533839634559,0.0421984294683892,2.15300391763428,1.5391183510725,0.130397229499725,0.304260202166024
Proliferating,Proliferating,0.00594473007712082,0.0026616757235904,0.00594068895418325,0.448041589808557,-1.42482164730023,0.160732694603367,0.321465389206734
Urothelium,Urothelium,0.00690874035989717,0.00316574744859235,0.00780621582752928,0.405541880795568,-1.23733784292092,0.222030959491742,0.388554179110548
Distal_tubule,Distal_tubule,0.0375964010282776,0.022093673059842,0.0413012688682858,0.534939329111198,-0.993552879210833,0.325464587636185,0.506278247434066
T_cell,T_cell,0.0554305912596401,0.0405209796665524,0.0561198461191952,0.72204367026396,-0.665518548613281,0.508931084619652,0.651339248473001
cDC,cDC,0.0244215938303342,0.0163866877032064,0.0265906362013398,0.616257827722854,-0.598119984489162,0.552595282468137,0.651339248473001
Neutrophil,Neutrophil,0.00546272493573265,0.000346860908775581,0.00524494604790695,0.0661324073893952,-0.590903502078608,0.55829078440543,0.651339248473001
Tubular_epithelium_other,Tubular_epithelium_other,0.00546272493573265,0.00559377381002142,0.00627206367993744,0.891855391697366,0.315470454636984,0.753783465520487,0.811766809022063
B_cell,B_cell,0.030366323907455,0.0201801580649317,0.0264670715962849,0.762462820698467,0.0962136281611983,0.923754849246178,0.923754849246178
