cell_type,BaselineProp.clusters,BaselineProp.Freq,PropMean.Control,PropMean.STZ,PropRatio,Tstatistic,P.Value,FDR
LoH,LoH,0.0289396337327606,0.0153938777949619,0.0448157364215962,0.343492688598191,-2.44955665685299,0.01745642986086,0.244390018052041
Macrophage,Macrophage,0.139724169115985,0.0789865670637275,0.177648116294622,0.444623724198299,-1.89251261432274,0.0635959540633342,0.410122269768573
PT,PT,0.0572009947999096,0.0908533839634559,0.0431237249473026,2.10680742617849,1.72293852543194,0.0904181127880732,0.410122269768573
CD_IC,CD_IC,0.0196699073027357,0.0123265685271106,0.0315876498690546,0.390233796379595,-1.53797527808747,0.129686312526563,0.410122269768573
Fibroblast_Pericyte,Fibroblast_Pericyte,0.0153741804205291,0.010212403622248,0.0206685696467533,0.494103065513883,-1.29955650317256,0.199077481224909,0.410122269768573
Proliferating,Proliferating,0.00406963599366946,0.0026616757235904,0.00440435373420991,0.604328326972554,-1.29166530608713,0.201778844092449,0.410122269768573
Endothelial,Endothelial,0.587610219308162,0.681277642642984,0.521495333031526,1.30639259738456,1.28218283374144,0.205061134884287,0.410122269768573
cDC,cDC,0.0296179063983722,0.0163866877032064,0.0315674520071168,0.519100740202662,-1.15320012225857,0.253726781252726,0.429744073582963
Urothelium,Urothelium,0.00429572688220665,0.00316574744859235,0.00596631109041661,0.530603818777961,-1.04246587360797,0.301675350838729,0.429744073582963
B_cell,B_cell,0.0149219986434547,0.0201801580649317,0.0125242983119816,1.61128053342724,1.00666831676513,0.318424255138744,0.429744073582963
T_cell,T_cell,0.0628532670133394,0.0405209796665524,0.0624259432616477,0.649104804018989,-0.967092370533947,0.337656057815185,0.429744073582963
Distal_tubule,Distal_tubule,0.0278091792900746,0.022093673059842,0.034524216347794,0.639947126888334,-0.79947534749026,0.427393008675009,0.498625176787511
Tubular_epithelium_other,Tubular_epithelium_other,0.00723490843319014,0.00559377381002142,0.00799258684994805,0.699870256656365,-0.535309931785328,0.594555104676638,0.610862472714426
Neutrophil,Neutrophil,0.000678272665611576,0.000346860908775581,0.00125570818603029,0.276227321470383,0.511715077197078,0.610862472714426,0.610862472714426
