gene,logFC,logCPM,F,PValue,FDR,log2FC_DESeq2,padj_DESeq2,cpm_Control,cpm_STZ,pct_cells_detected,cell_type,n_mice_Control,n_mice_STZ,n_cells,sig,deseq2_concordant
Phlda3,2.83113650937105,5.94391673303659,152.912233507418,1.06257138464813e-10,9.85534959261142e-07,2.84810385127769,2.91922069615785e-18,11.5076710853368,92.8674164847882,11.41,Endothelial,3,4,2875,Up,TRUE
Ifi27l2a,2.01879068513824,8.17885568566153,114.309928298803,1.28935194653273e-09,5.97936965204555e-06,2.01931114008741,1.63301717394433e-23,108.804069743793,418.828968287974,28.73,Endothelial,3,4,2875,Up,TRUE
Esm1,-1.69736947287543,10.4718531827458,78.8419107774828,2.69373229644316e-08,8.32812234983676e-05,-1.70464619699671,2.47772224394416e-06,2363.91997194951,724.299604965201,53.74,Endothelial,3,4,2875,Down,TRUE
Hspa1b,-1.42283203521852,11.2395212029774,52.2919854595992,6.09414040175418e-07,0.00141307880565675,-1.42089224395749,0.000248380703104432,3769.89120139766,1407.64335621935,58.26,Endothelial,3,4,2875,Down,TRUE
Acy3,6.75709617109201,3.11665104587098,54.1211317942195,9.28014079053208e-07,0.00151455848219794,5.69989302997948,,0,11.6840334985784,1.77,Endothelial,3,4,2875,Up,FALSE
Ccnd1,0.97401374785967,7.9629749989885,47.5959533574206,1.19458182251943e-06,0.00151455848219794,0.972630763346053,3.0698114253972e-08,156.617828106828,309.188447167342,35.23,Endothelial,3,4,2875,Up,TRUE
Lgals1,1.53784554825016,5.18396701365586,47.1449699158396,1.28833217355738e-06,0.00151455848219794,1.53591755801786,,16.5283004620713,46.3913746287155,8.07,Endothelial,3,4,2875,Up,FALSE
Zmat3,2.44202230562445,4.31950944452183,44.6765654419195,1.57953858273469e-06,0.00151455848219794,2.51284305194388,,3.59029905910474,28.1124156994812,4.28,Endothelial,3,4,2875,Up,FALSE
Hspd1,-1.1177798856722,8.17612002935715,45.6760945706199,1.59491000667561e-06,0.00151455848219794,-1.11814411508531,3.0698114253972e-08,416.331068202835,196.017306134987,32.31,Endothelial,3,4,2875,Down,TRUE
Spry1,-1.14569419768115,6.64538067784972,45.523889708885,1.63294715061772e-06,0.00151455848219794,-1.14429166090613,1.24843252585875e-06,151.726295411878,65.3067477373838,18.96,Endothelial,3,4,2875,Down,TRUE
Swt1,-1.08189583415593,7.57006239063352,42.7039421913081,2.53988716555205e-06,0.00214158667822684,-1.08160722516405,3.03571009958932e-07,269.672971681752,126.515796516712,28.38,Endothelial,3,4,2875,Down,TRUE
Hspb1,-1.27963367906091,12.7019183925453,38.4696364705202,5.13397716361007e-06,0.00386933678690547,-1.27827431879217,0.00481209080746064,10036.2509998958,4135.93996277802,84.45,Endothelial,3,4,2875,Down,TRUE
Ltc4s,2.65322712587809,6.01788050026645,50.6824499726497,5.42332918919365e-06,0.00386933678690547,2.51677985790964,0.000248380703104432,18.1838312976485,94.4471253526784,9.74,Endothelial,3,4,2875,Up,TRUE
Ptpru,-0.96717865396,7.93741808705455,35.7434817870169,8.31224337960257e-06,0.0055068612389867,-0.96817762522833,2.60254272293449e-06,346.4563242069,177.800156851027,40.24,Endothelial,3,4,2875,Down,TRUE
Efna1,-0.861002890116309,7.76400628074092,34.1376946721409,1.11693644379633e-05,0.00690639034414065,-0.852812075073692,1.52328579048443e-05,299.362113012292,160.457449755957,39.27,Endothelial,3,4,2875,Down,TRUE
Dnaja4,-1.19143372735119,5.72863097890105,33.3809582485204,1.28887305891695e-05,0.00747143601340922,-1.19102065944147,0.000458466532472536,75.0942730304861,33.6774467966218,9.15,Endothelial,3,4,2875,Down,TRUE
Cdkn1a,1.25533960716011,8.03606876402731,34.6267349755644,1.37750704672281e-05,0.00751551638726709,1.30255770313177,0.00481209080746064,139.941172724909,351.454161071456,26.61,Endothelial,3,4,2875,Up,TRUE
Maf,1.63154737471257,4.91592374419229,32.128975128901,1.63662131901044e-05,0.00843314596323435,1.62789914041548,,11.2216817239612,36.3978510130923,5.98,Endothelial,3,4,2875,Up,FALSE
Jun,-1.24733797112471,12.1446838589789,33.013334075101,1.88458029318639e-05,0.00919972748384408,-1.24342191736566,0.00911448208429803,6763.83175472572,2855.23765986997,77.95,Endothelial,3,4,2875,Down,TRUE
Dusp1,-1.01022458347285,9.59816733159381,29.9725195061135,2.51381971219673e-05,0.0111554861884458,-0.991430847974413,0.031351952838388,1077.21744012202,544.2081384411,54.89,Endothelial,3,4,2875,Down,TRUE
Gimap9,-0.813981905907151,6.7788284653861,29.9500309395603,2.5257704577613e-05,0.0111554861884458,-0.811218566108192,0.000481041066490069,148.517917247603,83.5015111421005,21.95,Endothelial,3,4,2875,Down,TRUE
Npr3,-2.37766614677051,8.28716846904659,53.2742703850144,4.49383972281444e-05,0.0189456197405018,-2.47726935674757,3.60827185814861e-05,611.660943497921,108.504066089734,30.23,Endothelial,3,4,2875,Down,TRUE
Oaz2,-0.764995907983206,7.67155151009292,26.8341563100814,4.86298025663948e-05,0.0196104964697092,-0.759835759736661,0.000205902346947998,274.733518180244,158.784486296201,35.62,Endothelial,3,4,2875,Down,TRUE
Cda,4.49831202430957,3.98686637454008,29.6278090677997,5.16387908893175e-05,0.0199562410624342,2.81638517810457,,4.27246083099676,21.9529432492634,3.27,Endothelial,3,4,2875,Up,FALSE
Vim,1.00616810229829,7.92704396930419,26.1841781563262,5.60787175970448e-05,0.0208052042285036,1.0272966240572,0.0196993048299705,151.821651679204,311.596817664538,25.91,Endothelial,3,4,2875,Up,TRUE
Pdlim2,1.52008965876382,4.27509710138523,25.5501563206925,6.30182715043421e-05,0.022131353605701,1.54296855393916,,8.43454685747666,24.87039544064,4.45,Endothelial,3,4,2875,Up,FALSE
Gm34455,-1.18334138356433,5.31776014185909,25.5653179949666,6.44255037578357e-05,0.022131353605701,-1.19241395004478,,54.3307442839119,23.7709881828532,7.41,Endothelial,3,4,2875,Down,FALSE
Ppp1r10,-1.00279368469443,6.47344593879707,25.13306084669,7.094529366112e-05,0.023500628525246,-1.00373282693088,0.000551443766993225,129.702085405279,64.5699368730549,17.32,Endothelial,3,4,2875,Down,TRUE
Dll4,-0.793789127975547,7.02374855774093,24.7879557685637,7.67253073979672e-05,0.0239108088991266,-0.792801838477898,0.000822209126388957,177.600975382847,101.546972081484,23.86,Endothelial,3,4,2875,Down,TRUE
Apoe,-0.736221468979838,9.58462417213595,24.7525793482698,7.73395436090347e-05,0.0239108088991266,-0.736657219544969,0.000180625626159599,995.76581075235,599.906310581567,65.63,Endothelial,3,4,2875,Down,TRUE
Ier5,-0.724049186501183,8.45378713549962,24.3336399463633,8.51477159683689e-05,0.025475647277633,-0.726944767636548,0.000180625626159599,451.867904005082,275.954454405339,47.3,Endothelial,3,4,2875,Down,TRUE
Col4a2,0.720802383788039,8.81357590372561,24.1560242006396,8.87167529192349e-05,0.0256138378966277,0.733256441918345,9.12180390755393e-05,333.065924773678,533.4051433793,56.8,Endothelial,3,4,2875,Up,TRUE
Ablim1,0.909400214951134,6.05466253785629,24.0444868688222,9.11327925163035e-05,0.0256138378966277,0.911326912166474,0.00499712332327573,44.9722225684629,81.4993518003882,13.91,Endothelial,3,4,2875,Up,TRUE
Adamts9,1.72124384775687,4.68774639322736,23.625828885451,9.9442081779488e-05,0.0266875040136543,1.50641968447287,,15.3241294392689,35.201936619499,5.43,Endothelial,3,4,2875,Up,FALSE
Hsp90ab1,-0.778501224531642,11.5668767823708,23.6124065247102,0.000100707562315677,0.0266875040136543,-0.777356313828868,0.000570130996017821,3983.58444611565,2326.3704063391,94.23,Endothelial,3,4,2875,Down,TRUE
Oasl2,0.835706035419221,6.73042857914443,23.0632941591712,0.000114697633077384,0.0276307703267461,0.8379591344132,0.00202890186829052,71.7795080192545,125.556392055409,22.64,Endothelial,3,4,2875,Up,TRUE
Hspa8,-0.87583543240135,10.6744824216384,23.0244312702018,0.000115731923331121,0.0276307703267461,-0.868503801562625,0.0704621751363635,2207.35449523174,1210.07264415622,79.69,Endothelial,3,4,2875,Down,FALSE
Ublcp1,1.07296109467179,4.78120877595215,22.9321490783162,0.000118759877967779,0.0276307703267461,1.07200534362657,,15.9563217393201,32.4158635767337,6.33,Endothelial,3,4,2875,Up,FALSE
Gm26802,-1.96936374953484,3.99858348420961,22.9550025634514,0.000118900981797569,0.0276307703267461,-2.00243853849374,,25.1510070463776,6.24389952013953,2.75,Endothelial,3,4,2875,Down,FALSE
9530026P05Rik,-1.04180571562963,4.69877180160601,22.9159963396618,0.00011916235181346,0.0276307703267461,-1.03372616000855,,33.2756247347926,16.8445346672523,6.16,Endothelial,3,4,2875,Down,FALSE
Nuak1,-0.864129165320937,6.400336831037,22.4731528012803,0.000132121930873592,0.0297736360932066,-0.866194116084913,0.00399067794295661,109.787874668313,59.9859360112934,17.95,Endothelial,3,4,2875,Down,TRUE
Map3k20,1.35549277899003,4.16044507558517,22.1991406570778,0.000138301888911789,0.0297736360932066,1.34752834350166,,8.43454685747666,20.7562005325952,4.14,Endothelial,3,4,2875,Up,FALSE
Stbd1,-1.3741984069669,4.23158560827468,22.2885267107724,0.000139315603365893,0.0297736360932066,-1.34783473862071,,24.2808773030319,10.2471686161465,3.79,Endothelial,3,4,2875,Down,FALSE
Kctd12b,0.770507781920902,7.78934553803763,22.1971255651301,0.000141244203568851,0.0297736360932066,0.770609474575446,0.000740659338055339,154.718586084078,264.853309672546,34.68,Endothelial,3,4,2875,Up,TRUE
Cryz,2.65398970412797,3.43794378071465,21.2894811510865,0.000146132162829481,0.0299909145867312,2.61782320205571,,3.14008977858564,14.7635709640374,2.4,Endothelial,3,4,2875,Up,FALSE
Hsp90aa1,-1.42386690663596,11.3320989682257,28.9956721754747,0.000148823782790349,0.0299909145867312,-1.42117575332046,0.00923359064280328,4035.0732722356,1505.84757213701,62.26,Endothelial,3,4,2875,Down,TRUE
