gene,logFC,logCPM,F,PValue,FDR,log2FC_DESeq2,padj_DESeq2,cpm_Control,cpm_STZ,pct_cells_detected,cell_type,n_mice_Control,n_mice_STZ,n_cells,sig,deseq2_concordant
Phlda3,2.90096232799975,5.86558222713745,165.050565563563,3.13133984545178e-10,2.92936842542014e-06,2.92517949894594,6.47294210467259e-17,11.353241578339,97.1679210453459,10.7,Endothelial,3,3,2599,Up,TRUE
Ifi27l2a,1.88032457231757,7.93589671879521,127.735719774845,2.26315225993029e-09,1.05858946958239e-05,1.8771992049703,4.77814193567395e-22,107.528178137588,372.729553462456,26.39,Endothelial,3,3,2599,Up,TRUE
Hspa1a,-1.27219779772997,12.2825518121822,65.1224637419802,3.04136253069083e-07,0.000607870102181924,-1.27496417544222,1.54998027091168e-13,7039.01623840874,2922.01585928752,65.53,Endothelial,3,3,2599,Down,TRUE
Ltc4s,2.4342646972689,5.7033828798861,63.6961594600435,3.57425792734461e-07,0.000607870102181924,2.34401555128488,3.31005348402686e-08,17.9824901501116,76.0486331700691,8.77,Endothelial,3,3,2599,Up,TRUE
Esm1,-1.58254689391426,10.5933579252486,66.7428054810422,3.74854250849699e-07,0.000607870102181924,-1.59469868494521,5.70875583509854e-05,2333.99357412533,773.441853712541,55.52,Endothelial,3,3,2599,Down,TRUE
Hspa1b,-1.24178015291027,11.3702819032434,61.6661409587444,4.4171732115364e-07,0.000607870102181924,-1.2445301725666,8.89229498920525e-13,3722.06522275249,1578.02459073297,61.02,Endothelial,3,3,2599,Down,TRUE
Hspb1,-1.06909037386245,12.8367427510597,61.4011984408617,4.54846682551948e-07,0.000607870102181924,-1.07255039372081,1.551861348249e-14,9907.8648927503,4727.51862352162,86.57,Endothelial,3,3,2599,Down,TRUE
Lgals1,1.6071859362095,5.13527178088707,50.8785024851781,1.60837036931762e-06,0.00188078810062079,1.59577493483652,,16.3250610430281,48.089851478184,7.96,Endothelial,3,3,2599,Up,FALSE
Ptpru,-1.07682411208193,7.93999426780782,46.0203190090642,3.0403780282718e-06,0.00292822427092768,-1.08058116061184,8.51762605548312e-08,342.244477474132,162.875369228569,40.44,Endothelial,3,3,2599,Down,TRUE
Ccnd1,0.962731050528252,7.87823733936125,45.8109060180662,3.13011680483986e-06,0.00292822427092768,0.958853830360015,8.93339974547685e-07,154.636217453359,302.146090026426,34.4,Endothelial,3,3,2599,Up,TRUE
Acy3,6.80077904568457,2.95401896420859,50.0447925767574,3.60210501158723e-06,0.00306342658030896,5.64272143504289,,0,11.0488568249355,1.62,Endothelial,3,3,2599,Up,FALSE
Zmat3,2.26534475474122,4.07208015348266,41.0341555291541,5.24462062522116e-06,0.00390909612597596,2.31388651747,,3.53465579575417,23.5512690066433,3.85,Endothelial,3,3,2599,Up,FALSE
Spry1,-1.02639244597712,6.73205040939988,41.9657446876169,5.43220199227018e-06,0.00390909612597596,-1.03394416838934,3.50024987393481e-05,149.903661248884,70.4310971994571,19.85,Endothelial,3,3,2599,Down,TRUE
Jun,-1.04900954754522,12.2746303155212,40.4342743937181,6.83428663495154e-06,0.00456676796214083,-1.05009344908609,8.51762605548312e-08,6677.16272325144,3238.1866371713,78.49,Endothelial,3,3,2599,Down,TRUE
Swt1,-0.960159225138865,7.6642900690154,39.3631671252022,8.05707623796553e-06,0.00496672826615956,-0.965164117001039,4.04870216077765e-06,266.237065355322,136.412132587733,29.51,Endothelial,3,3,2599,Down,TRUE
