cell_type,Control_1,Control_2,Control_3,STZ_1,STZ_2,STZ_3,STZ_4,Control,STZ
B_cell,714,1686,1703,1141,622,1024,496,3,4
Cholangiocyte,26,77,61,56,27,174,215,3,4
HSC_Fibroblast,68,51,115,141,74,221,1354,3,4
Hepatocyte,5,0,1,17,12,11,23,0,1
Kupffer_cell,26,18,24,40,12,46,36,2,3
LSEC,90,88,133,108,69,205,52,3,4
Macrophage_other,4,8,27,37,7,62,69,1,3
Monocyte,53,75,175,280,67,188,82,3,4
NK_cell,45,63,83,122,69,146,68,3,4
Neutrophil,32,35,137,103,34,158,73,3,4
T_cell,130,255,305,578,177,352,221,3,4
cDC,35,96,110,255,60,145,30,3,4
pDC,98,131,145,217,54,44,59,3,4
