cluster,n_cells,auto_label,score1,second,score2,gap,mixed_lineage,high_sets,low_confidence,SingleR_ImmGen_major,SingleR_ImmGen_frac,SingleR_MouseRNAseq_major,SingleR_MouseRNAseq_frac,top_markers,cell_type,cell_class
0,4429,B_cell,2.74,Plasma_cell,1.57,1.18,FALSE,B_cell;Plasma_cell,FALSE,B cells,1,B cells,1,"Cd79a,Igkc,Cd74,Ebf1,Ighm,H2-Aa,H2-Eb1,H2-Ab1,Mef2c,Ccr7,Rps27,H3f3a",B_cell,Lymphoid
1,2957,B_cell,3.07,Plasma_cell,1.43,1.64,FALSE,B_cell;Plasma_cell,FALSE,B cells,1,B cells,1,"Hspa1a,Hspa1b,Iglc2,Hsp90aa1,Cd79b,Ighm,Cd79a,Igkc,Ebf1,Dnajb1,Hsp90ab1,Hspa8",B_cell,Lymphoid
7,636,Cholangiocyte,4.2,Hepatocyte,0.84,3.36,FALSE,Cholangiocyte,FALSE,Epithelial cells,0.58,Hepatocytes,0.64,"Clu,Spp1,Anxa5,Apoe,Alb,Dbi,Ttr,Krt18,Krt8,Tm4sf4,Gas6,Ambp",Cholangiocyte,Epithelial
17,130,LSEC,-0.14,Kupffer_cell,-0.2,0.06,FALSE,"",TRUE,Monocytes,0.24,Macrophages,0.23,"Gm42418,Malat1,mt-Co3,mt-Co1,mt-Atp6,mt-Co2,AY036118,mt-Nd4,Lars2,mt-Cytb,Srrm2,mt-Nd1",Exclude,Exclude
2,2024,HSC_Fibroblast,2.08,Endothelial_vasc,0.38,1.7,FALSE,HSC_Fibroblast,FALSE,Fibroblasts,0.78,Fibroblasts,0.9,"Gsn,Dcn,Mgp,Mt1,S100a6,Igfbp7,Cebpd,Sparc,Serping1,Bgn,Vim,Cst3",HSC_Fibroblast,Stromal
18,69,Hepatocyte,3.85,Plasma_cell,0.28,3.57,FALSE,Hepatocyte,FALSE,Fibroblasts,0.7,Hepatocytes,0.97,"Apoc1,Aldob,Scp2,Gpx1,Fabp1,Ttc36,Apoa2,Dbi,Ftl1,Chchd10,Ddt,Serpina1b",Hepatocyte,Epithelial
15,202,Kupffer_cell,4.23,Macrophage_other,2.03,2.2,FALSE,Kupffer_cell;Macrophage_other,FALSE,Macrophages,0.99,Macrophages,0.98,"C1qa,Clec4f,C1qc,Ctsb,C1qb,Wfdc17,Apoe,Cd5l,Vsig4,Apoc1,Fcna,Lyz2",Kupffer_cell,Myeloid
6,745,LSEC,4.16,Endothelial_vasc,2.87,1.29,FALSE,LSEC;Endothelial_vasc,FALSE,Endothelial cells,0.99,Endothelial cells,0.99,"Ptprb,Selenop,Ehd3,Egfl7,Aqp1,Kdr,Adgrf5,Gm42418,Eng,Dnase1l3,F8,Maf",LSEC,Endothelial
16,150,Macrophage_other,2.57,Endothelial_vasc,0.16,2.4,FALSE,Macrophage_other,FALSE,Macrophages,0.99,Macrophages,0.9,"Apoe,C1qb,C1qa,C1qc,Ctss,Aif1,Lyz2,H2-Eb1,Ctsc,Csf1r,H2-Ab1,Fcer1g",Macrophage_other,Myeloid
19,64,Macrophage_other,1.09,Endothelial_vasc,0.74,0.36,FALSE,Macrophage_other,FALSE,Macrophages,0.88,Macrophages,0.66,"Lyz2,Apoe,C1qb,Ifitm3,Cst3,C1qa,Ftl1,Crip1,Mt1,Cxcl2,Cebpb,C1qc",Macrophage_other,Myeloid
