cell_type,BaselineProp.clusters,BaselineProp.Freq,PropMean.Control,PropMean.STZ,PropRatio,Tstatistic,P.Value,FDR
Hepatocyte,Hepatocyte,0.00409228396892237,0.00136732485776774,0.00677009956964551,0.201965250835939,-3.64069451586179,0.00301699735304654,0.039220965589605
Macrophage_other,Macrophage_other,0.0126920111499911,0.00501904126960739,0.0161446965134851,0.310878638407056,-2.44728331469056,0.0221676963934251,0.125538193270527
B_cell,B_cell,0.438052310064646,0.585094997927546,0.350126150168,1.67109768192636,2.32449863770082,0.0289703522931985,0.125538193270527
HSC_Fibroblast,HSC_Fibroblast,0.120040329755056,0.0363728726375056,0.167550427061834,0.217086123117325,-1.99259841471748,0.067860407664937,0.220546324911045
pDC,pDC,0.0443627305616511,0.0575506186146212,0.0373144013541176,1.54231654605577,1.3499558949176,0.189742710020068,0.493331046052176
Cholangiocyte,Cholangiocyte,0.037720182670067,0.0232078357518243,0.0447989151669051,0.518044592494259,-1.1086075464719,0.278687897570726,0.603823778069907
NK_cell,NK_cell,0.0353478441373584,0.0286064808957365,0.0425571090643311,0.672190417175512,-0.902257611640696,0.375969971992362,0.646587516706918
Monocyte,Monocyte,0.0545637862522982,0.0423240175704601,0.0599725411158466,0.70572326573097,-0.763366123031874,0.452753559852301,0.646587516706918
Neutrophil,Neutrophil,0.0339244410177332,0.0276873767245364,0.0357383895242799,0.774723682098942,-0.753304571152415,0.458661832451204,0.646587516706918
T_cell,T_cell,0.11968447897515,0.0992628205193484,0.132739520719291,0.747801558883605,-0.68918989799619,0.497375012851475,0.646587516706918
Kupffer_cell,Kupffer_cell,0.0119803095901785,0.0115087121516512,0.0129498584862929,0.888713352646509,-0.496810491279706,0.623885258208923,0.728817144491812
cDC,cDC,0.04335448668525,0.0333323884432288,0.0480381226441966,0.693873669670886,-0.359004862281953,0.722759931052264,0.728817144491812
LSEC,LSEC,0.044184805171698,0.0486655126361662,0.0452997686117755,1.07429936460019,0.35081406512826,0.728817144491812,0.728817144491812
