cell_type,BaselineProp.clusters,BaselineProp.Freq,PropMean.Control,PropMean.STZ,PropRatio,Tstatistic,P.Value,FDR
B_cell,B_cell,0.489242348931336,0.585094997927546,0.407319628109769,1.4364517630608,2.58472818716842,0.0286982428644903,0.167627329511358
Hepatocyte,Hepatocyte,0.00326634949939644,0.00136732485776774,0.00626702020853143,0.218177828101842,-2.77312530135068,0.0297640969192796,0.167627329511358
Macrophage_other,Macrophage_other,0.0102961016828801,0.00501904126960739,0.0132469243649924,0.37888351524609,-2.2123637063568,0.0532655254708635,0.167627329511358
cDC,cDC,0.0497763260668892,0.0333323884432288,0.060451118169224,0.551394075952734,-2.13714321934788,0.0602992136247067,0.167627329511358
NK_cell,NK_cell,0.037492011645246,0.0286064808957365,0.048583464833555,0.588811049062498,-2.09643084759148,0.0644720498120608,0.167627329511358
Monocyte,Monocyte,0.0595043669672655,0.0423240175704601,0.0701241752914911,0.603558150873479,-1.82262711825894,0.100562650543197,0.177529320553127
HSC_Fibroblast,HSC_Fibroblast,0.0475750905346872,0.0363728726375056,0.0609335667759893,0.596926695120664,-1.78507795510539,0.106784130395489,0.177529320553127
T_cell,T_cell,0.1276006532699,0.0992628205193484,0.150468149056007,0.659693238350403,-1.77075962187561,0.109248812648078,0.177529320553127
pDC,pDC,0.0489242348931336,0.0575506186146212,0.042673101493515,1.34863922706361,1.17278240816417,0.270007606830781,0.378563587553628
Neutrophil,Neutrophil,0.03543279130867,0.0276873767245364,0.0388918867763137,0.711906235965873,-1.11892228743358,0.291202759656637,0.378563587553628
Cholangiocyte,Cholangiocyte,0.0298941986792587,0.0232078357518243,0.0339339507241,0.68391198951503,-0.66016513299959,0.525138113394541,0.609719263703924
Kupffer_cell,Kupffer_cell,0.0117872612369524,0.0115087121516512,0.0129468235540781,0.888921680563579,-0.600002760542679,0.562817781880545,0.609719263703924
LSEC,LSEC,0.0492082652843854,0.0486655126361662,0.0541601906424345,0.898547661278666,-0.340428998832738,0.741087126681655,0.741087126681655
