gene,logFC,logCPM,F,PValue,FDR,log2FC_DESeq2,padj_DESeq2,cpm_Control,cpm_STZ,pct_cells_detected,cell_type,n_mice_Control,n_mice_STZ,n_cells,sig,deseq2_concordant
Hist1h1b,1.30056110918487,5.03210045740217,51.2042437135273,3.38936141432482e-07,0.00282909997253693,1.30901077301178,1.32164921889081e-07,19.2705787933926,45.2794218922194,5.69,B_cell,3,4,7386,Up,TRUE
Slc2a1,-1.07219136269512,4.43873722167519,34.2390542786246,6.66963415240844e-06,0.0209552597582596,-1.06768914843423,0.00412151085875564,27.1117861740618,13.0875680037692,5.5,B_cell,3,4,7386,Down,TRUE
Car2,1.16919223479495,5.06169962950847,32.3633430274413,9.79336099251984e-06,0.0209552597582596,1.17236072089895,5.55905765434144e-05,21.0704584593062,46.4297324983151,5.77,B_cell,3,4,7386,Up,TRUE
Atp1b1,1.18425740404123,4.42872537627861,32.2442682721477,1.00420557125959e-05,0.0209552597582596,1.19523180338618,0.000325496843459364,13.6902548433693,31.3705171259922,4.48,B_cell,3,4,7386,Up,TRUE
Hist1h1d,1.25327195018508,4.43284213665195,29.8197075101249,1.6888473453439e-05,0.0281936175831711,1.25351163368669,0.000438594269042369,12.9600854107948,29.7593615945003,4.39,B_cell,3,4,7386,Up,TRUE
Gm4221,1.38194754092922,3.22432429770393,28.0850036336082,2.49234212000366e-05,0.0346726327927842,1.41840128694886,,5.00587114356131,14.1854780935375,1.98,B_cell,3,4,7386,Up,FALSE
Hist3h2ba,0.971262041888161,5.04311146100605,23.5738571836451,7.31550460841518e-05,0.0872321670949164,0.970235770980918,0.00382555526498544,21.8804092248386,41.4695028056536,6.7,B_cell,3,4,7386,NS,TRUE
Hist1h3d,1.39668374570153,3.02714025880354,22.8123920262087,8.89077308551202e-05,0.0884775526104799,1.38522773505105,,4.37991065600694,11.1104318327843,1.71,B_cell,3,4,7386,NS,FALSE
Uqcr11,0.589636932489094,6.20647970966435,22.3961394273519,9.87559198648533e-05,0.0884775526104799,0.593484828615456,0.00382555526498544,57.7713818436931,87.322215427232,15.15,B_cell,3,4,7386,NS,TRUE
Gm30211,0.541676972612182,6.76880464075397,21.9445026582332,0.000111051674688512,0.0884775526104799,0.557187691164725,0.00142142713190265,87.6322674582926,126.641612030661,17.71,B_cell,3,4,7386,NS,TRUE
1500011B03Rik,0.802469823098089,4.53833584613841,21.7589939664384,0.000116599146845008,0.0884775526104799,0.810609954892728,0.0262604594917677,17.0165265401939,29.5043877900027,5.14,B_cell,3,4,7386,NS,TRUE
