gene,logFC,logCPM,F,PValue,FDR,log2FC_DESeq2,padj_DESeq2,cpm_Control,cpm_STZ,pct_cells_detected,cell_type,n_mice_Control,n_mice_STZ,n_cells,sig,deseq2_concordant
Hist1h1b,1.32735262728551,4.97503398581309,46.366245094964,2.05938126895665e-06,0.0179351514713435,1.33361774287125,9.88009046475715e-07,19.1559547441039,46.1095162298764,5.63,B_cell,3,3,6890,Up,TRUE
Hba-a1,2.73098661671023,2.44692187994768,37.1312452825801,8.72051633983753e-06,0.0273500217233104,2.80316718202421,,1.43690018256899,10.7471064456407,1.1,B_cell,3,3,6890,Up,FALSE
Hist1h1e,0.864972753912083,7.84027271998836,36.6498774909317,9.42129580548067e-06,0.0273500217233104,0.875353974356129,9.88009046475715e-07,164.748608212597,297.651813916277,33.13,B_cell,3,3,6890,Up,TRUE
Hist1h1d,1.33631615195916,4.40916497924758,31.144801974303,2.53710259950927e-05,0.0481510957609139,1.3398021448159,,12.8833292128349,31.9748622034105,4.41,B_cell,3,3,6890,Up,FALSE
Slc2a1,-1.07690944827608,4.4681335493629,30.6968838305608,2.76444458381639e-05,0.0481510957609139,-1.07505408262295,,26.9521862998335,12.9389532962957,5.7,B_cell,3,3,6890,Down,FALSE
Atp1b1,1.06986909862365,4.2928411594475,25.1563686533353,8.568458518741e-05,0.122829207432427,1.07591980329627,,13.6086933647208,28.3595958834623,4.33,B_cell,3,3,6890,NS,FALSE
Car2,1.01360286559174,4.90450780813245,24.5099099591861,9.87259676228025e-05,0.122829207432427,1.0137593980873,0.00520441458161105,20.9448070319626,40.1996769065234,5.53,B_cell,3,3,6890,NS,TRUE
Gm4221,1.27499710076769,3.08688141373662,22.6717896963661,0.000149837062416566,0.163116372073234,1.30110911199008,,4.97643348750678,12.7009994077229,1.89,B_cell,3,3,6890,NS,FALSE
Hist3h2ba,1.00793805798532,5.00666321690338,21.5216389170076,0.000196113308649576,0.179257372871801,1.00593435229572,0.00810616430087157,21.7511793598841,42.4171122366521,6.75,B_cell,3,3,6890,NS,TRUE
Gm30211,0.567295918103543,6.74110120859448,21.3193097312206,0.00020583002970697,0.179257372871801,0.578179545819295,0.00350473120957208,87.1127994742752,128.506754940377,17.66,B_cell,3,3,6890,NS,TRUE
Dbi,0.785100516825202,5.6705805039443,20.2898319924019,0.000264460549439518,0.209380629551706,0.793862798151416,0.0095749875276021,37.9576937019163,63.9477924270083,11.15,B_cell,3,3,6890,NS,TRUE
Hist1h3d,1.37810139551727,2.94233151562431,19.5687624007879,0.000317093257744927,0.230130431808381,1.35218632192392,,4.3540360882059,10.6595639439945,1.65,B_cell,3,3,6890,NS,FALSE
Gm8369,0.497249339917829,8.96187658669569,18.5633880923584,0.000409308167868514,0.274204987228222,0.503866820629167,0.0019634123841736,414.444794326508,584.328396094425,58.9,B_cell,3,3,6890,NS,TRUE
Hist1h2ac,1.16126960036705,3.49552322228791,18.1267580405364,0.000458958436244084,0.274252388310686,1.14600082506076,,7.1493503517062,15.2076327808971,2.48,B_cell,3,3,6890,NS,FALSE
Wsb1,-0.622792976008802,6.36953519247237,17.5170470794172,0.000539216537409973,0.274252388310686,-0.614485777085845,0.0298911518008386,97.3314611065975,62.695729604131,20.07,B_cell,3,3,6890,NS,TRUE
1500011B03Rik,0.748560368567593,4.45970717169288,17.5100516308938,0.0005402854560165,0.274252388310686,0.754662397809313,,16.9155140716458,27.9195114929005,5.05,B_cell,3,3,6890,NS,FALSE
Uqcr11,0.548949716180803,6.14125192879678,17.3878139651108,0.000558225711559458,0.274252388310686,0.555492715587736,0.0366720845222525,57.4304618341699,83.8741052646966,15.08,B_cell,3,3,6890,NS,TRUE
Fam189b,0.975215911024945,3.60487201372239,17.3322593538641,0.000566832356136451,0.274252388310686,0.99156317600484,,8.05863490819904,16.5544569753689,2.71,B_cell,3,3,6890,NS,FALSE
Erf,-0.94615451447457,3.70568407881896,17.02769970033,0.00061577135673583,0.282250144516439,-0.947569325786174,,15.1538881416346,7.7792739858347,3.35,B_cell,3,3,6890,NS,FALSE
H2-Q4,-0.554683489022685,7.47946741594845,16.4992506925529,0.00071104617775943,0.297441542811643,-0.550295840313535,0.0137569824118357,209.396646163327,142.473949386865,37.3,B_cell,3,3,6890,NS,TRUE
Il12a,0.869618501589112,4.1807983022689,16.4685564006217,0.000717220392587497,0.297441542811643,0.864194753183348,,13.7466787135223,23.4642720477798,3.76,B_cell,3,3,6890,NS,FALSE
Tsc22d3,0.477223815335689,9.50599004616581,15.6528272440834,0.000901098589932462,0.320397540577407,0.484316517205721,0.00662847782425312,608.983983403317,846.362526697005,74.53,B_cell,3,3,6890,NS,TRUE
Arrb2,0.870237954635765,4.05834541499737,15.6417702613533,0.000904099422207301,0.320397540577407,0.865543004689935,,12.3313933540769,21.3679319952467,3.88,B_cell,3,3,6890,NS,FALSE
Stk11,-0.517192565059487,6.0270755705798,15.4304039036619,0.000960031295599797,0.320397540577407,-0.514698570069729,0.0990577405365377,74.8599238289545,52.3635261076239,15.85,B_cell,3,3,6890,NS,FALSE
Ctsb,0.691087443736399,5.04018065998074,15.3652447066218,0.00097812289520647,0.320397540577407,0.70007135424142,0.0990577405365377,25.715576480592,40.34520819902,7.88,B_cell,3,3,6890,NS,FALSE
Ahsa2,-0.692417222939702,5.09101657371602,15.3112822686207,0.000993398959412032,0.320397540577407,-0.690115386525556,0.15251441307119,39.1268113200176,24.1502748657299,8.61,B_cell,3,3,6890,NS,FALSE
Nfam1,1.00742361155555,3.07458367457788,15.2600977553651,0.00100880079545828,0.320397540577407,1.02254120297932,,5.59070596790918,11.5062814632051,1.97,B_cell,3,3,6890,NS,FALSE
Crip1,0.646784170262144,8.66406139541397,15.1025750990441,0.0010548170639398,0.320397540577407,0.648308396747733,0.54568435904399,316.131445876103,493.867530136521,46.5,B_cell,3,3,6890,NS,FALSE
Gm28935,1.04113296822668,3.56255955900951,15.0644307060761,0.00106688812455446,0.320397540577407,1.04015421358354,,7.77174775100708,15.7284473565227,2.58,B_cell,3,3,6890,NS,FALSE
Stip1,-0.562407433538349,7.09605406001342,14.8704189308826,0.00112827505503663,0.327538248477135,-0.561974180061024,0.0383901848444098,159.30822006586,108.207022876829,28.77,B_cell,3,3,6890,NS,TRUE
Abca8a,1.64582311391689,2.40820975030398,14.7075349332948,0.0011870889061587,0.333495396249553,1.73553270955977,,2.12156545282907,8.12913846841033,1.2,B_cell,3,3,6890,NS,FALSE
Il21r,-0.462833070200843,6.95903125538314,14.4224369909051,0.00128669471430826,0.350182008340958,-0.459437201766636,0.05366143002898,142.638049567805,103.542400225939,25.17,B_cell,3,3,6890,NS,FALSE
Rilpl2,-0.560071880268512,7.45410092431017,14.252811773606,0.00135303058454097,0.357077071538402,-0.557005421463125,0.049856787171338,205.021902397108,139.105177968931,32.35,B_cell,3,3,6890,NS,TRUE
Mdn1,-0.639008109139031,5.15014976692515,14.1190249192338,0.0014081386677171,0.360690578151419,-0.635656948671562,0.202906333702986,41.2021232631834,26.4089563176668,8.62,B_cell,3,3,6890,NS,FALSE
Ccr6,0.571758698018173,5.83295238730266,13.8772270011114,0.00151395057360369,0.376714158443273,0.566890534259879,0.0990577405365377,45.8081456506152,69.2771001717057,12.28,B_cell,3,3,6890,NS,FALSE
Nfkbie,-0.529377985836255,5.72414761872042,13.6602422117929,0.00161658252725507,0.391078256385123,-0.525485427112431,0.198703141850374,60.1446391104877,41.5456877519236,12.12,B_cell,3,3,6890,NS,FALSE
Styx,-0.932958111782343,3.54354848526841,13.5330130741328,0.0016817794304268,0.395854515123974,-0.931167188948784,,13.1812015803009,6.89917312725537,2.86,B_cell,3,3,6890,NS,FALSE
Slc25a33,-0.955840812911972,3.59675711022757,13.2945376515376,0.001808944329045,0.398257288791506,-0.977638158046652,,14.1905380739897,6.74933773027538,3.03,B_cell,3,3,6890,NS,FALSE
Ubash3b,1.14210578907757,2.66395817124804,13.281825838494,0.00181735670851284,0.398257288791506,1.17305785160029,,3.73437570558185,8.77989388972329,1.39,B_cell,3,3,6890,NS,FALSE
Wdr43,-0.469736891640596,6.53361868793359,13.1733463400784,0.00187629405276671,0.398257288791506,-0.469711926427492,0.0990577405365377,105.181161563106,76.1333999943301,21.2,B_cell,3,3,6890,NS,FALSE
Gimap5,0.507178048739646,6.64990512882708,13.1196312654237,0.00190768311204452,0.398257288791506,0.523064738023655,0.05366143002898,83.5735443258533,117.341424226772,19.84,B_cell,3,3,6890,NS,FALSE
Rdh12,0.601892698345708,4.80306005997978,13.0428102024,0.00195371372915291,0.398257288791506,0.603696859582009,0.236827839870815,22.3249220671495,34.4186264489646,6.08,B_cell,3,3,6890,NS,FALSE
Plaur,-0.498954607229294,7.46930674422441,12.934000747568,0.00202079219427698,0.398257288791506,-0.495021946299428,0.05366143002898,205.851342516971,145.598260850672,31.83,B_cell,3,3,6890,NS,FALSE
Hmga1,-0.885678364285053,3.50532316960756,12.899823674214,0.00204412016749141,0.398257288791506,-0.892835592327335,,13.007988229452,6.83460937894752,2.84,B_cell,3,3,6890,NS,FALSE
Idi1,-0.783442800012946,3.85518064874937,12.7843857876874,0.00211821773689055,0.398257288791506,-0.784437131370747,,16.4933785823291,9.44047790712004,3.27,B_cell,3,3,6890,NS,FALSE
Dynll2,-0.724408510483943,4.80094078874292,12.6863125164609,0.00218375963994401,0.398257288791506,-0.721218476866566,,31.7258705638519,19.3000949453126,6.88,B_cell,3,3,6890,NS,FALSE
Tmem71,0.517838824946724,5.34386107200519,12.6838203411493,0.00218533282801955,0.398257288791506,0.527321786208304,0.236707594074666,33.6686308942279,47.7635689614179,9.26,B_cell,3,3,6890,NS,FALSE
Hsph1,-0.798506878198228,8.88881538535847,14.3696582409872,0.00219501089240926,0.398257288791506,-0.789618059351929,0.511801883274286,595.429491043507,343.819928530984,42.06,B_cell,3,3,6890,NS,FALSE
Ighm,0.534811030815511,11.5698555131842,12.5072025540649,0.00231037313968341,0.402509351704988,0.538351804219461,0.05366143002898,2482.58780858002,3596.32817228399,96.18,B_cell,3,3,6890,NS,FALSE
Kbtbd11,0.859747684419386,3.78549072860597,12.5071166547094,0.00231088156909512,0.402509351704988,0.881738139531575,,9.99341966504556,19.0533631688527,3.05,B_cell,3,3,6890,NS,FALSE
Hist1h1c,1.07758162902068,8.67181019329675,16.7421350239821,0.00246545631343479,0.421012922229482,1.07668712580756,0.257108164615389,262.826662631866,552.587248651947,43.66,B_cell,3,3,6890,NS,FALSE
Ttf1,0.56543881049993,5.0957876396522,12.2063098665063,0.00254247553892981,0.421135878741744,0.570374563774288,0.236827839870815,28.1942267013116,41.6578354627118,7.5,B_cell,3,3,6890,NS,FALSE
D730003I15Rik,0.63278664262177,4.50945402286548,12.1814343365503,0.00256288914609168,0.421135878741744,0.638787709458643,,18.4795692745595,28.1554318876243,5.14,B_cell,3,3,6890,NS,FALSE
Uspl1,-0.622373190771218,5.1143856926151,11.940107800736,0.00276964518209783,0.428954458266512,-0.622944888875839,0.236827839870815,38.9482961980791,26.0367572365835,8.66,B_cell,3,3,6890,NS,FALSE
Qser1,0.824712250400452,3.42799921699077,11.8808652372656,0.00282389695986277,0.428954458266512,0.837120937729293,,7.77991850369566,14.094526293059,2.44,B_cell,3,3,6890,NS,FALSE
Srsf6,-0.482193142069127,6.69654873370761,11.852694702545,0.00284896221706495,0.428954458266512,-0.49081679496989,0.0990577405365377,118.54090118224,85.8994422142135,23.67,B_cell,3,3,6890,NS,FALSE
Ahr,0.649297529434905,4.11823548586327,11.8226318138065,0.00287719084552115,0.428954458266512,0.654314716839579,,13.5329529699834,21.1976260570274,3.6,B_cell,3,3,6890,NS,FALSE
Igkv10-96,1.34727809518338,2.19802406181389,11.7875818614993,0.00291838555692781,0.428954458266512,1.37029648388417,,2.50848163032186,6.46322364693594,0.93,B_cell,3,3,6890,NS,FALSE
Il5ra,0.677410149796208,4.06765332946994,11.7788754411953,0.00291838586549383,0.428954458266512,0.683789878718366,,12.7130393675986,20.6153319351397,3.82,B_cell,3,3,6890,NS,FALSE
Nup62,-0.648431124943027,4.38651130829662,11.7403199332832,0.00295524945412685,0.428954458266512,-0.645906639732421,,23.6048816535617,15.3499104347673,5.25,B_cell,3,3,6890,NS,FALSE
4933426B08Rik,1.03629686776734,3.96814409612071,11.6768314998547,0.00301705034204467,0.430745761128968,1.01752010940289,,11.2517099043206,22.4966968524384,3.44,B_cell,3,3,6890,NS,FALSE
March1,0.523177579655418,6.89179353293198,11.6132224614337,0.00307997418933917,0.432637019596045,0.527849069778278,0.0990577405365377,99.0192397276748,142.181870909407,22.89,B_cell,3,3,6890,NS,FALSE
Mpp7,-0.581609865367839,5.90473141283604,11.4940765746237,0.00320270777518294,0.43943806395622,-0.584101762236605,0.153324473767395,68.647196593391,46.6848962788057,11.12,B_cell,3,3,6890,NS,FALSE
Ms4a6b,0.584015265888529,4.7385074883555,11.4027858998019,0.00330052367193831,0.43943806395622,0.591300208684353,0.306614868704451,21.6375743042262,31.8559698562446,6.34,B_cell,3,3,6890,NS,FALSE
Iglc3,0.402187858115523,9.48990826799637,11.3988505854731,0.00330463337422248,0.43943806395622,0.408551943524023,0.0478916788042305,620.716573398152,819.358025083381,68.82,B_cell,3,3,6890,NS,TRUE
