R version 4.6.1 (2026-06-24 ucrt)
Platform: x86_64-w64-mingw32/x64
Running under: Windows 11 x64 (build 26200)

Matrix products: default
  LAPACK version 3.12.1

locale:
[1] LC_COLLATE=English_United States.utf8 
[2] LC_CTYPE=English_United States.utf8   
[3] LC_MONETARY=English_United States.utf8
[4] LC_NUMERIC=C                          
[5] LC_TIME=English_United States.utf8    

time zone: Asia/Dhaka
tzcode source: internal

attached base packages:
[1] stats4    stats     graphics  grDevices utils     datasets  methods  
[8] base     

other attached packages:
 [1] Matrix_1.7-5                ggplot2_4.0.3              
 [3] data.table_1.18.4           speckle_1.12.0             
 [5] DESeq2_1.52.0               SummarizedExperiment_1.42.0
 [7] Biobase_2.72.0              MatrixGenerics_1.24.0      
 [9] matrixStats_1.5.0           GenomicRanges_1.64.0       
[11] Seqinfo_1.2.0               IRanges_2.46.0             
[13] S4Vectors_0.50.1            BiocGenerics_0.58.1        
[15] generics_0.1.4              edgeR_4.10.1               
[17] limma_3.68.4                Seurat_5.5.1               
[19] SeuratObject_5.4.0          sp_2.2-1                   

loaded via a namespace (and not attached):
  [1] RColorBrewer_1.1-3          rstudioapi_0.19.0          
  [3] jsonlite_2.0.0              magrittr_2.0.5             
  [5] spatstat.utils_3.2-3        farver_2.1.2               
  [7] ragg_1.5.2                  vctrs_0.7.3                
  [9] ROCR_1.0-12                 spatstat.explore_3.8-1     
 [11] htmltools_0.5.9             S4Arrays_1.12.0            
 [13] SparseArray_1.12.2          sctransform_0.4.3          
 [15] parallelly_1.48.0           KernSmooth_2.23-26         
 [17] htmlwidgets_1.6.4           ica_1.0-3                  
 [19] plyr_1.8.9                  plotly_4.12.0              
 [21] zoo_1.8-15                  igraph_2.3.3               
 [23] mime_0.13                   lifecycle_1.0.5            
 [25] pkgconfig_2.0.3             R6_2.6.1                   
 [27] fastmap_1.2.0               fitdistrplus_1.2-6         
 [29] future_1.70.0               shiny_1.14.0               
 [31] digest_0.6.39               patchwork_1.3.2            
 [33] tensor_1.5.1                RSpectra_0.16-2            
 [35] irlba_2.3.7                 textshaping_1.0.5          
 [37] labeling_0.4.3              progressr_1.0.0            
 [39] spatstat.sparse_3.2-0       httr_1.4.8                 
 [41] polyclip_1.10-7             abind_1.4-8                
 [43] compiler_4.6.1              withr_3.0.3                
 [45] S7_0.2.2                    BiocParallel_1.46.0        
 [47] fastDummies_1.7.6           MASS_7.3-65                
 [49] DelayedArray_0.38.2         tools_4.6.1                
 [51] lmtest_0.9-40               otel_0.2.0                 
 [53] httpuv_1.6.17               future.apply_1.20.2        
 [55] goftest_1.2-3               glue_1.8.1                 
 [57] nlme_3.1-169                promises_1.5.0             
 [59] grid_4.6.1                  Rtsne_0.17                 
 [61] cluster_2.1.8.2             reshape2_1.4.5             
 [63] gtable_0.3.6                spatstat.data_3.1-9        
 [65] tidyr_1.3.2                 XVector_0.52.0             
 [67] spatstat.geom_3.8-1         RcppAnnoy_0.0.23           
 [69] ggrepel_0.9.8               RANN_2.6.2                 
 [71] pillar_1.11.1               stringr_1.6.0              
 [73] spam_2.11-4                 RcppHNSW_0.7.0             
 [75] later_1.4.8                 splines_4.6.1              
 [77] dplyr_1.2.1                 lattice_0.22-9             
 [79] survival_3.8-6              deldir_2.0-4               
 [81] tidyselect_1.2.1            SingleCellExperiment_1.34.0
 [83] locfit_1.5-9.12             miniUI_0.1.2               
 [85] pbapply_1.7-4               gridExtra_2.3.1            
 [87] scattermore_1.2             statmod_1.5.2              
 [89] stringi_1.8.7               lazyeval_0.2.3             
 [91] codetools_0.2-20            tibble_3.3.1               
 [93] cli_3.6.6                   uwot_0.2.4                 
 [95] systemfonts_1.3.2           xtable_1.8-8               
 [97] reticulate_1.46.0           Rcpp_1.1.2                 
 [99] globals_0.19.1              spatstat.random_3.5-0      
[101] png_0.1-9                   spatstat.univar_3.2-0      
[103] parallel_4.6.1              dotCall64_1.2              
[105] listenv_1.0.0               viridisLite_0.4.3          
[107] scales_1.4.0                ggridges_0.5.7             
[109] purrr_1.2.2                 rlang_1.3.0                
[111] cowplot_1.2.0              
