gene,tier,evidence,supported
VSNL1,Not a target,candidate19,TRUE
LZTFL1,Not a target,candidate19,TRUE
GAS6,Not a target,candidate19,TRUE
SREBF2,Not a target,candidate19,TRUE
SERPINE1,Not a target,candidate19,TRUE
HMOX1,Not a target,candidate19,TRUE
ENPP1,Not a target,candidate19,TRUE
PNPLA3,Not a target,candidate19,TRUE
GPX1,Not a target,candidate19,TRUE
IGFBP1,Not a target,candidate19,TRUE
PLIN1,Not a target,candidate19,TRUE
CTSD,Not a target,candidate19,TRUE
KHK,Not a target,candidate19,TRUE
IGFBP2,Not a target,candidate19,TRUE
ULK1,Not a target,candidate19,FALSE
PPP2R3B,Not a target,candidate19,FALSE
PFKFB1,Not a target,candidate19,FALSE
EEF2,Not a target,candidate19,FALSE
PPP2R1A,Not a target,candidate19,FALSE
CREB3,Not a target,candidate19,FALSE
IRS1,Not a target,candidate19,FALSE
AKT1,Not a target,candidate19,FALSE
PFKL,Not a target,candidate19,FALSE
PFKFB4,Not a target,candidate19,FALSE
PIK3R2,Not a target,candidate19,FALSE
PFKP,Not a target,candidate19,FALSE
CFTR,Not a target,candidate19,FALSE
HNF4A,Not a target,candidate19,FALSE
FASN,Not a target,candidate19,FALSE
GYS2,Not a target,candidate19,FALSE
PDPK1,Not a target,candidate19,FALSE
RPS6KB2,Not a target,candidate19,FALSE
FOXO3,Not a target,candidate19,FALSE
PIK3CA,Not a target,candidate19,FALSE
SREBF1,Not a target,candidate19,FALSE
TSC2,Not a target,candidate19,FALSE
MLYCD,Not a target,candidate19,FALSE
PPP2R5B,Not a target,candidate19,FALSE
AKT2,Not a target,candidate19,FALSE
TSC1,Not a target,candidate19,FALSE
PFKM,Not a target,candidate19,FALSE
PIK3CD,Not a target,candidate19,FALSE
PPARGC1A,Tier 1,candidate19,TRUE
CCND1,Tier 1,candidate19,TRUE
IRS2,Tier 2,candidate19,TRUE
CDKN1A,Tier 2,candidate19,FALSE
PFKFB3,Tier 2,candidate19,FALSE
ZMAT3,Tier 2,candidate19,FALSE
PPP2R5A,Tier 2,candidate19,FALSE
BAX,Tier 2,candidate19,FALSE
PHLDA3,Tier 2,candidate19,FALSE
FBP1,Tier 2b (not testable in this atlas),candidate19,TRUE
IGF1,Tier 2b (not testable in this atlas),candidate19,TRUE
SIRT1,Tier 3 (protein-level),candidate19,FALSE
CAMKK2,Tier 3 (protein-level),candidate19,FALSE
STK11,Tier 3 (protein-level),candidate19,FALSE
PRKAA2,Tier 3 (protein-level),candidate19,FALSE
VSNL1,Not a target,module,TRUE
LZTFL1,Not a target,module,TRUE
GAS6,Not a target,module,TRUE
SREBF2,Not a target,module,TRUE
SERPINE1,Not a target,module,TRUE
HMOX1,Not a target,module,TRUE
