gene,candidate19,module,phenotype_set,on_map,axis_anchor,DEG_FDR,human_logFC,human_P,human_FDR,sc_tissue,sc_cell_type,sc_logFC,sc_P,sc_cell_BH,ml_rank,lasso_freq,mr_OR,mr_p,mr_FDR,replicated,val_logFC,val_P,val_AUC,sc_confirmed,protein_readout,tier
VSNL1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,-0.566664041219153,4.09482192397975e-06,0.0158446857863832,,,,,,1,1,,,,FALSE,0.250801179,0.163886726,0.314285714,FALSE,FALSE,Not a target
SREBF2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.507761802111129,0.00024168707159368,0.0472841517740822,,,,,,3,0.76,,,,FALSE,0.103593522,0.42560635,0.585714286,FALSE,FALSE,Not a target
IGFBP1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-1.65567724558723,0.00166785434919427,0.0665585075618461,,,,,,8,0.09,,,,FALSE,-0.488340054,0.450043773,0.578571429,FALSE,FALSE,Not a target
IGFBP2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-0.855518113152715,0.0295921332158199,0.153766067213453,,,,,,6.5,0.23,1.0233104963334,0.569153757155151,0.775346280670945,FALSE,-0.895971747,0.06055966,0.742857143,FALSE,FALSE,Not a target
ULK1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.471039299127842,6.64395450049281e-05,0.0422769009190092,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
PPP2R3B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.276953635505095,0.00063525508853722,0.0539381129075716,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
PFKFB1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.325059846329074,0.00103535016306561,0.0628118882034337,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
EEF2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.448462726762021,0.00104406663485494,0.0628118882034337,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
PPP2R1A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.348763030574157,0.00116430586290843,0.0636171358842145,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
CREB3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.303800603180914,0.00138677189848469,0.0658826713042013,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
IRS1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-0.3554897344882,0.00226335322613427,0.0728410344711814,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
FBP1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.619906449388021,0.00253757287048046,0.0745214814612773,,,,,,,,0.891271393569372,0.124175228034232,0.496700912136929,FALSE,-0.075999423,0.652104989,0.5,FALSE,FALSE,Not a target
AKT1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.387089573539082,0.00343401055010987,0.0789152904062191,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
PFKL,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.412788409607824,0.00375888054431156,0.0802162528992835,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
PFKFB4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.131856641195354,0.00500148112903384,0.0874127475573622,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
PIK3R2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.268794809673499,0.00604856153799963,0.0920119170685281,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
PFKP,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.201971206322531,0.00645525341532389,0.0940478245554191,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
CFTR,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.346053445795614,0.00848407975775739,0.100031858033946,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
HNF4A,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.30625444596782,0.00865664236155255,0.10016520814237,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
FASN,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.69799363467585,0.0102285985406989,0.104041445819242,,,,,,,,1.04373931812851,0.0683359892221259,0.410015935332755,FALSE,,,,FALSE,FALSE,Not a target
GYS2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-0.436590184422608,0.0112001344569651,0.107509604953939,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
PDPK1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.153466221786299,0.018028233353959,0.12592415969288,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
RPS6KB2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.257949387042562,0.0194903632172992,0.129212989472378,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
FOXO3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.258505148092882,0.0236771002828433,0.138569997318525,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
PIK3CA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,-0.194162266153804,0.025007761246042,0.141319286744511,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
SREBF1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.435480157850608,0.0261960327030443,0.14479173754425,,,,,,,,0.903211515288442,9.00682016875363e-09,2.16163684050087e-07,FALSE,,,,FALSE,FALSE,Not a target
TSC2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.360866737018733,0.0271776682330935,0.147761600402632,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
MLYCD,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.272131424826275,0.0291126278511173,0.152132859290081,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
PPP2R5B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.137412769860998,0.0300031487878973,0.155093997102205,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
AKT2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.272775905162288,0.0322680307039496,0.159941472099098,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
TSC1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.202386421851348,0.034493511696181,0.164918658956342,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
PFKM,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.174352886444122,0.044645878124864,0.183139607433781,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
PIK3CD,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.187312414207718,0.0479971366369964,0.189473707246273,,,,,,,,,,,FALSE,,,,FALSE,FALSE,Not a target
PPARGC1A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,-0.612471761557638,0.000603487342297342,0.0535181515702502,liver,Cholangiocyte,-1.02773068266401,0.0159695273394242,1.96275477172419e-08,2,0.97,0.982506771323366,0.159240545617937,0.545967584975784,FALSE,-0.178785276,0.626997634,0.542857143,TRUE,FALSE,Tier 1
CCND1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0.8031084765255,0.00074921048132828,0.0578425746384107,kidney,Endothelial,0.97401374785967,1.19458182251943e-06,8.2149665136487e-17,6.5,0.22,1.03282930380482,0.553509513341914,0.775346280670945,TRUE,0.534781435,0.015696501,0.814285714,TRUE,FALSE,Tier 1
IRS2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,-0.584420274513232,0.00290962468594569,0.0747511303436519,liver,pDC,-0.857399441610167,0.00849489399233204,2.67600523742033e-05,5,0.25,0.938413279779167,0.27734512924883,0.665628310197192,FALSE,0.07809336,0.770138361,0.442857143,TRUE,FALSE,Tier 1
CDKN1A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.960105171790021,5.29391439571774e-06,0.0158446857863832,liver,Cholangiocyte,1.92225963356805,6.40098087747437e-06,0.11646067411068,,,1.02490484550327,0.487937569404426,0.775346280670945,FALSE,,,,TRUE,FALSE,Tier 2
PFKFB3,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,-0.655569796012921,0.000127446028528339,0.0422769009190092,liver,LSEC,-0.817470674656628,0.0494480164509521,0.437718803329667,,,,,,FALSE,,,,TRUE,FALSE,Tier 2
ZMAT3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.521870426246668,0.000836411484490072,0.060322399351296,kidney,Endothelial,2.44202230562445,1.57953858273469e-06,3.72315065782383e-09,,,0.985338208887682,0.425473515514106,0.775346280670945,FALSE,,,,TRUE,FALSE,Tier 2
PPP2R5A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.262441936043039,0.00882731769154429,0.100936625982014,liver,T_cell,-0.361001714802183,0.0181026318373087,1.91355177110033e-06,,,,,,FALSE,,,,TRUE,FALSE,Tier 2
BAX,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.341780465352488,0.0136443501184127,0.113739722456912,kidney,Endothelial,0.605013595757011,0.000467218035232384,2.66304474966266e-06,,,1.03605977645094,0.628655268906928,0.775346280670945,FALSE,,,,TRUE,FALSE,Tier 2
PHLDA3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.160508637806877,0.0173043302157062,0.124296409318028,kidney,Endothelial,2.83113650937105,1.06257138464813e-10,1.19980108439637e-28,,,0.965300319459896,0.583307194659008,0.775346280670945,FALSE,,,,TRUE,FALSE,Tier 2
IGF1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-0.750196331507432,0.0163841211440685,0.121600797588543,,,,,,4,0.35,,,,FALSE,0.191395986,0.455609131,0.414285714,FALSE,FALSE,Tier 2b (not testable in this atlas)
SIRT1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-0.389065828328134,0.0044363570263749,0.0855266768434143,,,,,,,,1.02726369656006,0.000947093000646844,0.0113651160077621,FALSE,,,,FALSE,TRUE,Tier 3 (protein-level)
CAMKK2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.506110584900416,0.00844909260690126,0.100031858033946,,,,,,,,1.00825329812521,0.861547674917712,0.861547674917712,FALSE,,,,FALSE,TRUE,Tier 3 (protein-level)
STK11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.354251480632152,0.0153103974501462,0.117879056948494,,,,,,,,,,,FALSE,,,,FALSE,TRUE,Tier 3 (protein-level)
PRKAA2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.2883315494399,0.0174833628632484,0.124528023712669,,,,,,,,,,,FALSE,,,,FALSE,TRUE,Tier 3 (protein-level)
