gene,dropped,b,se,p
PPARGC1A,rs10028665,-0.0401499733587133,0.0300435129224964,0.181420494339737
PPARGC1A,rs7672932,-0.0519049366645237,0.0198133137716833,0.00880071686604474
PPARGC1A,rs11727825,-0.0468334720692507,0.0193884078992638,0.0157119027544648
SIRT1,rs10047296,0.0547095615109783,0.0151725708565628,0.00031116861564451
SIRT1,rs3096244,0.0305959169079448,0.0113665537106118,0.00710782796731573
SIRT1,rs10762156,0.0386256002464161,0.0112792109515321,0.000615943432207202
SIRT1,rs12240613,0.0405787261740226,0.0100975094212542,5.85234425436505e-05
SIRT1,rs71496025,0.0396280077207207,0.0106868780745138,0.00020882057155178
SIRT1,rs11815372,0.0389446127649255,0.0110008952524004,0.000399928126384471
SIRT1,rs9971123,0.0368607679984213,0.0101597817282434,0.000285507723837541
SIRT1,rs76685030,0.0370485217353614,0.0104846595927338,0.000409951539569127
SIRT1,rs78267180,0.0371084222291352,0.0105354378657629,0.000427904060451256
SIRT1,rs71475254,0.037051493614708,0.0101298613054774,0.000254537672163906
SREBF1,rs10048206,-0.134125406967232,0.024219251859811,3.06003664264484e-08
SREBF1,rs7224617,-0.123379199133661,0.0217488148095526,1.40387091690127e-08
SREBF1,rs12940014,-0.124574384159426,0.0217011266575304,9.4421401692782e-09
SREBF1,rs12939469,-0.116970114585648,0.0198451727242013,3.76650595087984e-09
SREBF1,rs2360234,-0.118082447074261,0.0201825778086633,4.89473584975454e-09
SREBF1,rs2882552,-0.127966066795193,0.0188031498906269,1.00653122369595e-11
SREBF1,rs1242486,-0.117576160669563,0.0194442644317186,1.47723522609595e-09
SREBF1,rs1242485,-0.115979210625768,0.018803051784922,6.91129470102322e-10
SREBF1,rs1242488,-0.116083385494022,0.0183547923076711,2.54188193745651e-10
SREBF1,rs9909417,-0.123728742873865,0.0185525106235594,2.57358484112544e-11
SREBF1,rs12150592,-0.122620525438324,0.0196987421693012,4.82202666867073e-10
GPX1,rs11130203,0.595057092548366,0.112018452063437,1.08348539163158e-07
GPX1,rs6802890,0.118508842935554,0.232458731701816,0.610187421668813
GPX1,rs2234391,0.116653049912423,0.228561656195909,0.60978602632963
KHK,rs10175737,-0.0238174481836168,0.0709371757656685,0.737056299498089
KHK,rs11675428,-0.0140328694377902,0.0331528287835253,0.672092303279458
KHK,rs76984581,-0.0159822533011135,0.0336357851222632,0.634675612656425
KHK,rs1506536,-0.0264203073729349,0.0387023791785891,0.49482593732487
KHK,rs1731231,-0.0306033560604759,0.0381176194258814,0.422051955730412
KHK,rs1731232,-0.0305143085195531,0.0380772871179442,0.422912720899449
KHK,rs72613829,-0.0351424972068872,0.0346388214547505,0.310324777112615
KHK,rs76586169,-0.032611657791721,0.0369242680371496,0.377126111067698
KHK,rs11608,-0.0344339824633802,0.0349128076880814,0.323993223134365
KHK,rs9941696,-0.0278393099535634,0.0383384993157135,0.467749878927504
CDKN1A,rs12199346,-0.00785720532493517,0.0797649784428929,0.921531738615819
CDKN1A,rs2395650,0.10743380277422,0.0529676481756554,0.042530559504489
CDKN1A,rs6927636,0.110989056756648,0.0503551002584072,0.0275153849194666
