gene,dropped,b,se,p
PRKAA1,rs10041430,-0.26442465515099,0.0564953745890828,2.86224190554935e-06
PRKAA1,rs10042750,-0.106056703544106,0.145865634257834,0.467173933802075
PRKAA1,rs3805486,-0.107306428503393,0.152798957867351,0.482509556532888
PRKAA1,rs3805487,-0.0914196475414528,0.158924998975941,0.565130563334389
PRKAA1,rs62357603,-0.147778142763996,0.147071070706116,0.314989460449387
MDM2,rs10492299,0.0116581819132359,0.0173143542672031,0.50074075976575
MDM2,rs11177275,0.0189377776923424,0.0155190482823858,0.222354024966013
MDM2,rs11177408,0.0132977872329089,0.0179914274158748,0.459835368428882
MDM2,rs112776045,0.0155720735882693,0.0162340908136427,0.337447647914373
MDM2,rs2120741,0.0140107013074072,0.0185877365026767,0.450993054487797
MDM2,rs4913463,0.0113262252657351,0.0178739570381718,0.526294932402647
MDM2,rs59850555,0.00923860969697693,0.01626900449543,0.570126160965874
MDM2,rs61926283,0.0123281834424039,0.0177528565940574,0.487410210916248
MDM2,rs7304105,0.00933691918138741,0.0303092787669427,0.758040624763985
MDM2,rs73146638,0.0121923228575527,0.0177326938519119,0.491728772496804
LZTFL1,rs1058961,0.00403209373435624,0.0280904064493444,0.885863813045727
LZTFL1,rs57319220,0.0227538948977363,0.0335306291964924,0.497391155247914
LZTFL1,rs61556067,0.0219318711391804,0.0277160221782424,0.428765100822021
LZTFL1,rs62243906,0.011656898381869,0.0284308881919676,0.681799904214928
LZTFL1,rs71327047,0.0210585952243184,0.0277697403573315,0.448254141256201
LZTFL1,rs875890,0.0212796614401462,0.0278016513899786,0.444027451895459
LZTFL1,rs9842595,0.0219081662376772,0.0338197382208116,0.517119291891122
LZTFL1,rs9843503,0.0206264622928522,0.0278015001099472,0.458136388657638
IGFBP2,rs10932667,-0.0315446613153949,0.0668156987778475,0.636845051527871
IGFBP2,rs116035511,0.0302603532737528,0.0422061388524211,0.473395270046428
IGFBP2,rs58251005,0.041820696447626,0.0479242122203875,0.382858057815449
SIRT1,rs10997832,0.0314340113532424,0.0115348032867807,0.00642732558628941
SIRT1,rs3920079,0.0264199441895013,0.00869721898052775,0.00238354584463926
SIRT1,rs7083429,0.0277633320567815,0.00884494811539453,0.00169588254193324
SIRT1,rs7921043,0.0236077279904947,0.00920837550366422,0.0103556026577442
CCND1,rs110044,0.0191449612017119,0.0557084679743172,0.731099443230895
CCND1,rs1960217,0.13674758946817,0.0569427859840051,0.0163284096186173
CCND1,rs491193,0.0119131517560453,0.0559167089796797,0.831286611690124
CCND1,rs550257,0.0211698875148087,0.0567012599855919,0.708881771621831
CCND1,rs634300,0.0293670053248441,0.0709103811778326,0.678769720474624
CAMKK2,rs11065504,-0.0876076057790108,0.0275535307466883,0.00147508037015618
CAMKK2,rs208294,0.0186833882499073,0.0543790060140063,0.73116425128298
CAMKK2,rs601636,0.00823243329995104,0.0557268888122143,0.882557270840259
CAMKK2,rs61216528,0.0226031741578406,0.0470428995944505,0.630886094526951
CAMKK2,rs79623919,0.0362975448005965,0.0528254656004985,0.492005789351462
IRS2,rs11069798,-0.0466207316174296,0.0635226710936342,0.462995838441649
IRS2,rs1360069,-0.0619463287388548,0.0702170443100198,0.377662099585925
IRS2,rs16975420,-0.0865607624328292,0.0618503093516172,0.16165702040391
IRS2,rs1927675,-0.0850934228095778,0.0659199453573306,0.19675221655275
IRS2,rs4771629,-0.0776245003982878,0.0827476014716494,0.348199384231726
IRS2,rs74773580,-0.0299998605522476,0.0555984412841656,0.589486047343058
GPX1,rs11130203,0.0653687979927165,0.184099904710162,0.72253534065143
GPX1,rs6792911,0.0755311758743571,0.142303914210254,0.595575603263405
GPX1,rs71324996,-0.0143451641769487,0.0597251359839115,0.810185772257136
BAX,rs117328695,0.021425240658166,0.0830239748297534,0.796359916389218
BAX,rs35627821,0.0440308976942057,0.0858264940164568,0.607935784207003
BAX,rs611251,0.0106121834018574,0.0859538281102546,0.901739864519511
BAX,rs73061629,0.0649540707601279,0.0836392987558878,0.43739627383647
ZMAT3,rs1180368,-0.0171376865706063,0.0207734057495344,0.409381789508448
ZMAT3,rs11921986,-0.0101290011483229,0.0264635542232461,0.701903014501692
ZMAT3,rs2141582,-0.0202649048389347,0.0186707044462499,0.277751118733109
ZMAT3,rs4245915,0.000658365402723591,0.015730902488117,0.966616900631204
ZMAT3,rs6443642,-0.0148232292324064,0.0207512803567728,0.475024124786307
ZMAT3,rs6783202,-0.0198953112068502,0.018376997252791,0.278976970637523
ZMAT3,rs6804510,-0.015253868544011,0.0204179975530037,0.455015540037546
ZMAT3,rs9880749,-0.018561327633807,0.0207955372833232,0.372091228232888
CDKN1A,rs12199346,-0.028667018121287,0.0305468226965923,0.348007275405546
CDKN1A,rs13202984,0.0269186139471101,0.0382681928997087,0.481794018594824
CDKN1A,rs1864751,0.0395357520190001,0.0386176965606498,0.305942543283639
CDKN1A,rs1894559,0.0222406359734522,0.0399935028797449,0.578138238770817
CDKN1A,rs2395650,0.0235425318805035,0.0386435068403606,0.542376316198325
CDKN1A,rs35915709,0.0184445253311131,0.0375115661504894,0.622929774782183
CDKN1A,rs59022372,0.0383286069678061,0.0403857912941596,0.342589242069798
CDKN1A,rs75283559,0.0410492512466499,0.033326305994835,0.218047264314602
