gene,ensg,chr,start,end
VSNL1,ENSG00000163032,2,17539020,17657624
LZTFL1,ENSG00000163818,3,45823316,45916042
GAS6,ENSG00000183087,13,113820468,113864123
SREBF2,ENSG00000198911,22,41833029,41907308
SERPINE1,ENSG00000106366,7,101122158,101139263
PPARGC1A,ENSG00000109819,4,23755041,23904089
HMOX1,ENSG00000100292,22,35380361,35394214
CCND1,ENSG00000110092,11,69641070,69654474
ENPP1,ENSG00000197594,6,131807993,131895160
PNPLA3,ENSG00000100344,22,43923761,43964488
GPX1,ENSG00000233276,3,49357174,49358605
IGFBP1,ENSG00000146678,7,45888360,45893660
FBP1,ENSG00000165140,9,94601143,94640323
IRS2,ENSG00000185950,13,109752695,109786634
PLIN1,ENSG00000166819,15,89664365,89679466
CTSD,ENSG00000117984,11,1752752,1764573
KHK,ENSG00000138030,2,27086723,27100777
IGF1,ENSG00000017427,12,102395874,102481857
IGFBP2,ENSG00000115457,2,216632828,216664454
CDKN1A,ENSG00000124762,6,36676441,36688042
PHLDA3,ENSG00000174307,1,201463858,201469430
ZMAT3,ENSG00000172667,3,178958103,179072323
BAX,ENSG00000087088,19,48954815,48961806
MDM2,ENSG00000135679,12,68808141,68845544
TP53,ENSG00000141510,17,7661779,7687546
PRKAA1,ENSG00000132356,5,40759389,40798374
PRKAA2,ENSG00000162409,1,56645206,56715335
SIRT1,ENSG00000096717,10,67884647,67918392
STK11,ENSG00000118046,19,1177558,1228431
CAMKK2,ENSG00000110931,12,121217103,121298308
SREBF1,ENSG00000072310,17,17810399,17837035
FASN,ENSG00000169710,17,82076900,82098294
